haiku,source
"And in that Heaven
of all their wish, There shall be
no more land, say fish.",gutenberg
"This I know, and
yet I know Doubts that will
not be denied.",gutenberg
"For if the soul
be not in place, What has laid
trouble in her face?",gutenberg
"And if the spirit
be not there, Why is fragrance
in the hair?",gutenberg
"""Oh love is fair, and love
is rare;"" my dear one she said, ""But love
goes lightly over.",gutenberg
"""  I bowed her foolish
head, And kissed her hair
and laughed at her.",gutenberg
"Such a child was she;
So new to love, so true to love, and
she spoke so bitterly.",gutenberg
"I have peace to weigh your
worth, now all is over, But if to praise
or blame you, cannot say.",gutenberg
"For, who decries the loved, decries
the lover; Yet what man lauds the
thing he's thrown away?",gutenberg
"Dear fool, pity
the fool who thought
you clever!",gutenberg
"Dear wisdom, do
not mock the fool
that missed you!",gutenberg
"Most fair, -- the blind
has lost your face
for ever!",gutenberg
"Most foul, -- how
could I see you while
I kissed you?",gutenberg
"the poor love of fools and blind
I've proved you, For, foul or lovely,
'twas a fool that loved you.",gutenberg
"Somewhile before the dawn I rose, and stept Softly
along the dim way to your room, And found you sleeping in the quiet
gloom, And holiness about you as you slept.",gutenberg
"I knelt there; till your
waking fingers crept About
my head, and held it.",gutenberg
"I had rest Unhoped
this side of Heaven, beneath
your breast.",gutenberg
"I knelt a
long time, still; nor
even wept.",gutenberg
"It was great wrong you did me;
and for gain Of that poor moment's kindliness,
and ease, And sleepy mother-comfort!",gutenberg
"Child, you know How easily
love leaps out to dreams like these,
Who has seen them true.",gutenberg
"And love that's wakened
so Takes all too long to
lay asleep again.",gutenberg
"Waikiki, October 1913
Today I have been
happy.",gutenberg
"The Pacific, October 1913 Warm
perfumes like a breath from vine and tree Drift down the
darkness.",gutenberg
"Plangent, hidden from eyes Somewhere
an 'eukaleli' thrills and cries And stabs with pain
the night's brown savagery.",gutenberg
"And dark scents whisper; and dim waves creep to me, Gleam like
a woman's hair, stretch out, and rise; And new stars burn into the ancient
skies, Over the murmurous soft Hawaian sea.",gutenberg
"Down the blue night the unending columns press In
noiseless tumult, break and wave and flow, Now tread the far South, or lift
rounds of snow Up to the white moon's hidden loveliness.",gutenberg
"Some pause in their grave wandering comradeless, And
turn with profound gesture vague and slow, As who would pray good for the
world, but know Their benediction empty as they bless.",gutenberg
"They say that the Dead
die not, but remain Near to the rich
heirs of their grief and mirth.",gutenberg
"I think they ride the calm mid-heaven, as these, In
wise majestic melancholy train, And watch the moon, and the still-raging seas,
And men, coming and going on the earth.",gutenberg
"There the sure suns of these pale shadows move; There stand
the immortal ensigns of our war; Our melting flesh fixed Beauty
there, a star, And perishing hearts, imperishable Love.",gutenberg
"Dear, we know only that we sigh, kiss,
smile; Each kiss lasts but the kissing; and grief goes over;
Love has no habitation but the heart.",gutenberg
"on the dark flood we catch
awhile, Cling, and are borne into
the night apart.",gutenberg
"The laugh dies
with the lips, 'Love' with
the lover.",gutenberg
"South Kensington -- Makaweli, 1913 Now that
we've done our best and worst, and parted, I would fill my mind with
thoughts that will not rend.",gutenberg
"I would think of a thousand things, Lovely
and durable, and taste them slowly, One after
one, like tasting a sweet food.",gutenberg
"I have need
to busy my heart
with quietude.",gutenberg
"Love is a breach in the walls, a broken
gate, Where that comes in that shall not go again; Love sells
the proud heart's citadel to Fate.",gutenberg
"They have
known shame, who
love unloved.",gutenberg
"Some
share
that night.",gutenberg
"But they know love grows
colder, Grows false and dull, that
was sweet lies at most.",gutenberg
"Astonishment is no
more in hand or shoulder, But darkens, and
dies out from kiss to kiss.",gutenberg
"All this is
love; and all love
is but this.",gutenberg
"Heart, you are restless as a paper
scrap That's tossed down dusty pavements by the wind; Saying,
""She is most wise, patient and kind.",gutenberg
"Come to
her, come
to her!",gutenberg
"She will
not
care.",gutenberg
"She'll smile to see me come,
So that I think all Heaven
in flower to fold me.",gutenberg
"She'll give me all I ask, kiss me and hold me,
And open wide upon that holy air The gates of peace,
and take my tiredness home, Kinder than God.",gutenberg
"But, heart,
she will not
care.",gutenberg
"Your hands, my dear, adorable, Your
lips of tenderness -- Oh, I've loved you faithfully
and well, Three years, or a bit less.",gutenberg
"It wasn't
a success.
",gutenberg
"Thank
God,
that's done!",gutenberg
"and I'll take the road, Quit of my youth
and you, The Roman road to Wendover By Tring and
Lilley Hoo, As a free man may do.",gutenberg
"For youth goes over, the joys that fly, The tears
that follow fast; And the dirtiest things we do must lie
Forgotten at the last; Even Love goes past.",gutenberg
"What's left behind I shall not find, The splendour
and the pain; The splash of sun, the shouting wind, And the brave
sting of rain, I may not meet again.",gutenberg
"But the years, that take the best away, Give something
in the end; And a better friend than love have they, For none to
mar or mend, That have themselves to friend.",gutenberg
"I shall desire and I shall find
The best of my desires; The autumn road, the mellow
wind That soothes the darkening shires.",gutenberg
"And
laughter, and
inn-fires.",gutenberg
"White mist about the black hedgerows, The slumbering
Midland plain, The silence where the clover grows, And the dead
leaves in the lane, Certainly, these remain.",gutenberg
"And I shall find some girl perhaps,
And a better one than you, With eyes as wise, but
kindlier, And lips as soft, but true.",gutenberg
"And I
daresay she
will do.",gutenberg
"I came back late and tired last
night Into my little room, To the long chair and the
firelight And comfortable gloom.",gutenberg
"I stood a moment
fierce and still, Watching
her neck and hair.",gutenberg
"I made a step
to her; and saw That there
was no one there.",gutenberg
"It was some trick of
the firelight That made
me see her there.",gutenberg
"It was a chance
of shade and light And the
cushion in the chair.",gutenberg
"Oh, all you happy
over the earth, That night,
how could I sleep?",gutenberg
"I lay and watched the lonely gloom;
And watched the moonlight creep From wall to basin,
round the room, All night I could not sleep.",gutenberg
"Hands and lit faces
eddy to a line; The dazed last minutes
click; the clamour dies.",gutenberg
"Beyond the great-swung arc o' the roof, divine,
Night, smoky-scarv'd, with thousand coloured eyes Glares the
imperious mystery of the way.",gutenberg
"Thirsty for dark, you feel the long-limbed
train Throb, stretch, thrill motion, slide, pull out and sway, Strain
for the far, pause, draw to strength again.",gutenberg
"-- There is an
end appointed, O
my soul!",gutenberg
"Crimson and green the
signals burn; the gloom Is hung with steam's
far-blowing livid streamers.",gutenberg
"Lost into God, as lights
in light, we fly, Grown one with
will, end-drunken huddled dreamers.",gutenberg
"The white
lights
roar.",gutenberg
"The
sounds of the
world die.",gutenberg
"And lips and
laughter are
forgotten things.",gutenberg
"Speed
sharpens;
grows.",gutenberg
"Into the night, and
on, The strength and splendour of
our purpose swings.",gutenberg
"The
lamps fade; and
the stars.",gutenberg
"We
are
alone.",gutenberg
"All suddenly the wind comes soft, And
Spring is here again; And the hawthorn quickens
with buds of green, And my heart with buds of pain.",gutenberg
"My heart all Winter lay so numb,
The earth so dead and frore, That I never thought the
Spring would come, Or my heart wake any more.",gutenberg
"But Winter's broken and earth has woken, And
the small birds cry again; And the hawthorn hedge puts forth
its buds, And my heart puts forth its pain.",gutenberg
"They queerly find some healing
so, And strange attainment in the touch; There is a secret
lovers know, -- I have read as much.",gutenberg
"And theirs no longer joy nor smart,
Changing or ending, night or day; But mouth to mouth,
and heart on heart, -- So lovers say.",gutenberg
"Young Mary, loitering once her
garden way, Felt a warm splendour grow in the April
day, As wine that blushes water through.",gutenberg
"And soon, Out of the gold air of the afternoon,
One knelt before her:  hair he had, or fire, Bound back above his ears with
golden wire, Baring the eager marble of his face.",gutenberg
"Not man's nor woman's was the immortal
grace Rounding the limbs beneath that robe of white, And lighting
the proud eyes with changeless light, Incurious.",gutenberg
"Calm as his wings,
and fair, That presence
filled the garden.",gutenberg
"She stood there,
Saying, ""What would
you, Sir?",gutenberg
""" He told
his word, ""Blessed art thou
of women!",gutenberg
"Her breath came quick
as little flakes
of snow.",gutenberg
"Her hands crept
up her
breast.",gutenberg
"She did
but know It was
not hers.",gutenberg
"She felt a trembling stir
Within her body, a will too strong for
her That held and filled and mastered all.",gutenberg
"With eyes Closed, and a thousand
soft short broken sighs, She gave submission;
fearful, meek, and glad.",gutenberg
"She
wished to
speak.",gutenberg
"Her heart was faint for telling; to relate Her limbs' sweet
treachery, her strange high estate, Over and over, whispering, half revealing,
Weeping; and so find kindness to her healing.",gutenberg
"'Twixt tears and laughter, panic
hurrying her, She raised her eyes to
that fair messenger.",gutenberg
"He knelt unmoved, immortal; with
his eyes Gazing beyond her, calm to the calm skies;
Radiant, untroubled in his wisdom, kind.",gutenberg
"His sheaf
of lilies stirred not
in the wind.",gutenberg
"Being tired,
she bowed her head; And said,
""So be it!",gutenberg
""" The great wings were
spread Showering glory on the
fields, and fire.",gutenberg
"The whole air, singing,
bore him up, and higher,
Unswerving, unreluctant.",gutenberg
"Soon he shone
A gold speck in the gold
skies; then was gone.",gutenberg
"The air
was colder,
and grey.",gutenberg
"She stood

alone.",gutenberg
"Behind them, broken-hearted, Came GRIEF, so
noisy a widow, that all said, ""Had he but wed Her elder
sister SORROW, in her stead!",gutenberg
""" And by her, trying to soothe
her all the time, The fatherless children, COLOUR,
TUNE, and RHYME (The sweet lad RHYME), ran all-uncomprehending.",gutenberg
"Then, at the way's
sad ending, Round the raw
grave they stay'd.",gutenberg
"Old WISDOM read, In
mumbling tone, the Service
for the Dead.",gutenberg
"BEAUTY was there, Pale
in her black; dry-eyed; she
stood alone.",gutenberg
"Poor maz'd IMAGINATION; FANCY wild; ARDOUR,
the sunlight on his greying hair; CONTENTMENT, who had known YOUTH
as a child And never seen him since.",gutenberg
"And SPRING came too, Dancing
over the tombs, and brought him flowers
-- She did not stay for long.",gutenberg
"LOVE had
died long
ago.",gutenberg
"I
know it!
",gutenberg
"and I know How the May fields all golden
show, And when the day is young and sweet, Gild gloriously
the bare feet That run to bathe .",gutenberg
"'Du
lieber
Gott!",gutenberg
"' Here am I, sweating, sick, and
hot, And there the shadowed waters fresh Lean
up to embrace the naked flesh.",gutenberg
"Temperamentvoll German
Jews Drink beer around; -- and THERE the dews Are
soft beneath a morn of gold.",gutenberg
"In
Grantchester,
in Grantchester!",gutenberg
"-- Some, it may be, can
get in touch With Nature
there, or Earth, or such.",gutenberg
"And clever modern men have seen A Faun a-peeping
through the green, And felt the Classics were not dead, To glimpse a Naiad's
reedy head, Or hear the Goat-foot piping low: .",gutenberg
"But these are
things I do
not know.",gutenberg
"Still in the dawnlit waters cool His ghostly
Lordship swims his pool, And tries the strokes, essays the tricks,
Long learnt on Hellespont, or Styx.",gutenberg
"Dan Chaucer hears his river
still Chatter beneath a
phantom mill.",gutenberg
"Tennyson notes, with
studious eye, How Cambridge
waters hurry by .",gutenberg
"Till, at a shiver in the skies, Vanishing with Satanic
cries, The prim ecclesiastic rout Leaves but a startled sleeper-out, Grey heavens,
the first bird's drowsy calls, The falling house that never falls.",gutenberg
"I will pack, and take a
train, And get me to England
once again!",gutenberg
"Strong men have run for miles and miles,
When one from Cherry Hinton smiles; Strong men have blanched,
and shot their wives, Rather than send them to St.",gutenberg
"Ives; Strong men have cried like
babes, bydam, To hear what happened
at Babraham.",gutenberg
"In Grantchester their skins are white; They
bathe by day, they bathe by night; The women there do all they
ought; The men observe the Rules of Thought.",gutenberg
"They love the Good; they worship Truth; They
laugh uproariously in youth; (And when they get to feeling
old, They up and shoot themselves, I'm told) .",gutenberg
"to see the branches
stir Across the moon
at Grantchester!",gutenberg
"To smell the thrilling-sweet and rotten
Unforgettable, unforgotten River-smell, and hear the
breeze Sobbing in the little trees.",gutenberg
"Say, do the elm-clumps greatly
stand Still guardians of that
holy land?",gutenberg
"The chestnuts shade, in
reverend dream, The yet
unacademic stream?",gutenberg
"Is dawn a secret
shy and cold Anadyomene,
silver-gold?",gutenberg
"And sunset still
a golden sea From Haslingfield
to Madingley?",gutenberg
"And after, ere the
night is born, Do hares come
out about the corn?",gutenberg
"Oh, is the water
sweet and cool, Gentle and brown,
above the pool?",gutenberg
"And laughs the immortal
river still Under the mill,
under the mill?",gutenberg
"Say, is
there Beauty yet
to find?",gutenberg
"and Quiet
kind?
",gutenberg
"Deep meadows yet,
for to forget The lies,
and truths, and pain?",gutenberg
"yet Stands
the Church clock at
ten to three?",gutenberg
"And is
there honey still
for tea?",gutenberg
"Stars that seem so close and bright, Watched
by lovers through the night, Swim in emptiness,
men say, Many a mile and year away.",gutenberg
"And yonder star that burns so white,
May have died to dust and night Ten, maybe, or fifteen
year, Before it shines upon my dear.",gutenberg
"often among men below, Heart cries
out to heart, I know, And one is dust a many
years, Child, before the other hears.",gutenberg
"Heart from heart is all
as far, Fafaia,
as start from star.",gutenberg
"Still No
one could see
me.",gutenberg
"But you
see
not.",gutenberg
"The
way of
love was thus.",gutenberg
"He was born one winter
morn With hands delicious, And
it was well with us.",gutenberg
"Love came our quiet
way, Lit pride in us, and died
in us, All in a winter's day.",gutenberg
"There
is no more
to say.",gutenberg
"And Innocence
accounted wise, And Faith the
fool, the pitiable.",gutenberg
"Love so rare, one would swear All of
earth for ever well-- Careless lips and flying hair,
And little things I may not tell.",gutenberg
"It does but
double the heart-ache When I
wake, when I wake.",gutenberg
"The
Thing
must End.",gutenberg
"I
am
no boy!",gutenberg
"I
am No
BOY!",gutenberg
"I
being
twenty-one.",gutenberg
"Uncle, you make A great mistake,
a very great mistake, In chiding
me for letting slip a ""Damn!",gutenberg
""" What's more, you called me ""Mother's
one ewe lamb,"" Bade me ""refrain from swearing--for
her sake-- Till I'm grown up"" .",gutenberg
"I think you
take Too much upon you,
Uncle William!",gutenberg
"You say I
am your brother's
only son.",gutenberg
"I
know
it.",gutenberg
"And,
""What
of it?",gutenberg
"My heart's

resolved.",gutenberg
"Something
must be
done.",gutenberg
"So shall I curb, so baffle, so
suppress This too avuncular officiousness,
Intolerable consanguinity.",gutenberg
"Ears satiate With the clamorous, timorous
whisperings of to-day, Thrilled to perceive once more the spacious
voice And serene utterance of old.",gutenberg
"Fulfilled our hearts were with that music
then, And all the evenings sighed it to the dawn, And
all the lovers heard it from all the trees.",gutenberg
"All of
the accents upon
all the norms!",gutenberg
"the stress on
the
penultimate!",gutenberg
"We never
knew blank verse could have
such feet.",gutenberg
"Where
is it
now?",gutenberg
"Oh, more than ever, now I sometimes think no
poetry is read Save where some sepultured Caesura bled,
Royally incarnadining all the line.",gutenberg
"Is the imperial iamb
laid to rest, And the young trochee,
having done enough?",gutenberg
"The slow
lines
swell.",gutenberg
"The
new
styles sighs.",gutenberg
"The Celt Moans
round with many
voices.",gutenberg
"They'd snare the moon, and catch the immortal
sun With madder brown and pale vermilion, Entrap an
English evening's magic hush .",gutenberg
"still temporal, and still atmospheric, Teleologically
unperturbed, We share a peace by no divine divined, An earthly garden hidden from
any cleric, Untrodden of God, by no Eternal curbed.",gutenberg
"Hand trembling towards
hand; the amazing lights
Of heart and eye.",gutenberg
"They
stood on supreme
heights.",gutenberg
"Ah, the
delirious
weeks of honeymoon!",gutenberg
"Soon they returned, and after strange
adventures, Settled at Balham by the
end of June, Their money was in Can.",gutenberg
"Debentures,
And in
Antofagastas.",gutenberg
"Still he went Cityward
daily; still she did abide
At home.",gutenberg
"And both were really
quite content With work and social
pleasures.",gutenberg
"
Then
they died.",gutenberg
"They left three children
(beside George, who drank); The eldest Jane,
who married Mr.",gutenberg
"Bell, William, the head-clerk in
the County Bank, And Henry,
a stock-broker, doing well.",gutenberg
"I have risen to the uttermost Heaven of Joy,
I have sunk to the sheer Hell of Pain-- But--it's not going to happen again,
my boy, It's not going to happen again.",gutenberg
"All in the town were still
asleep, When the sun came up with
a shout and a leap.",gutenberg
"In the lonely
streets unseen by man, A
little dog danced.",gutenberg
"And
the day
began.",gutenberg
"All his life he'd been good, as far
as he could, And the poor little beast
had done all that he should.",gutenberg
"But this morning he swore,
by Odin and Thor And the Canine
Valhalla--he'd stand it no more!",gutenberg
"So his prayer he got granted--to
do just what he wanted, Prevented
by none, for the space of one day.",gutenberg
""" He fought with the he-dogs, and
winked at the she-dogs, A thing that had never
been heard of before.",gutenberg
"""For the stigma
of gluttony, I
care not a button!",gutenberg
""" he Cried, and
ate all he could
swallow--and more.",gutenberg
"He took sinewy lumps
from the shins of old frumps, And mangled
the errand-boys--when he could get 'em.",gutenberg
"He shammed furious rabies, and
bit all the babies , And followed the cats
up the trees, and then ate' em!",gutenberg
"When the blood-red sun had gone burning down, And the
lights were lit in the little town, Outside, in the gloom of the twilight
grey, The little dog died when he'd had his day.",gutenberg
"""Unstumbling, unreluctant, strong, unknowing,
Borne by a will not his, that lifts, that grows, Sweeps out to darkness, triumphing
in his goal, Out of the fire, out of the little room.",gutenberg
"-- There is an
end appointed, O
my soul!",gutenberg
"I do not

understand.",gutenberg
"I only know That, as he turned to go And
waved his hand, In his young eyes a sudden glory shone, And I was
dazzled by a sunset glow -- And he was gone.",gutenberg
"""If I should die, think only
this of me: That there's some corner of a foreign
field That is for ever England.",gutenberg
"In alien earth, across
a troubled sea, His body lies
that was so fair and young.",gutenberg
"His mouth is stopped, with
half his songs unsung; His arm is still,
that struck to make men free.",gutenberg
"But let no cloud of
lamentation be Where, on a
warrior's grave, a lyre is hung.",gutenberg
"We keep the echoes of
his golden tongue, We keep the vision
of his chivalry.",gutenberg
"So Israel's joy, the
loveliest of kings, Smote now his harp,
and now the hostile horde.",gutenberg
"To-day the starry roof of Heaven rings With psalms
a soldier made to praise his Lord; And David rests beneath Eternal
wings, Song on his lips, and in his hand a sword.",gutenberg
"Then, recollecting,
laughingly you turn, And look into
my eyes and take my hand.",gutenberg
"Out of the primal dark He
leapt, like lyric lark, Singing his aubade
strain; Then fell to earth again.",gutenberg
"We garner all he gave, And
on his hero grave, For love and honour
strew, Rosemary, myrtle, rue.",gutenberg
"Son of the Morning, we Had kept
you thankfully; But yours the asphodel:
Hail, singer, and farewell!",gutenberg
"What lineage
so noble as from Sires, Laureled
by Freedom?",gutenberg
"For, who, but
the brave Have glory
to transmit?",gutenberg
"The Hero's
grave Blooms
ever.",gutenberg
"Those crowns, not cold from death sweat on the
brow, At sight of apparitions with fixed stare, But warm with summer,
conjuring beauties rare-- Wilt not.",gutenberg
"They are dewed daily
by your vow, Daughters of sires who,
to no thrall, would bow!",gutenberg
"Which, at the alter with raised hands, ye
swear, Cheering the blessed spirits, gathered there, That,
like their Mothers, are their daughters now.",gutenberg
"True women--and therefore, craft foilers clever--
With sons for your hearts utterance, ye sue Not, but like Barry
to the British crew, Ye cry out: ""What!",gutenberg
"we strike
our colors?
",gutenberg
"these colors, since they drew
Their first star-breath, are God's, and
God's forever.",gutenberg
""" Ye know the
Leopard changes not
his spots.",gutenberg
"The Prince of Peace, who
spake eternal truth, Confirmed
this fact of Nature.",gutenberg
"Oh, yea, this beast makes his own desert, still; And Ireland,
India and Egypt show His spots so spread, he is one ghastly
glow; Aye, as your sires saw him from Bunker Hill.",gutenberg
"Oh, vain, gold
rubs the skin and
press shouts, ""Lo!",gutenberg
"It has not
now one spot of threatening
ill.",gutenberg
""" O Daughters of the brave,
well ye abjure The fiend
and all his works.",gutenberg
"O Mothers, as you lift your babes and gaze Into
their eyes, your love runs through their vains In crimson flushes--oh, your love
that pains At any of God's creatures hurt!",gutenberg
"that stays; The heavens may pass
away, but that remains, Being of
Christ, who walks earth Mother-ways.",gutenberg
"Oh, like your sires, you,
too, know Freedom's worth To
Human Spirit.",gutenberg
"For its liberation, A
God unrealmed himself by tribulation, And
was an out-cast on a scornful earth.",gutenberg
"Christ is no myth and, since with Human birth He forms new
Heavens for blissful habitation-- There unto is the Freedom of the
Nation; All other trend is down to dark and dearth.",gutenberg
"When from the darkness rainbowed birth
comes pouring, Your virtue heeds the voice,
Eternity-- Re-echos: ""Let them come.",gutenberg
""" 'Tis Nature's plea For broadening progress;
Nay, 'tis God imploring The Human to take strength for
Liberty, Truth, Honor, to catch up to the stars, a-soaring.",gutenberg
"O Daughters
of brave sires, what is
true glory?",gutenberg
"No marsh-ward falling
star, however
bright.",gutenberg
"'Tis inspirational; its upward
flight Lifts generations--such your Father's story, And also
yours, for is not that, too, gory?",gutenberg
"You pour out your hearts blood in sons to
fight For honor, and cease not till every right
Has been set down in Triumph's inventory.",gutenberg
"Oh, into daughters,
too, old noble
Mothers!",gutenberg
"If Christ's foreshadowing in Juda's haze
Was of his grief, 'tis of His triumph, here, For, is not His
celestrial glory clear In Freedom for all men?",gutenberg
"First, gaseous rays In Maryland, then rounded firm
full blaze In the Republic, it draws every sphere Of Human welfare, whether
far or near, From depths occult to nights with dawns and days.",gutenberg
"Oh, ever Mothers--shaping
robust youth No less than infant,
and as perfectly!",gutenberg
"There's life blood to their veins from when
on knee To when thy battle, from your broadening
ruth For Human kind and fervent love of truth.",gutenberg
"If, like their fathers, they have come to
be The wonder of the world, for liberty, Your virtue,
'tis, that in their valor greweth.",gutenberg
"Oh, as the Roman Mother, when she showed
For jewels, her two sons, saw each of them In Time's Tiara,
glittering there a gem; So, see your offspring shine.",gutenberg
"The light, bestowed Your Fathers,
in your sons is diamond flame, Encircling
Freedom's ocean-walled abode.",gutenberg
"Soar thou aloft, though
thou ascend alone, O
Human Spirit!",gutenberg
"Thou
canst not
be lost.",gutenberg
"What though yon stars, the azure's
nightly frost Melt dark, or mount round
thee an arctic zone!",gutenberg
"Thou hast sun-warmth
and star-source of
thine own.",gutenberg
"If thou mount not,
how bitter is
the cost!",gutenberg
"What anguish, when whirled down, or
tempest tossed, To know how high toward
God thou mightst have flown!",gutenberg
"Vault
Godward,
Poet.",gutenberg
"What though few may
climb The mountain and the star
on trail of thee?",gutenberg
"Thy wing-flash beams toward Man, and, if it be
True inspiration--whether thought sublime, Or fervor for the Truth, or
Liberty-- Thy light will reach the earth in goodly time.",gutenberg
"On them
He breathes with
dream And, Lo!",gutenberg
"an Angel with a sword
agleam 'Twix the Old World and New
for Justice's sake.",gutenberg
"What sea so
broad, as that from
Human weeping?",gutenberg
"Or Sun so flaming,
as the Angel's sword Of Human and Devine
Wills in accord?",gutenberg
"There, with sword-flash of myriad waves,
joy-leaping, Shall loom forever, Freedom's watch and ward, With the
New World in his Seraphic keeping.",gutenberg
"This is thy
glory, Man, that
thou art free.",gutenberg
"'Tis in thy freedom,
thy resemblance lies To
thy Creator.",gutenberg
"Nature, which, tide-wise,
Is flood and ebb, bounds
not sky flight for thee.",gutenberg
"as the sun arises from the sea, Startling
all beauty God-ward, thou dost rise With mind to God in heaven, from finite
ties, And there, in freedom, thou art great as He.",gutenberg
"Meeting thy God with mind, 'tis thine to choose, Wheather to
follow him with love and soar, Or dream Him myth and, rather than adore,
Plunge headlong into Nature's whirl and ooze.",gutenberg
"Thine
is full
freedom.",gutenberg
"could God do more
To liken thee to Him,
and love, infuse?",gutenberg
"God loves the stars; else
why star-shape the dew For the
unbreathing, shy, heart-hiding rose?",gutenberg
"And when earth darkens,
and the North wind blows, Why into stars,
flake every cloud's black brew?",gutenberg
"What fitter forms for longings high and true, Man's
hopes, ideals, than bright orbs like those Asbine from Nature's dawn to Nature's
close, In clusters, prisming every dazzling hue?",gutenberg
"I hear thy far
off cry where thou art lone, A
John the Baptist: ""Lo!",gutenberg
"one
greater
nears.",gutenberg
""" What is this Greater--this which
is to meet The planets and ascend
high, high and higher?",gutenberg
"The right of human spirit to aspire And mount,
unhampered--and by act, complete Creations harmony, as by
desire, Proclaimed by brain with throb, by heart with beat.",gutenberg
"In thy descent through azures, all
aglow With circling spheres, the beauty of each
blaze, And grandeur, then, of all, entrance thy gaze.",gutenberg
"Thou thinkest,
why not thus all
life below?",gutenberg
"Perceiving, then that all the breezes blow Upward
and onward, in the skyey maze, Thou wouldst go back and start with them, to
raise A new creation from chaotic throe.",gutenberg
"fain we follow thee in
flight From chaos to God's glory
round and round, Aloft!",gutenberg
"how like an elk pursued by hound, To brinks
thou springest toward the distant height And, on bent knees, then
speedest without sound, Like Faith through Death, till, lo!",gutenberg
"thou
dost
alight.",gutenberg
"""Ye Wreaches, who would lay proud England's
head Upon the block, and raise her features, then, Bloodless
and ghastly, for the scorn of men!",gutenberg
"Go where terrors
spread Their sea and forest
mouths to crush you dead.",gutenberg
"Oh, how the clouds shall crimson from each glen,
A roar with blaze, and flame search out each fen, If back
to us, yea e'er are vomited.",gutenberg
""" To this Parental blessing and God-speed, The Pilgrim
Fathers gladly made reply: ""These waves are Conscience's wings along
the sky; They carry us to God, whose call we heed.",gutenberg
"The further from thy
coast of hate and lie,
The nearer God.",gutenberg
"--that is
our
creed.",gutenberg
""" O Sun
and
Stars!",gutenberg
"bear ye
Earth's thanks to God;
For Oh!",gutenberg
"what waters, slaking every thirst
Of heart, mind, spirit, in long cascades burst From
Plymouth Rock, when struck by Freedom's rod!",gutenberg
"No wanderer in the
burning sand, unshod, Plods man with lolling
tongue, dog-like, as erst; For lo!",gutenberg
"this fountain, deepening
from the first, Floods Earth's old wells
and greens Life's sand to sod.",gutenberg
"Oh, more those waters than the
Font of Youth, For which, through field and
swamp, the Spaniard ran!",gutenberg
"For they are clear with God's
eternal truth Of fatherhood, hence
brotherhood of man, And are no dream.",gutenberg
"They quench all human
drouth And cleanse man's desert dust of
sect and clan.",gutenberg
"Of Expeditions in the Arctic Past,
All honor to the one that reached the pole And formed a settlement
where every soul Enjoyed full freedom.",gutenberg
"There above the
blast, How musical the
bell, by Justice cast!",gutenberg
"It welcomed
all to come.
",gutenberg
"It ceased to
toll After a while,
but why?",gutenberg
"Those, welcomed, stole
And dragged it where the
ice formed thick and fast.",gutenberg
"Of Arctic Expeditions there is none
So profitable to the human race As that toward
Freedom's pole, and hence men face All storms to reach it.",gutenberg
"If they fail, the sun Has but one
joy--to thaw out wrecks, and trace Man's progress
where alone it can be done.",gutenberg
"Say, what
is Ma-jest-y without
externals?",gutenberg
"Is Burke's
analysis
not right--""A Jest""?",gutenberg
"Ah, but a jest, at which
the poor, oft pressed To their last heart-drop,
laugh not, like court journals.",gutenberg
"blares the tyrant's
horn and, in a thrice,
The Tories gather.",gutenberg
"Eagerly they band,
For is the King not greater
than the land?",gutenberg
"And rows with
royalty, a
rabble's vice?",gutenberg
"Besides, what creeping tribes
at his command, And Spies and Hessians
at a ferret's price!",gutenberg
"shouts
Freedom to
her sons.",gutenberg
"How, like Job's war-horse,
they gulp down the
ground To battle!",gutenberg
"What care they
how foes
surround?",gutenberg
"Oh, joy
to Celts, nigh half the true
and bold!",gutenberg
"There, with the roar of all their wrongs uprolled From ancient
depths, they dash with billow-bound Up rock and summit, and through cave and mound,
Spurning both Tyrants' steel and Treason's gold.",gutenberg
"No tide are
they to ebb in
heart and spirit.",gutenberg
"The wounded Sidney, who despite his
thirst, Gave water to his comrade, shines, a lamp In
the Cimerian dark of Britain's camp.",gutenberg
"Even the Raleigh, who so finely
versed, Preferred to such a light, the flame accursed Of
sword and torch, to please a royal vamp.",gutenberg
"Is British triumph
in its world-wide tramp The Hell, still ""lower
than lowest""--Milton's worst?",gutenberg
"is British soldiery
the swine, In whose gross forms the fiends,
exercised, flew?",gutenberg
"watch them through the ages,
they pursue The noble and devour
all things Divine.",gutenberg
"they illustrate horrors,
which prove true The Hell, which Milton's
glimpse could not outline.",gutenberg
"Freedom glares and pallid as a ghost,
Except for gashes on her brow and breast, And faint
from hunger, sits awhile to rest.",gutenberg
"With France and Erin heartening
Washington, Prone Freedom rose, with head
above the cloud.",gutenberg
"Beholding
her transfigured, Thrall
is cowed.",gutenberg
"His minions
are
bewildered.",gutenberg
"
How
they run!",gutenberg
"Some follow him
against the rising sun;
Others plod north.",gutenberg
"The Torries' vaster crowd Hide
in dark places, and like Satan, proud, They
hate the glory, that the true have won.",gutenberg
"Thou
beheldest
them.",gutenberg
"Who loosed our
land from Britain's
numbing hold?",gutenberg
"""They who had naught to loose,"" the Tories
say; That is--not menials in the King's sure pay, Nor mongrels,
chained to guard their master's gold.",gutenberg
"They
were True
Men.",gutenberg
"Their spirit, young and bold, With dreams played follow-master,
climbing day From deepest night, to catch the Sun and stay His
glory for the World, then whiteing cold.",gutenberg
"Though darkness be far vaster
than the lamp, It is the beams that lead
to progress, count.",gutenberg
