author,content,poem name,age,type
JOHN SKELTON,"Merry Margaret,
As midsummer flower,
Gentle as a falcon
Or hawk of the tower:
With solace and gladness,
Much mirth and no madness,
All good and no badness;
So joyously,
So maidenly,
So womanly
Her demeaning
In every thing,
Far, far passing
That I can indite,
Or suffice to write
Of Merry Margaret
As midsummer flower,
Gentle as falcon
Or hawk of the tower.
As patient and still
And as full of good will
As fair Isaphill,
Coriander,
Sweet pomander,
Good Cassander,
Steadfast of thought,
Well made, well wrought,
Far may be sought
Ere that ye can find
So courteous, so kind
As Merry Margaret,
This midsummer flower,
Gentle as falcon
Or hawk of the tower.",To Mistress Margaret Hussey,Renaissance,Love
EN JONSON,"That neither fame nor love might wanting be
To greatness, Cary, I sing that and thee;
Whose house, if it no other honor had,
In only thee might be both great and glad;
Who, to upbraid the sloth of this our time,
Durst valor make almost, but not, a crime;
Which deed I know not, whether were more high,
Or thou more happy, it to justify
Against thy fortune: when no foe, that day,
Could conquer thee but chance, who did betray.
Love thy great loss, which a renown hath won,
To live when Broick not stands, nor Ruhr doth run.
Love honors, which of best example be
When they cost dearest and are done most free;
Though every fortitude deserves applause,
It may be much or little in the cause.
Hes valiantst that dares fight, and not for pay;
That virtuous is, when the rewards away.",To Sir Henry Cary,Renaissance,Love
SIR WALTER RALEGH,"Methought I saw the grave where Laura lay,
Within that temple where the vestal flame
Was wont to burn; and, passing by that way,
To see that buried dust of living fame,
Whose tomb fair Love, and fairer Virtue kept:
All suddenly I saw the Fairy Queen;
At whose approach the soul of Petrarch wept,
And, from thenceforth, those Graces were not seen:
For they this queen attended; in whose stead
Oblivion laid him down on Lauras hearse:
Hereat the hardest stones were seen to bleed,
And groans of buried ghosts the heavens did pierce:
Where Homers spright did tremble all for grief,
And cursed the access of that celestial thief!",A Vision upon the Fairy Queen,Renaissance,Love
THOMAS CAMPION,"When thou must home to shades of underground,
And there arrived, a new admired guest,
The beauteous spirits do engirt thee round,
White Iope, blithe Helen, and the rest,
To hear the stories of thy finished love
From that smooth tongue whose music hell can move;

Then wilt thou speak of banqueting delights,
Of masques and revels which sweet youth did make,
Of tourneys and great challenges of knights,
And all these triumphs for thy beautys sake:
When thou hast told these honours done to thee,
Then tell, O tell, how thou didst murder me!",Vobiscum Est Iope,Renaissance,Love
SIR WALTER RALEGH,"As you came from the holy land
of Walsinghame
Met you not with my true love
By the way as you came?

How shall I know your true love
That have met many one
As I went to the holy land
That have come, that have gone?

She is neither white nor brown
But as the heavens fair
There is none hath a form so divine
In the earth or the air.

Such an one did I meet, good Sir,
Such an Angelic face,
Who like a queen, like a nymph, did appear
By her gait, by her grace.

She hath left me here all alone,
All alone as unknown,
Who sometimes did me lead with her self,
And me loved as her own.

Whats the cause that she leaves you alone
And a new way doth take;
Who loved you once as her own
And her joy did you make?

I have loved her all my youth,
But now old, as you see,
Love likes not the falling fruit
From the withered tree.

Know that love is a careless child
And forgets promise past,
He is blind, he is deaf when he list
And in faith never fast.

His desire is a dureless content
And a trustless joy
He is won with a world of despair
And is lost with a toy.

Of womenkind such indeed is the love
Or the word Love abused
Under which many childish desires
And conceits are excused.

But true Love is a durable fire
In the mind ever burning;
Never sick, never old, never dead,
From itself never turning.",Walsinghame,Renaissance,Love
SIR PHILIP SIDNEY,"What length of verse can serve brave Mopsas good to show,
Whose virtues strange, and beauties such, as no man them may know?
Thus shrewdly burden, then, how can my Muse escape?
The gods must help, and precious things must serve to show her shape.

Like great god Saturn, fair, and like fair Venus, chaste;
As smooth as Pan, as Juno mild, like goddess Iris fast.
With Cupid she foresees, and goes god Vulcans pace;
And for a taste of all these gifts, she borrows Momus grace.

Her forehead jacinth-like, her cheeks of opal hue,
Her twinkling eyes bedecked with pearl, her lips of sapphire blue,
Her hair pure crapall stone, her mouth, O heavenly wide,
Her skin like burnished gold, her hands like silver ore untried.

As for those parts unknown, which hidden sure are best,
Happy be they which believe, and never seek the rest.",What Length of Verse?,Renaissance,Love
QUEEN ELIZABETH I,"When I was fair and young, then favor graced me.
Of many was I sought their mistress for to be.
But I did scorn them all and answered them therefore:
Go, go, go, seek some other where; importune me no more.

How many weeping eyes I made to pine in woe,
How many sighing hearts I have not skill to show,
But I the prouder grew and still this spake therefore:
Go, go, go, seek some other where, importune me no more.

Then spake fair Venus son, that proud victorious boy,
Saying: You dainty dame, for that you be so coy,
I will so pluck your plumes as you shall say no more:
Go, go, go, seek some other where, importune me no more.

As soon as he had said, such change grew in my breast
That neither night nor day I could take any rest.
Wherefore I did repent that I had said before:
Go, go, go, seek some other where, importune me no more.",When I Was Fair and Young,Renaissance,Love
THOMAS CAMPION,"When to her lute Corinna sings,
Her voice revives the leaden strings,
And doth in highest notes appear
As any challenged echo clear;
But when she doth of mourning speak,
Evn with her sighs the strings do break.

And as her lute doth live or die,
Let by her passion, so must I:
For when of pleasure she doth sing,
My thoughts enjoy a sudden spring,
But if she doth of sorrow speak,
Evn from my heart the strings do break.",When to Her Lute Corinna Sings,Renaissance,Love
JOHN DONNE,"Now thou has loved me one whole day,
Tomorrow when you leavst, what wilt thou say?
Wilt thou then antedate some new-made vow?
            Or say that now
We are not just those persons which we were?
Or, that oaths made in reverential fear
Of Love, and his wrath, any may forswear?
Or, as true deaths true marriages untie,
So lovers contracts, images of those,
Bind but till sleep, deaths image, them unloose?
            Or, your own end to justify,
For having purposed change and falsehood, you
Can have no way but falsehood to be true?
Vain lunatic, against these scapes I could
            Dispute and conquer, if I would,
            Which I abstain to do,
For by tomorrow, I may think so too.",Woman's Constancy,Renaissance,Love
JOHN SKELTON,"Womanhood, wanton, ye want:
Your meddling, mistress, is mannerless;
Plenty of ill, of goodness scant,
Ye rail at riot, reckless:
To praise your port it is needless;
For all your draff yet and your dregs,
As well borne as ye full oft time begs.

Why so coy and full of scorn?
Mine horse is sold, I ween, you say;
My new furred gown, when it is worn...
Put up your purse, ye shall not pay!
By crede, I trust to see the day,
As proud a pea-hen as ye spread,
Of me and other ye may have need!

Though angelic be your smiling,
Yet is your tongue an adders tail,
Full like a scorpion stinging
All those by whom ye have avail.
Good mistress Anne, there ye do shail:
What prate ye, pretty pigesnye?
I trust to quite you ere I die!

Your key is meet for every lock,
Your key is common and hangeth out;
Your key is ready, we need not knock,
Nor stand long wresting there about;
Of your door-gate ye have no doubt:
But one thing is, that ye be lewd:
Hold your tongue now, all beshrewd!

To mistress Anne, that farly sweet,
That wones at The Key in Thames Street.
 ","Womanhood, wanton, ye want",Renaissance,Love
"HENRY HOWARD, EARL OF SURREY","Wyatt resteth here, that quick could never rest;
Whose heavenly gifts increased by disdain,
And virtue sank the deeper in his breast;
Such profit he of envy could obtain.

A head, where wisdom mysteries did frame,
Whose hammers beat still in that lively brain
As on a stith, where some work of fame
Was daily wrought, to turn to Britains gain.

A visage, stern and mild; where both did grow,
Vice to condemn, in virtues to rejoice;
Amid great storms whom grace assured so,
To live upright and smile at fortunes choice.

A hand that taught what might be said in rhyme;
That reft Chaucer the glory of his wit;
A mark the which (unperfited, for time)
Some may approach, but never none shall hit.

A tongue that served in foreign realms his king;
Whose courteous talk to virtue did enflame
Each noble heart; a worthy guide to bring
Our English youth, by travail unto fame.

An eye whose judgment no affect could blind,
Friends to allure, and foes to reconcile;
Whose piercing look did represent a mind
With virtue fraught, reposed, void of guile.

A heart where dread yet never so impressed
To hide the thought that might the truth avaunce;
In neither fortune lift, nor so repressed,
To swell in wealth, nor yield unto mischance.

A valiant corps, where force and beauty met,
Happy, alas! too happy, but for foes,
Lived, and ran the race that nature set;
Of manhoods shape, where she the mold did lose.

But to the heavens that simple soul is fled,
Which left with such, as covet Christ to know
Witness of faith that never shall be dead:
Sent for our health, but not received so.

Thus, for our guilt, this jewel have we lost;
The earth his bones, the heavens possess his ghost.
Amen.",Wyatt Resteth Here,Renaissance,Love
JOHN DONNE,"Twice or thrice had I lov'd thee,
Before I knew thy face or name;
So in a voice, so in a shapeless flame
Angels affect us oft, and worshipp'd be;
         Still when, to where thou wert, I came,
Some lovely glorious nothing I did see.
         But since my soul, whose child love is,
Takes limbs of flesh, and else could nothing do,
         More subtle than the parent is
Love must not be, but take a body too;
         And therefore what thou wert, and who,
                I bid Love ask, and now
That it assume thy body, I allow,
And fix itself in thy lip, eye, and brow.

Whilst thus to ballast love I thought,
And so more steadily to have gone,
With wares which would sink admiration,
I saw I had love's pinnace overfraught;
         Ev'ry thy hair for love to work upon
Is much too much, some fitter must be sought;
         For, nor in nothing, nor in things
Extreme, and scatt'ring bright, can love inhere;
         Then, as an angel, face, and wings
Of air, not pure as it, yet pure, doth wear,
         So thy love may be my love's sphere;
                Just such disparity
As is 'twixt air and angels' purity,
'Twixt women's love, and men's, will ever be.",Air and Angels,Renaissance,Love
SIR THOMAS WYATT,"Alas, madam, for stealing of a kiss
Have I so much your mind there offended?
Have I then done so grievously amiss
That by no means it may be amended?

Then revenge you, and the next way is this:
Another kiss shall have my life ended,
For to my mouth the first my heart did suck;
The next shall clean out of my breast it pluck.",Alas Madam for Stealing of a Kiss,Renaissance,Love
EDMUND SPENSER,"The sovereign beauty which I do admire,
Witness the world how worthy to be praised:
The light whereof hath kindled heavenly fire
In my frail spirit, by her from baseness raised;
That being now with her huge brightness dazed,
Base thing I can no more endure to view;
But looking still on her, I stand amazed
At wondrous sight of so celestial hue.
So when my tongue would speak her praises due,
It stopped is with thought's astonishment:
And when my pen would write her titles true,
It ravish'd is with fancy's wonderment:
Yet in my heart I then both speak and write
The wonder that my wit cannot endite.",Amoretti III: The Sovereign Beauty,Renaissance,Love
EDMUND SPENSER,"Like as a huntsman after weary chase,
Seeing the game from him escap'd away,
Sits down to rest him in some shady place,
With panting hounds beguiled of their prey:
So after long pursuit and vain assay,
When I all weary had the chase forsook,
The gentle deer return'd the self-same way,
Thinking to quench her thirst at the next brook.
There she beholding me with milder look,
Sought not to fly, but fearless still did bide:
Till I in hand her yet half trembling took,
And with her own goodwill her firmly tied.
Strange thing, me seem'd, to see a beast so wild,
So goodly won, with her own will beguil'd.",Amoretti LXVII: Like as a Huntsman,Renaissance,Love
EDMUND SPENSER,"Most happy letters, fram'd by skilful trade,
With which that happy name was first design'd:
The which three times thrice happy hath me made,
With gifts of body, fortune, and of mind.
The first my being to me gave by kind,
From mother's womb deriv'd by due descent,
The second is my sovereign Queen most kind,
That honour and large richesse to me lent.
The third my love, my life's last ornament,
By whom my spirit out of dust was raised:
To speak her praise and glory excellent,
Of all alive most worthy to be praised.
Ye three Elizabeths for ever live,
That three such graces did unto me give.",Amoretti LXXIV: Most Happy Letters,Renaissance,Love
EDMUND SPENSER,"Men call you fair, and you do credit it,
For that your self ye daily such do see:
But the true fair, that is the gentle wit,
And vertuous mind, is much more prais'd of me.
For all the rest, how ever fair it be,
Shall turn to naught and lose that glorious hue:
But only that is permanent and free
From frail corruption, that doth flesh ensue.
That is true beauty: that doth argue you
To be divine, and born of heavenly seed:
Deriv'd from that fair Spirit, from whom all true
And perfect beauty did at first proceed.
He only fair, and what he fair hath made,
All other fair, like flowers untimely fade.",Amoretti LXXIX: Men Call you Fair,Renaissance,Love
EDMUND SPENSER,"One day I wrote her name upon the strand,
But came the waves and washed it away:
Again I wrote it with a second hand,
But came the tide, and made my pains his prey.
""Vain man,"" said she, ""that dost in vain assay,
A mortal thing so to immortalize;
For I myself shall like to this decay,
And eke my name be wiped out likewise.""
""Not so,"" (quod I) ""let baser things devise
To die in dust, but you shall live by fame:
My verse your vertues rare shall eternize,
And in the heavens write your glorious name:
Where whenas death shall all the world subdue,
Our love shall live, and later life renew.""",Amoretti LXXV: One Day I Wrote her Name,Renaissance,Love
EDMUND SPENSER,"This holy season, fit to fast and pray,
Men to devotion ought to be inclin'd:
Therefore I likewise on so holy day,
For my sweet saint some service fit will find.
Her temple fair is built within my mind,
In which her glorious image placed is,
On which my thoughts do day and night attend,
Like sacred priests that never think amiss.
There I to her as th' author of my bliss,
Will build an altar to appease her ire:
And on the same my heart will sacrifice,
Burning in flames of pure and chaste desire:
The which vouchsafe, O goddess, to accept,
Amongst thy dearest relics to be kept.",Amoretti XXII: This Holy Season,Renaissance,Love
EDMUND SPENSER,"AH whither, Love, wilt thou now carry me?
What wontless fury dost thou now inspire
Into my feeble breast, too full of thee?
Whilst seeking to aslake thy raging fire,
Thou in me kindlest much more great desire,
And up aloft above my strength dost raise
The wondrous matter of my fire to praise.

That as I erst in praise of thine own name,
So now in honour of thy mother dear,
An honourable hymn I eke should frame,
And with the brightness of her beauty clear,
The ravish'd hearts of gazeful men might rear
To admiration of that heavenly light,
From whence proceeds such soul-enchanting might.

Thereto do thou, great goddess, queen of beauty,
Mother of love, and of all world's delight,
Without whose sovereign grace and kindly duty
Nothing on earth seems fair to fleshly sight,
Do thou vouchsafe with thy love-kindling light
T' illuminate my dim and dulled eyne,
And beautify this sacred hymn of thine:

That both to thee, to whom I mean it most,
And eke to her, whose fair immortal beam
Hath darted fire into my feeble ghost,
That now it wasted is with woes extreme,
It may so please, that she at length will stream
Some dew of grace into my withered heart,
After long sorrow and consuming smart.

WHAT time this world's great Workmaster did cast
To make all things such as we now behold,
It seems that he before his eyes had plac'd
A goodly pattern, to whose perfect mould
He fashion'd them as comely as he could;
That now so fair and seemly they appear,
As nought may be amended anywhere.

That wondrous pattern, wheresoe'er it be,
Whether in earth laid up in secret store,
Or else in heaven, that no man may it see
With sinful eyes, for fear it to deflore,
Is perfect Beauty, which all men adore;
Whose face and feature doth so much excel
All mortal sense, that none the same may tell.

Thereof as every earthly thing partakes
Or more or less, by influence divine,
So it more fair accordingly it makes,
And the gross matter of this earthly mine,
Which clotheth it, thereafter doth refine,
Doing away the dross which dims the light
Of that fair beam which therein is empight.

For, through infusion of celestial power,
The duller earth it quick'neth with delight,
And lifeful spirits privily doth pour
Through all the parts, that to the looker's sight
They seem to please. That is thy sovereign might,
O Cyprian queen, which flowing from the beam
Of thy bright star, thou into them dost stream.

That is the thing which giveth pleasant grace
To all things fair, that kindleth lively fire,
Light of thy lamp, which, shining in the face,
Thence to the soul darts amorous desire,
And robs the hearts of those which it admire;
Therewith thou pointest thy son's poison'd arrow,
That wounds the life, and wastes the inmost marrow.

How vainly then do idle wits invent,
That beauty is nought else but mixture made
Of colours fair, and goodly temp'rament
Of pure complexions, that shall quickly fade
And pass away, like to a summer's shade;
Or that it is but comely composition
Of parts well measur'd, with meet disposition.

Hath white and red in it such wondrous power,
That it can pierce through th' eyes unto the heart,
And therein stir such rage and restless stour,
As nought but death can stint his dolour's smart?
Or can proportion of the outward part
Move such affection in the inward mind,
That it can rob both sense and reason blind?

Why do not then the blossoms of the field,
Which are array'd with much more orient hue,
And to the sense most dainty odours yield,
Work like impression in the looker's view?
Or why do not fair pictures like power shew,
In which oft-times we nature see of art
Excell'd, in perfect limning every part?

But ah, believe me, there is more than so,
That works such wonders in the minds of men;
I, that have often prov'd, too well it know,
And whoso list the like assays to ken,
Shall find by trial, and confess it then,
That beauty is not, as fond men misdeem,
An outward shew of things, that only seem.

For that same goodly hue of white and red,
With which the cheeks are sprinkled, shall decay,
And those sweet rosy leaves, so fairly spread
Upon the lips, shall fade and fall away
To that they were, even to corrupted clay;
That golden wire, those sparkling stars so bright,
Shall turn to dust; and lose their goodly light.

But that fair lamp, from whose celestial ray
That light proceeds, which kindleth lovers' fire,
Shall never be extinguish'd nor decay;
But when the vital spirits do expire,
Unto her native planet shall retire;
For it is heavenly born and cannot die,
Being a parcel of the purest sky.

For when the soul, the which derived was,
At first, out of that great immortal Spright,
By whom all live to love, whilom did pass
Down from the top of purest heaven's height
To be embodied here, it then took light
And lively spirits from that fairest star,
Which lights the world forth from his fiery car.

Which power retaining still or more or less,
When she in fleshly seed is eft enraced,
Through every part she doth the same impress,
According as the heavens have her graced,
And frames her house, in which she will be placed,
Fit for herself, adorning it with spoil
Of th' heavenly riches which she robb'd erewhile.

Thereof it comes that these fair souls, which have
The most resemblance of that heavenly light,
Frame to themselves most beautiful and brave
Their fleshly bower, most fit for their delight,
And the gross matter by a sovereign might
Tempers so trim, that it may well be seen
A palace fit for such a virgin queen.

So every spirit, as it is most pure,
And hath in it the more of heavenly light,
So it the fairer body doth procure
To habit in, and it more fairly dight
With cheerful grace and amiable sight.
For of the soul the body form doth take:
For soul is form, and doth the body make.

Therefore wherever that thou dost behold
A comely corpse, with beauty fair endued,
Know this for certain, that the same doth hold
A beauteous soul, with fair conditions thewed,
Fit to receive the seed of virtue strewed.
For all that fair is, is by nature good;
That is a sign to know the gentle blood.

Yet oft it falls that many a gentle mind
Dwells in deformed tabernacle drown'd,
Either by chance, against the course of kind,
Or through unaptness in the substance found,
Which it assumed of some stubborn ground,
That will not yield unto her form's direction,
But is deform'd with some foul imperfection.

And oft it falls, (ay me, the more to rue)
That goodly beauty, albe heavenly born,
Is foul abus'd, and that celestial hue,
Which doth the world with her delight adorn,
Made but the bait of sin, and sinners' scorn,
Whilst every one doth seek and sue to have it,
But every one doth seek but to deprave it.

Yet nathemore is that fair beauty's blame,
But theirs that do abuse it unto ill:
Nothing so good, but that through guilty shame
May be corrupt, and wrested unto will:
Natheless the soul is fair and beauteous still,
However flesh{""e}s fault it filthy make;
For things immortal no corruption take.

But ye fair dames, the world's dear ornaments
And lively images of heaven's light,
Let not your beams with such disparagements
Be dimm'd, and your bright glory dark'ned quite;
But mindful still of your first country's sight,
Do still preserve your first informed grace,
Whose shadow yet shines in your beauteous face.

Loathe that foul blot, that hellish firebrand,
Disloyal lust, fair beauty's foulest blame,
That base affections, which your ears would bland,
Commend to you by love's abused name,
But is indeed the bondslave of defame;
Which will the garland of your glory mar,
And quench the light of your bright shining star.

But gentle Love, that loyal is and true,
Will more illumine your resplendent ray,
And add more brightness to your goodly hue,
From light of his pure fire; which, by like way
Kindled of yours, your likeness doth display;
Like as two mirrors, by oppos'd reflection,
Do both express the face's first impression.

Therefore, to make your beauty more appear,
It you behoves to love, and forth to lay
That heavenly riches which in you ye bear,
That men the more admire their fountain may;
For else what booteth that celestial ray,
If it in darkness be enshrined ever,
That it of loving eyes be viewed never?

But, in your choice of loves, this well advise,
That likest to yourselves ye them select,
The which your forms' first source may sympathize,
And with like beauty's parts be inly deckt;
For, if you loosely love without respect,
It is no love, but a discordant war,
Whose unlike parts amongst themselves do jar.

For love is a celestial harmony
Of likely hearts compos'd of stars' concent,
Which join together in sweet sympathy,
To work each other's joy and true content,
Which they have harbour'd since their first descent
Out of their heavenly bowers, where they did see
And know each other here belov'd to be.

Then wrong it were that any other twain
Should in love's gentle band combined be
But those whom Heaven did at first ordain,
And made out of one mould the more t' agree;
For all that like the beauty which they see,
Straight do not love; for love is not so light
As straight to burn at first beholder's sight.

But they, which love indeed, look otherwise,
With pure regard and spotless true intent,
Drawing out of the object of their eyes
A more refined form, which they present
Unto their mind, void of all blemishment;
Which it reducing to her first perfection,
Beholdeth free from flesh's frail infection.

And then conforming it unto the light,
Which in itself it hath remaining still,
Of that first Sun, yet sparkling in his sight,
Thereof he fashions in his higher skill
An heavenly beauty to his fancy's will;
And it embracing in his mind entire,
The mirror of his own thought doth admire.

Which seeing now so inly fair to be,
As outward it appeareth to the eye,
And with his spirit's proportion to agree,
He thereon fixeth all his fantasy,
And fully setteth his felicity;
Counting it fairer than it is indeed,
And yet indeed her fairness doth exceed.

For lovers' eyes more sharply sighted be
Than other men's, and in dear love's delight
See more than any other eyes can see,
Through mutual receipt of beam{""e}s bright,
Which carry privy message to the spright,
And to their eyes that inmost fair display,
As plain as light discovers dawning day.

Therein they see, through amorous eye-glances,
Armies of loves still flying to and fro,
Which dart at them their little fiery lances;
Whom having wounded, back again they go,
Carrying compassion to their lovely foe;
Who, seeing her fair eyes' so sharp effect,
Cures all their sorrows with one sweet aspect.

In which how many wonders do they rede
To their conceit, that others never see,
Now of her smiles, with which their souls they feed,
Like gods with nectar in their banquets free;
Now of her looks, which like to cordials be;
But when her words' embassade forth she sends,
Lord, how sweet music that unto them lends.

Sometimes upon her forehead they behold
A thousand graces masking in delight;
Sometimes within her eyelids they unfold
Ten thousand sweet belgards, which to their sight
Do seem like twinkling stars in frosty night;
But on her lips, like rosy buds in May,
So many millions of chaste pleasures play.

All those, O Cytherea, and thousands more
Thy handmaids be, which do on thee attend,
To deck thy beauty with their dainties' store,
That may it more to mortal eyes commend,
And make it more admir'd of foe and friend:
That in men's hearts thou may'st thy throne install,
And spread thy lovely kingdom over all.

Then Io, triumph! O great Beauty's Queen,
Advance the banner of thy conquest high,
That all this world, the which thy vassals bene,
May draw to thee, and with due fealty
Adore the power of thy great majesty,
Singing this hymn in honour of thy name,
Compil'd by me, which thy poor liegeman am.

In lieu whereof grant, O great sovereign,
That she whose conquering beauty doth captive
My trembling heart in her eternal chain,
One drop of grace at length will to me give,
That I her bounden thrall by her may live,
And this same life, which first fro me she reaved,
May owe to her, of whom I it received.

And you, fair Venus' darling, my dear dread,
Fresh flower of grace, great goddess of my life,
When your fair eyes these fearful lines shall read,
Deign to let fall one drop of due relief,
That may recure my heart's long pining grief,
And shew what wondrous power your beauty hath,
That can restore a damned wight from death.",An Hymn In Honour Of Beauty,Renaissance,Love
SIR THOMAS WYATT,"And wilt thou leave me thus?
Say nay, say nay, for shame,
To save thee from the blame
Of all my grief and grame;
And wilt thou leave me thus?
Say nay, say nay!

And wilt thou leave me thus,
That hath loved thee so long
In wealth and woe among?
And is thy heart so strong
As for to leave me thus?
Say nay, say nay!

And wilt thou leave me thus,
That hath given thee my heart
Never for to depart,
Nother for pain nor smart;
And wilt thou leave me thus?
Say nay, say nay!

And wilt thou leave me thus
And have no more pity
Of him that loveth thee?
Helas, thy cruelty!
And wilt thou leave me thus?
Say nay, say nay!",And Wilt thou Leave me Thus?,Renaissance,Love
SIR PHILIP SIDNEY,"Loving in truth, and fain in verse my love to show,
That she, dear she, might take some pleasure of my pain,
Pleasure might cause her read, reading might make her know,
Knowledge might pity win, and pity grace obtain,
I sought fit words to paint the blackest face of woe;
Studying inventions fine her wits to entertain,
Oft turning others' leaves, to see if thence would flow
Some fresh and fruitful showers upon my sunburn'd brain.
But words came halting forth, wanting invention's stay;
Invention, Nature's child, fled step-dame Study's blows;
And others' feet still seem'd but strangers in my way.
Thus great with child to speak and helpless in my throes,
Biting my truant pen, beating myself for spite,
""Fool,"" said my Muse to me, ""look in thy heart, and write.""","Astrophil and Stella 1: Loving in truth, and fain in verse my love to show",Renaissance,Love
SIR PHILIP SIDNEY,"You that do search for every purling spring
Which from the ribs of old Parnassus flows,
And every flower, not sweet perhaps, which grows
Near thereabouts, into your poesy wring;
Ye that do dictionary's method bring
Into your rimes, running in rattling rows;
You that poor Petrarch's long-deceased woes
With new-born sighs and denizen'd wit do sing:
You take wrong ways; those far-fet helps be such
As do bewray a want of inward touch,
And sure, at length stol'n goods do come to light.
But if, both for your love and skill, your name
You seek to nurse at fullest breasts of Fame,
Stella behold, and then begin to endite.",Astrophil and Stella 15: You that do search for every purling spring ,Renaissance,Love
SIR PHILIP SIDNEY,"Fly, fly, my friends, I have my death wound, fly!
See there that boy, that murd'ring boy, I say,
Who, like a thief, hid in dark bush doth lie
Till bloody bullet get him wrongful prey.
So tyrant he no fitter place could spy,
Nor so fair level in so secret stay,
As that sweet black which veils the heav'nly eye;
There himself with his shot he close doth lay.
Poor passenger, pass now thereby I did,
And stay'd, pleas'd with the prospect of the place,
While that black hue from me the bad guest hid;
But straight I saw motions of lightning grace
And then descried the glist'ring of his dart:
But ere I could fly thence it pierc'd my heart.","Astrophil and Stella 20: Fly, fly, my friends, I have my death wound, fly",Renaissance,Love
SIR PHILIP SIDNEY,"The curious wits, seeing dull pensiveness
Bewray itself in my long-settl'd eyes,
Whence those same fumes of melancholy rise,
With idle pains and missing aim do guess.
Some, that know how my spring I did address,
Deem that my Muse some fruit of knowledge plies;
Others, because the prince my service tries,
Think that I think state errors to redress;
But harder judges judge ambition's ragei
Scourge of itself, still climbing slipp'ry placei
Holds my young brain captiv'd in golden cage.
O fool or over-wise! alas, the race
Of all my thoughts hath neither stop nor start
But only Stella's eyes and Stella's heart.","Astrophil and Stella 23: The curious wits, seeing dull pensiveness",Renaissance,Love
SIR PHILIP SIDNEY,"Let dainty wits cry on the sisters nine,
That, bravely mask'd, their fancies may be told;
Or, Pindar's apes, flaunt they in phrases fine,
Enam'ling with pied flowers their thoughts of gold.
Or else let them in statelier glory shine,
Ennobling newfound tropes with problems old;
Or with strange similes enrich each line,
Of herbs or beasts which Ind or Afric hold.
For me, in sooth, no Muse but one I know;
Phrases and problems from my reach do grow,
And strange things cost too dear for my poor sprites.
How then? even thus: in Stella's face I read
What love and beauty be; then all my deed
But copying is, what in her Nature writes.",Astrophil and Stella 3: Let dainty wits cry on the sisters nine,Renaissance,Love
SIR PHILIP SIDNEY,"With how sad steps, O Moon, thou climb'st the skies!
How silently, and with how wan a face!
What, may it be that even in heav'nly place
That busy archer his sharp arrows tries!
Sure, if that long-with love-acquainted eyes
Can judge of love, thou feel'st a lover's case,
I read it in thy looks; thy languish'd grace
To me, that feel the like, thy state descries.
Then, ev'n of fellowship, O Moon, tell me,
Is constant love deem'd there but want of wit?
Are beauties there as proud as here they be?
Do they above love to be lov'd, and yet
Those lovers scorn whom that love doth possess?
Do they call virtue there ungratefulness?","Astrophil and Stella 31: With how sad steps, O Moon, thou climb'st the skies",Renaissance,Love
SIR PHILIP SIDNEY,"I might!unhappy wordO me, I might,
And then would not, or could not, see my bliss;
Till now wrapt in a most infernal night,
I find how heav'nly day, wretch! I did miss.
Heart, rend thyself, thou dost thyself but right;
No lovely Paris made thy Helen his,
No force, no fraud robb'd thee of thy delight,
Nor Fortune of thy fortune author is;
But to myself myself did give the blow,
While too much wit, forsooth, so troubled me
That I respects for both our sakes must show:
And yet could not by rising morn foresee
How fair a day was near: O punish'd eyes,
That I had been more foolish,or more wise!","Astrophil and Stella 33: I might!unhappy wordO me, I might",Renaissance,Love
SIR PHILIP SIDNEY,"Come Sleep! O Sleep, the certain knot of peace,
The baiting-place of wit, the balm of woe,
The poor man's wealth, the prisoner's release,
Th' indifferent judge between the high and low.
With shield of proof shield me from out the prease
Of those fierce darts despair at me doth throw:
O make in me those civil wars to cease;
I will good tribute pay, if thou do so.
Take thou of me smooth pillows, sweetest bed,
A chamber deaf to noise and blind to light,
A rosy garland and a weary head:
And if these things, as being thine by right,
Move not thy heavy grace, thou shalt in me,
Livelier than elsewhere, Stella's image see.","Astrophil and Stella 39: Come Sleep! O Sleep, the certain knot of peace",Renaissance,Love
SIR PHILIP SIDNEY,"Having this day my horse, my hand, my lance
Guided so well that I obtain'd the prize,
Both by the judgment of the English eyes
And of some sent from that sweet enemy France;
Horsemen my skill in horsemanship advance,
Town folks my strength; a daintier judge applies
His praise to sleight which from good use doth rise;
Some lucky wits impute it but to chance;
Others, because of both sides I do take
My blood from them who did excel in this,
Think Nature me a man of arms did make.
How far they shot awry! The true cause is,
Stella look'd on, and from her heav'nly face
Sent forth the beams which made so fair my race.","Astrophil and Stella 41: Having this day my horse, my hand, my lance ",Renaissance,Love
SIR PHILIP SIDNEY,"No more, my dear, no more these counsels try;
Oh, give my passions leave to run their race;
Let Fortune lay on me her worst disgrace;
Let folk o'ercharg'd with brain against me cry;
Let clouds bedim my face, break in mine eye;
Let me no steps but of lost labour trace;
Let all the earth with scorn recount my case,
But do not will me from my love to fly.
I do not envy Aristotle's wit,
Nor do aspire to Caesar's bleeding fame;
Nor aught do care though some above me sit;
Nor hope nor wish another course to frame,
But that which once may win thy cruel heart:
Thou art my wit, and thou my virtue art.","Astrophil and Stella 64: No more, my dear, no more these counsels try",Renaissance,Love
