,0,1,2,3,4,5,6,7,8,haiku,lang
591,teeth in a glass,the nurse takes away his pot,of blue hyacinths,,,,,,,"teeth in a glass
the nurse takes away his pot
of blue hyacinths",en
592,coffee cold,she clips the obituary,from many papers,,,,,,,"coffee cold
she clips the obituary
from many papers",en
593,august wind,on the dock seagulls,stand on two legs,,,,,,,"august wind
on the dock seagulls
stand on two legs",en
594,strong winter wind,bits of Batman kite wings,fall from the tree,,,,,,,"strong winter wind
bits of Batman kite wings
fall from the tree",en
595,georgia peach,sweet cream and wrinkle remover,in the shopping cart,,,,,,,"georgia peach
sweet cream and wrinkle remover
in the shopping cart",en
596,a skein of birds,twines across the sky,the northbound train departs,,,,,,,"a skein of birds
twines across the sky
the northbound train departs",en
597,dawn chorus begins,I reach for,the snooze button,,,,,,,"dawn chorus begins
I reach for
the snooze button",en
598,brise dans le lierre,deux couples de papillons,se poursuivent sans bruit,,,,,,,"brise dans le lierre
deux couples de papillons
se poursuivent sans bruit",fr
599,tête levée,le cheval cueille aux branches,la neige fraîche,,,,,,,"tête levée
le cheval cueille aux branches
la neige fraîche",fr
600,par ce vasistas,le soleil ne passait plus,depuis longtemps,,,,,,,"par ce vasistas
le soleil ne passait plus
depuis longtemps",fr
601,late rising moon,fireflies decorate,the tamarind tree,,,,,,,"late rising moon
fireflies decorate
the tamarind tree",en
602,moving day,my life,reduced to boxes,,,,,,,"moving day
my life
reduced to boxes",en
603,rainstorm,ants drink,from a droplet,,,,,,,"rainstorm
ants drink
from a droplet",en
604,meteor watching --,a match lights up,an unknown face,,,,,,,"meteor watching --
a match lights up
an unknown face",en
605,snestormen -- ,alle vejskiltene,er hvide,,,,,,,"snestormen -- 
alle vejskiltene
er hvide",da
606,Ancient roman ruins,along both sides of the road,white jet trail above...,,,,,,,"Ancient roman ruins
along both sides of the road
white jet trail above...",en
607,Sky dewed with stars,cool air listening in news,a man was hanged.,,,,,,,"Sky dewed with stars
cool air listening in news
a man was hanged.",en
608,Country cemetery,snail on corroded tombstone,trails from A to O...,,,,,,,"Country cemetery
snail on corroded tombstone
trails from A to O...",en
609,leftover summer grass,... horses browse,through crusted snow,,,,,,,"leftover summer grass
... horses browse
through crusted snow",en
610,old leather saddle,cherry colored and shiny,smells of horse,,,,,,,"old leather saddle
cherry colored and shiny
smells of horse",en
611,dentist's office -,cracks between tiles,filled with dirt,,,,,,,"dentist's office -
cracks between tiles
filled with dirt",en
612,raking the leaves ~,wind blows,the wrong way,,,,,,,"raking the leaves ~
wind blows
the wrong way",en
613,hot beach sand...,between my fingers,a cigarette butt,,,,,,,"hot beach sand...
between my fingers
a cigarette butt",en
614,between the second,and the third line -,short trip to bathroom,,,,,,,"between the second
and the third line -
short trip to bathroom",en
615,stupid arab -,he only wants to learn,to fly straight,,,,,,,"stupid arab -
he only wants to learn
to fly straight",en
616,egret stands,"in the blue rice field,",dusk creeps in,,,,,,,"egret stands
in the blue rice field,
dusk creeps in",en
617,long centipede,on the ceiling- long talks,of what to do,,,,,,,"long centipede
on the ceiling- long talks
of what to do",en
618,white clouds drift,"in the August sky,",a child dreams,,,,,,,"white clouds drift
in the August sky,
a child dreams",en
619,desire,the honey,inside me,,,,,,,"desire
the honey
inside me",en
620,Post Office --,stamped on the sidewalk,pink blossoms,,,,,,,"Post Office --
stamped on the sidewalk
pink blossoms",en
621,straw hat -,flowers fading,under the sun,,,,,,,"straw hat -
flowers fading
under the sun",en
622,voices of loons,cross the misted cove,call and response,,,,,,,"voices of loons
cross the misted cove
call and response",en
623,rainy day--,they give me back,my shoelaces,,,,,,,"rainy day--
they give me back
my shoelaces",en
624,dusk--,the space between us,filling with snow,,,,,,,"dusk--
the space between us
filling with snow",en
625,fragile morning--,a blue psilocybin in the middle,of the garden,,,,,,,"fragile morning--
a blue psilocybin in the middle
of the garden",en
626,Talking with you,now this morning somehow,scent of plumeria,,,,,,,"Talking with you
now this morning somehow
scent of plumeria",en
627,Red as the poppy,maple leaves fall,on the memorial,,,,,,,"Red as the poppy
maple leaves fall
on the memorial",en
628,First day of Autumn,even your touch feels,somewhat cooler,,,,,,,"First day of Autumn
even your touch feels
somewhat cooler",en
629,At last some sunshine,blue Pacifc this morning,boiling tea water,,,,,,,"At last some sunshine
blue Pacifc this morning
boiling tea water",en
630,In the room,white lillies in the vase,scent of pepper,,,,,,,"In the room
white lillies in the vase
scent of pepper",en
631,Light-studded ferry,passes in the starless night,another week-end,,,,,,,"Light-studded ferry
passes in the starless night
another week-end",en
632,The sunrise,fresh salmon on ice,so very pink,,,,,,,"The sunrise
fresh salmon on ice
so very pink",en
633,A tunnel of fog,connects the two islands,warmth of my duvet,,,,,,,"A tunnel of fog
connects the two islands
warmth of my duvet",en
634,October morning,a new pair of new wool socks,on my very cold feet,,,,,,,"October morning
a new pair of new wool socks
on my very cold feet",en
635,Last night of Summer,the bright full moon of last night,hidden by a cloud,,,,,,,"Last night of Summer
the bright full moon of last night
hidden by a cloud",en
636,All my lights off,to watch the rising,of the Harvest moon,,,,,,,"All my lights off
to watch the rising
of the Harvest moon",en
637,In this desert,a memory of blue sea --,shells in the sand,,,,,,,"In this desert
a memory of blue sea --
shells in the sand",en
638,Federal Express,reaches me through the fog,plumeria lei,,,,,,,"Federal Express
reaches me through the fog
plumeria lei",en
639,Midnight and full moon,my neighbour asks to borrow,the vacum cleaner,,,,,,,"Midnight and full moon
my neighbour asks to borrow
the vacum cleaner",en
640,The blue iris,colour changing hue,soft Summer rain,,,,,,,"The blue iris
colour changing hue
soft Summer rain",en
641,A sea change,the weather turns cool,hot rum and lemon,,,,,,,"A sea change
the weather turns cool
hot rum and lemon",en
642,moldy odors,in the nursing home,dying elders,,,,,,,"moldy odors
in the nursing home
dying elders",en
643,équinoxe,toutes les couleurs de l'automne,dans le ciel,,,,,,,"équinoxe
toutes les couleurs de l'automne
dans le ciel",fr
644,february 15th,a broken heart,in the cookie box,,,,,,,"february 15th
a broken heart
in the cookie box",en
645,smell of newsprint,twenty beauty queens,with one smile,,,,,,,"smell of newsprint
twenty beauty queens
with one smile",en
646,gust of wind,a woman’s face lights up,by the cooking fire,,,,,,,"gust of wind
a woman’s face lights up
by the cooking fire",en
647,rice-green pond,dark herons stand,in an arc,,,,,,,"rice-green pond
dark herons stand
in an arc",en
648,midnight,the moon dances,in my teacup,,,,,,,"midnight
the moon dances
in my teacup",en
649,burnt-down house,yellow elders bloom,in the garden,,,,,,,"burnt-down house
yellow elders bloom
in the garden",en
650,waiting for moonrise,the moving red dot,becomes a plane,,,,,,,"waiting for moonrise
the moving red dot
becomes a plane",en
651,cool morning,a fog of insecticide,in the red truck's wake,,,,,,,"cool morning
a fog of insecticide
in the red truck's wake",en
652,harsh sunlight,faces peep through the bars,of the police van,,,,,,,"harsh sunlight
faces peep through the bars
of the police van",en
653,moonrise,a woman croons,to her baby,,,,,,,"moonrise
a woman croons
to her baby",en
654,burnt house,the owner’s name,on the iron gate,,,,,,,"burnt house
the owner’s name
on the iron gate",en
655,petrol fumes,smell of fresh bread,from the bakery,,,,,,,"petrol fumes
smell of fresh bread
from the bakery",en
656,clacking rails,five languages,in the compartment,,,,,,,"clacking rails
five languages
in the compartment",en
657,small talk,sixteen ants on the wall...,seventeen...,,,,,,,"small talk
sixteen ants on the wall...
seventeen...",en
658,flight of egrets,a boy stands with his ear,to a telephone pole,,,,,,,"flight of egrets
a boy stands with his ear
to a telephone pole",en
659,last station,the king of hearts on the floor,of the compartment,,,,,,,"last station
the king of hearts on the floor
of the compartment",en
660,sultry afternoon,little mirages,above the tar,,,,,,,"sultry afternoon
little mirages
above the tar",en
661,melting tar,silk cotton drifts,across the road,,,,,,,"melting tar
silk cotton drifts
across the road",en
662,smoky moon,a cloud of insects around,the street light,,,,,,,"smoky moon
a cloud of insects around
the street light",en
663,crystal morning,dried puke,on the car door,,,,,,,"crystal morning
dried puke
on the car door",en
664,a bullock cart,loaded high with shoe boxes,the driver’s cracked feet,,,,,,,"a bullock cart
loaded high with shoe boxes
the driver’s cracked feet",en
665,empty street,the For Sale sign,overgrown with weeds,,,,,,,"empty street
the For Sale sign
overgrown with weeds",en
666,tree less corners,the tall shadows,of beer bottles,,,,,,,"tree less corners
the tall shadows
of beer bottles",en
667,faded asters,the cortege pauses at her gate,moves on,,,,,,,"faded asters
the cortege pauses at her gate
moves on",en
668,biopsy,just a cyst - this time,a break in the clouds,,,,,,,"biopsy
just a cyst - this time
a break in the clouds",en
669,plastic flowers,placed beside the highway,memory fades,,,,,,,"plastic flowers
placed beside the highway
memory fades",en
670,troubled sleep --,steam rises,from a storm sewer,,,,,,,"troubled sleep --
steam rises
from a storm sewer",en
671,Wall Street watch --,the unnerving plunge,of her neckline,,,,,,,"Wall Street watch --
the unnerving plunge
of her neckline",en
672,my daughter's 18th birthday --,the warming sunshine,in her hair,,,,,,,"my daughter's 18th birthday --
the warming sunshine
in her hair",en
673,orthopedist's office --,all paintings tilted,slightly off center,,,,,,,"orthopedist's office --
all paintings tilted
slightly off center",en
674,stood up,by a part-time lover --,shooting star,,,,,,,"stood up
by a part-time lover --
shooting star",en
675,english newspaper,a lot of starving people,between fish & chips,,,,,,,"english newspaper
a lot of starving people
between fish & chips",en
676,five star hotel -,a cockroach scurries,pool-side,,,,,,,"five star hotel -
a cockroach scurries
pool-side",en
677,his old hands,working the soil -,smell of brewed tea::    ses vieilles mains,   travaillant le sol -,   odeur du thé infusé,,,,,"his old hands
working the soil -
smell of brewed tea::    ses vieilles mains
   travaillant le sol -
   odeur du thé infusé",en
678,forty-six years,writing my name,yellow in snow,,,,,,,"forty-six years
writing my name
yellow in snow",en
679,at the memorial,a hawk's cry,scatters her ashes,,,,,,,"at the memorial
a hawk's cry
scatters her ashes",en
680,hawk's hover -,the view of calm seas,through a gunport,,,,,,,"hawk's hover -
the view of calm seas
through a gunport",en
681,mothers' day,I let the phone ring longer,for her,,,,,,,"mothers' day
I let the phone ring longer
for her",en
682,mid October,the sudden thinness,of my robe,,,,,,,"mid October
the sudden thinness
of my robe",en
683,wood flute music,through an open window,the crow's rasp,,,,,,,"wood flute music
through an open window
the crow's rasp",en
684,scenting two pages,of the Webster's Unabridged . . .,wild lilac,,,,,,,"scenting two pages
of the Webster's Unabridged . . .
wild lilac",en
685,Valentine's dinner--,nothing on the menu,suits him,,,,,,,"Valentine's dinner--
nothing on the menu
suits him",en
686,"from the armoire,",scent of passion in a candle,yet to be burned,,,,,,,"from the armoire,
scent of passion in a candle
yet to be burned",en
687,stroke of  . . .,his snoring punctuated,by fireworks,,,,,,,"stroke of  . . .
his snoring punctuated
by fireworks",en
688,a new year's bonfire,misty rain,on the embers,,,,,,,"a new year's bonfire
misty rain
on the embers",en
689,typhoon warning,a farmer on the path,between the rice fields,,,,,,,"typhoon warning
a farmer on the path
between the rice fields",en
690,the farmer lady,a few daffodils in a basket,of white radish,,,,,,,"the farmer lady
a few daffodils in a basket
of white radish",en
691,March wind,a strawberry off,from my birthday cake,,,,,,,"March wind
a strawberry off
from my birthday cake",en
692,just extinguished-,smoke slowly curls,out pumpkin eyes,,,,,,,"just extinguished-
smoke slowly curls
out pumpkin eyes",en
693,Jour de pluie,Au travers des vitraux,Le jasmin jaune,,,,,,,"Jour de pluie
Au travers des vitraux
Le jasmin jaune",fr
694,arthrite -,un autre verre de vin,de la main gauche,,,,,,,"arthrite -
un autre verre de vin
de la main gauche",fr
695,automne ce matin -,l'oiseau sur son épaule gauche,recouvert,,,,,,,"automne ce matin -
l'oiseau sur son épaule gauche
recouvert",fr
696,afternoon rain-,a neighbor opening her curtains,too,,,,,,,"afternoon rain-
a neighbor opening her curtains
too",en
697,Lune parfaitement ronde,Buée sur la vitre,,,,,,,,"Lune parfaitement ronde
Buée sur la vitre",fr
698,jusqu'à tard dans la nuit,nos deux tasses vides,depuis longtemps,,,,,,,"jusqu'à tard dans la nuit
nos deux tasses vides
depuis longtemps",fr
699,New-York September,the one-way sign points towards,the billowing cloud,,,,,,,"New-York September
the one-way sign points towards
the billowing cloud",en
700,Full moon night -,the shape of the mannequins' breasts,in the shop-window,,,,,,,"Full moon night -
the shape of the mannequins' breasts
in the shop-window",en
701,milieu d'août,les haïkus,à marée basse,,,,,,,"milieu d'août
les haïkus
à marée basse",fr
702,la poétesse,"partie, restent les haïkus",et la tasse froide,,,,,,,"la poétesse
partie, restent les haïkus
et la tasse froide",fr
703,les seins des mannequins,pointent dans la vitrine,- approche du printemps,,,,,,,"les seins des mannequins
pointent dans la vitrine
- approche du printemps",fr
704,sur la cheminée,le bleu du couvreur,- équinoxe vernal,,,,,,,"sur la cheminée
le bleu du couvreur
- équinoxe vernal",fr
705,huit heures.,"trois quart lune, son halo",d'hiver - rond encore,,,,,,,"huit heures.
trois quart lune, son halo
d'hiver - rond encore",fr
706,marée basse -,la maman parle au loin,dans son portable,,,,,,,"marée basse -
la maman parle au loin
dans son portable",fr
707,parc de la Villette -,quelques gouttes de pluie tombent,du sous-marin noir,,,,,,,"parc de la Villette -
quelques gouttes de pluie tombent
du sous-marin noir",fr
708,"au soleil levant,","la brise et quelques points blancs,",près des cerisiers,,,,,,,"au soleil levant,
la brise et quelques points blancs,
près des cerisiers",fr
709,fin d'hiver -,"au milieu des tags, les lignes",de la vigne vierge,,,,,,,"fin d'hiver -
au milieu des tags, les lignes
de la vigne vierge",fr
710,inhaling spring -,her new breast,two months old,,,,,,,"inhaling spring -
her new breast
two months old",en
711,requiem mass -,flecks of dust drift,in stifling air,,,,,,,"requiem mass -
flecks of dust drift
in stifling air",en
712,morning rush,he finds a half red kiss,on his coffee cup,,,,,,,"morning rush
he finds a half red kiss
on his coffee cup",en
713,tense meeting --,my chewing gum,out of flavor,,,,,,,"tense meeting --
my chewing gum
out of flavor",en
714,puddle,from last nights rain,reflects the clouds,,,,,,,"puddle
from last nights rain
reflects the clouds",en
715,Tout le monde pleure,A cet enterrement,Le bébé aussi,,,,,,,"Tout le monde pleure
A cet enterrement
Le bébé aussi",fr
716,cold snap -,more than my prints,on the camera,,,,,,,"cold snap -
more than my prints
on the camera",en
717,Day of the Oscars-,in the Spring sun,I plant onions...,,,,,,,"Day of the Oscars-
in the Spring sun
I plant onions...",en
718,yellow walnut leaves,slowly appear on the lawn--,early morning light,,,,,,,"yellow walnut leaves
slowly appear on the lawn--
early morning light",en
719,longue péniche,lente sur le canal,la lune,,,,,,,"longue péniche
lente sur le canal
la lune",fr
720,morning commute-,headlights fade,in the whiteout,,,,,,,"morning commute-
headlights fade
in the whiteout",en
721,solitary walk -,at nightfall the flash,of distant fireworks,,,,,,,"solitary walk -
at nightfall the flash
of distant fireworks",en
722,sunlit helmet,the young soldier's eyes,invisible,,,,,,,"sunlit helmet
the young soldier's eyes
invisible",en
723,sunday lunch,the chatter of children,among hard drinkers,,,,,,,"sunday lunch
the chatter of children
among hard drinkers",en
724,l'herbe givrée,déjà la nuque du cheval,au soleil,,,,,,,"l'herbe givrée
déjà la nuque du cheval
au soleil",fr
725,poitrine nue,l`afficheur colle rapidement,le dernier morceau,,,,,,,"poitrine nue
l`afficheur colle rapidement
le dernier morceau",fr
726,symphonie de Beethoven,et l'emballage des génoises,qui se défroisse,,,,,,,"symphonie de Beethoven
et l'emballage des génoises
qui se défroisse",fr
727,film sur Matisse,-- il coupe le papier bleu,et le reflet de mon frère,,,,,,,"film sur Matisse
-- il coupe le papier bleu
et le reflet de mon frère",fr
728,le train passe,des chardons et des camomilles,fleurissent entre les rails,,,,,,,"le train passe
des chardons et des camomilles
fleurissent entre les rails",fr
729,orage d'avril,aux pieds des statues des reines de France,fleurs des marronniers,,,,,,,"orage d'avril
aux pieds des statues des reines de France
fleurs des marronniers",fr
730,silence,une mouche sèche s'éparpille,sur le linoleum,,,,,,,"silence
une mouche sèche s'éparpille
sur le linoleum",fr
731,rideau à moitié,meubles d'une chambre éclairée,-- traits gris de la demi-lune,,,,,,,"rideau à moitié
meubles d'une chambre éclairée
-- traits gris de la demi-lune",fr
732,odeur du bitume,et parfum d'un homme--,"pommier en fleurs, en ville",,,,,,,"odeur du bitume
et parfum d'un homme--
pommier en fleurs, en ville",fr
733,eclipse,the path of the sun,blocked by billboards,,,,,,,"eclipse
the path of the sun
blocked by billboards",en
734,Au premier matin,"de l'année, une lanterne",luit sur le sentier.,,,,,,,"Au premier matin
de l'année, une lanterne
luit sur le sentier.",fr
735,Vieux livre,Histoire des allergies,Eternuement,,,,,,,"Vieux livre
Histoire des allergies
Eternuement",fr
736,Au bord de l'eau,Le premier bikini,Mouette rieuse,,,,,,,"Au bord de l'eau
Le premier bikini
Mouette rieuse",fr
737,Feuilles d'automne,Devant la bibliothèque,,,,,,,,"Feuilles d'automne
Devant la bibliothèque",fr
738,internet,--- une araignée dans mon verre,au réveil,,,,,,,"internet
--- une araignée dans mon verre
au réveil",fr
739,Soleil couchant,Ils se lèvent de table,Pour regarder,,,,,,,"Soleil couchant
Ils se lèvent de table
Pour regarder",fr
740,Grande surface,Une odeur de poireau,Au rayon parfum,,,,,,,"Grande surface
Une odeur de poireau
Au rayon parfum",fr
741,sur la pierre,deux dates et un noyau,-- marelle,,,,,,,"sur la pierre
deux dates et un noyau
-- marelle",fr
742,Carnaval,Croisé dans l'escalier,Spiderman,,,,,,,"Carnaval
Croisé dans l'escalier
Spiderman",fr
743,Bouquet du vainqueur,Elle l'aurait bien donné,Au grand blond,,,,,,,"Bouquet du vainqueur
Elle l'aurait bien donné
Au grand blond",fr
744,la neige dehors,dans la maison les livres,- toutes les couleurs,,,,,,,"la neige dehors
dans la maison les livres
- toutes les couleurs",fr
745,Dans le hall,Les parapluies ouverts,A l'envers,,,,,,,"Dans le hall
Les parapluies ouverts
A l'envers",fr
746,Marée basse,Oiseaux de nuit repartis,Chips sur le tapis,,,,,,,"Marée basse
Oiseaux de nuit repartis
Chips sur le tapis",fr
747,Abribus cassé,Le top model s'échappe,Eclats de verre,,,,,,,"Abribus cassé
Le top model s'échappe
Eclats de verre",fr
748,Armistice,Il astique le lion,En bronze,,,,,,,"Armistice
Il astique le lion
En bronze",fr
749,Réparation,Ramené de Versailles,Clou dans la semelle,,,,,,,"Réparation
Ramené de Versailles
Clou dans la semelle",fr
750,Marée basse,Un crabe dans le château,De mon fils,,,,,,,"Marée basse
Un crabe dans le château
De mon fils",fr
751,Presbyte,Ce gros poisson dans l'étal,Depuis hier,,,,,,,"Presbyte
Ce gros poisson dans l'étal
Depuis hier",fr
752,courte échelle --,son fils raconte les flaques,après la pluie,,,,,,,"courte échelle --
son fils raconte les flaques
après la pluie",fr
753,Bouquet de fleurs,Déposé contre un arbre,Dans la pluie,,,,,,,"Bouquet de fleurs
Déposé contre un arbre
Dans la pluie",fr
754,tout le ciel,pour le peintre du dimanche,-- avant l'orage,,,,,,,"tout le ciel
pour le peintre du dimanche
-- avant l'orage",fr
755,harvest moon,i gather my thoughts,for winter,,,,,,,"harvest moon
i gather my thoughts
for winter",en
756,night of meteorites --,enjoying the sound of rain,instead,,,,,,,"night of meteorites --
enjoying the sound of rain
instead",en
757,driving home,full moon,dancing in puddles,,,,,,,"driving home
full moon
dancing in puddles",en
758,late summer,graffiti overgrown,with ivy,,,,,,,"late summer
graffiti overgrown
with ivy",en
759,evening sky,over fallen petals,a dark rose,,,,,,,"evening sky
over fallen petals
a dark rose",no
760,meditation room--,books of wisdom,lean left . . . and right,,,,,,,"meditation room--
books of wisdom
lean left . . . and right",en
761,turning north--,sand from both oceans,in little jars,,,,,,,"turning north--
sand from both oceans
in little jars",en
762,cool morning--,at the top of the rise,deer pass in the fog,,,,,,,"cool morning--
at the top of the rise
deer pass in the fog",en
763,sipping fresh cider--,both dippers,among the far stars,,,,,,,"sipping fresh cider--
both dippers
among the far stars",en
764,Sentinels of spring...,kites bobbing for attention,in saucy March winds,,,,,,,"Sentinels of spring...
kites bobbing for attention
in saucy March winds",en
765,three days,of cold autumn rain --,a dull ache,settles deep,inside my breasts,,,,,"three days
of cold autumn rain --
a dull ache
settles deep
inside my breasts",en
766,waiting,for my illness to end --,November rain,"seeps slowly, slowly",into the ground,,,,,"waiting
for my illness to end --
November rain
seeps slowly, slowly
into the ground",en
767,my body,aching and feverish,after nightfall --,the autumn wind rises,moaning louder,,,,,"my body
aching and feverish
after nightfall --
the autumn wind rises
moaning louder",en
768,"thank you, mango---",for a moment i was,somewhere else,,,,,,,"thank you, mango---
for a moment i was
somewhere else",en
769,amber leaves,caught between 'for sale',and 'sold',,,,,,,"amber leaves
caught between 'for sale'
and 'sold'",en
770,again and again -,news of his wife's death,,,,,,,,"again and again -
news of his wife's death",en
771,in memory of Quentin Crisp:,,,,,,,,,in memory of Quentin Crisp:,en
772,season of mists. . .,a calling of wild geese,arrows south,,,,,,,"season of mists. . .
a calling of wild geese
arrows south",en
773,old manor house,each empty room has,its own echo,,,,,,,"old manor house
each empty room has
its own echo",en
774,hugs --,the spider on my,old friend's arm,,,,,,,"hugs --
the spider on my
old friend's arm",en
775,spray painted log --,I try not to sit,on the word f***,,,,,,,"spray painted log --
I try not to sit
on the word f***",en
776,between the yoga,and chi gung classes --,scent of burning sage,,,,,,,"between the yoga
and chi gung classes --
scent of burning sage",en
777,a few yellow leaves --,the construction site grows,towards my favorite tree,,,,,,,"a few yellow leaves --
the construction site grows
towards my favorite tree",en
778,horizonless --,sky-colored ice,turns in the bay,,,,,,,"horizonless --
sky-colored ice
turns in the bay",en
779,lulled to sleep,by gutter sounds --,spring dreaming,,,,,,,"lulled to sleep
by gutter sounds --
spring dreaming",no
780,week of rain --,the insect's trail,on the flattened leaf,,,,,,,"week of rain --
the insect's trail
on the flattened leaf",en
781,noon glare --,the wind blows sand,out to sea,,,,,,,"noon glare --
the wind blows sand
out to sea",en
782,a white night --,salmon bones,curled against a log,,,,,,,"a white night --
salmon bones
curled against a log",en
783,dawn storm --,a bit of mountain ash,stirred into the snow,,,,,,,"dawn storm --
a bit of mountain ash
stirred into the snow",en
784,approaching winter --,I leave the seashell,at the bottom of my purse,,,,,,,"approaching winter --
I leave the seashell
at the bottom of my purse",en
785,morning haze --,ice drifts around,the river stones,,,,,,,"morning haze --
ice drifts around
the river stones",en
786,a hawk searches,the dry grass --,sundogs,,,,,,,"a hawk searches
the dry grass --
sundogs",en
787,berry stains,along the sidewalk --,hint of frost,,,,,,,"berry stains
along the sidewalk --
hint of frost",en
788,a bright morning --,the mud pulls away,from a frosty stone,,,,,,,"a bright morning --
the mud pulls away
from a frosty stone",en
789,sharp air --,the patch of blue,changes shape,,,,,,,"sharp air --
the patch of blue
changes shape",en
790,new coolness --,a train's light moves,along the mountainside,,,,,,,"new coolness --
a train's light moves
along the mountainside",en
791,a cold morning --,goose honks echo,off the pavement,,,,,,,"a cold morning --
goose honks echo
off the pavement",en
792,steamed milk --,snowmelt running from,the coffee shop roof,,,,,,,"steamed milk --
snowmelt running from
the coffee shop roof",en
793,walking meditation --,I pass through,a cloud of breath,,,,,,,"walking meditation --
I pass through
a cloud of breath",en
794,the courtship songs,of so many birds --,wind through my shirt,,,,,,,"the courtship songs
of so many birds --
wind through my shirt",en
795,spring currents --,the first gulls,picking bones,,,,,,,"spring currents --
the first gulls
picking bones",en
796,scent of new leaves --,a caterpillar swings,in a shaft of light,,,,,,,"scent of new leaves --
a caterpillar swings
in a shaft of light",en
797,the empty bench --,spilled coffee,turned to ice,,,,,,,"the empty bench --
spilled coffee
turned to ice",en
798,daylight moon --,the shadows of bubbles,under the ice,,,,,,,"daylight moon --
the shadows of bubbles
under the ice",en
799,dog days --,driving to the lake,to watch the icebergs drift,,,,,,,"dog days --
driving to the lake
to watch the icebergs drift",en
800,after the rain --,a frog-shaped shadow,wavers in the puddle,,,,,,,"after the rain --
a frog-shaped shadow
wavers in the puddle",en
801,wispy clouds --,the last blossom hangs,on the fireweed,,,,,,,"wispy clouds --
the last blossom hangs
on the fireweed",en
802,discount store --,the unfinished tatoo,on the cashier's arm,,,,,,,"discount store --
the unfinished tatoo
on the cashier's arm",en
803,new coolness --,a pool at the center,of the lupine leaves,,,,,,,"new coolness --
a pool at the center
of the lupine leaves",en
804,spin cycle --,snow flakes swirl outside,the laundromat,,,,,,,"spin cycle --
snow flakes swirl outside
the laundromat",en
805,sirens --,the wind pushes,a butterfly to the ground,,,,,,,"sirens --
the wind pushes
a butterfly to the ground",en
806,the puddled field --,blades of grass,pierce a cloud,,,,,,,"the puddled field --
blades of grass
pierce a cloud",en
807,summer dust --,a caterpillar under,the whale bone arch,,,,,,,"summer dust --
a caterpillar under
the whale bone arch",en
808,half-frog pose,I lie and listen,to the rain,,,,,,,"half-frog pose
I lie and listen
to the rain",en
809,fog patches --,a second little face,in the sonogram,,,,,,,"fog patches --
a second little face
in the sonogram",en
810,a winged ant,crawls on hot asphalt --,end of summer,,,,,,,"a winged ant
crawls on hot asphalt --
end of summer",en
811,working Saturday --,the small shadows of pigeons,in the fog,,,,,,,"working Saturday --
the small shadows of pigeons
in the fog",en
812,night of meteors --,the first Christmas lights,go up on the block,,,,,,,"night of meteors --
the first Christmas lights
go up on the block",en
813,scent of rain --,a whale-shaped cloud,hangs over the bay,,,,,,,"scent of rain --
a whale-shaped cloud
hangs over the bay",en
814,between memories,and the parents' grave,the curtain of rain,,,,,,,"between memories
and the parents' grave
the curtain of rain",en
815,skylight-,a contrail crosses,her line of coke,,,,,,,"skylight-
a contrail crosses
her line of coke",en
816,antique store-,the ocean loud,in a seashell,,,,,,,"antique store-
the ocean loud
in a seashell",en
817,dusk--,songbirds' voices,disappear too,,,,,,,"dusk--
songbirds' voices
disappear too",af
818,"Dans la poubelle,",un exemplaire du Monde,encore frais,,,,,,,"Dans la poubelle,
un exemplaire du Monde
encore frais",fr
819,lune de janvier,la peau la plus fine,apparaît,,,,,,,"lune de janvier
la peau la plus fine
apparaît",fr
820,soir de décembre,sur l'écran de l'échographie,que de la neige,,,,,,,"soir de décembre
sur l'écran de l'échographie
que de la neige",fr
821,en forme,les plantes de l'hôpital,- en plastique,,,,,,,"en forme
les plantes de l'hôpital
- en plastique",fr
822,Matin d'hiver-,le zizi du jardinier,tout rabougri...,,,,,,,"Matin d'hiver-
le zizi du jardinier
tout rabougri...",ro
823,Salle d'attente,une très vieille revue,de l'an 2000...,,,,,,,"Salle d'attente
une très vieille revue
de l'an 2000...",fr
824,Soleil d' hiver,"Sur le toit rouge , un CD",Fait du morse,,,,,,,"Soleil d' hiver
Sur le toit rouge , un CD
Fait du morse",fr
825,manto di neve -,è mascherato anche,il mendicante,,,,,,,"manto di neve -
è mascherato anche
il mendicante",it
826,foggy glasses . . .,   a blurry paragraph,       above the bath water,,,,,,,"foggy glasses . . .
   a blurry paragraph
       above the bath water",en
827,porte vitrée -,une marelle de lune,dans l'entrée,,,,,,,"porte vitrée -
une marelle de lune
dans l'entrée",fr
828,the mailbox,captive in snowdrift,a letter from war,,,,,,,"the mailbox
captive in snowdrift
a letter from war",en
829,late afternoon –,a wind chime softly sings,in snowy garden,,,,,,,"late afternoon –
a wind chime softly sings
in snowy garden",en
830,dernier jour de l'année,une feuille au vent sur une très longue,tige,,,,,,,"dernier jour de l'année
une feuille au vent sur une très longue
tige",fr
831,toute une procession,ces funérailles du trente et un,décembre 2004,,,,,,,"toute une procession
ces funérailles du trente et un
décembre 2004",fr
832,black ice,covers the street,uprooted tree,,,,,,,"black ice
covers the street
uprooted tree",en
833,snow melt --,chewing gum spots appear,on the pavement,,,,,,,"snow melt --
chewing gum spots appear
on the pavement",en
834,first crowing,breaks my sleep --,year of Rooster,,,,,,,"first crowing
breaks my sleep --
year of Rooster",en
835,traffic jam,melting snow runs,on the windshield,,,,,,,"traffic jam
melting snow runs
on the windshield",en
