0,1,2,source,0_syllables,1_syllables,2_syllables
steam billows,from the cooling tower ::,sunrise,tempslibres,3,6,2
blue sky---,white lilies stick out,of a garbage bag ,tempslibres,2,5,5
sunrise---,new graffiti,in black and white,tempslibres,2,4,4
winter pears--,eating around,the bruises,tempslibres,3,4,3
winter darkness -,last train runs,into the tunnel,tempslibres,4,3,5
steeping tea--,no more or less,of the thin snow,tempslibres,3,4,4
police watch the crowds,at children's carnival,the horse's teeth,tempslibres,5,6,4
long winter night,after chapter six,the tea is cold,tempslibres,4,5,4
Ash Wednesday,this is the year,he'll quit,tempslibres,3,4,2
thin crescent . . .,I wonder what,she meant by that,tempslibres,3,4,4
election day ::,a butterfly about to settle,on the seesaw,tempslibres,4,9,4
new moon ::,my sister's voice,after all this time,tempslibres,2,4,5
meteor shower--,in the cold our gasps,become visible,tempslibres,5,"5,6",5
ice moon-,a berry branch,forced into bloom,tempslibres,2,4,4
rainy night---,the clicks of high heels,behind me,tempslibres,3,5,3
for the new year ---,a temple nun,washes Buddha,tempslibres,4,4,4
a construction site,on a Winter day---,got sand in my shoes,tempslibres,5,5,5
alone on a pier,he plays the trombone --,Winter sunset,tempslibres,5,5,4
scent of seaweed,drifts into the cemetery,i walk alone,tempslibres,4,8,4
In the cemetary,around his headstone,first snowdrops,tempslibres,6,5,3
a slow walk,to the cemetery,memory of blue irises ,tempslibres,3,6,8
rushing to work,seeing frozen new leaves,on the rose bush,tempslibres,4,6,4
in the no-name vine,bluebirds,at the red berries,tempslibres,4,2,5
Cold sea,and warm air merge,fog horns,tempslibres,2,4,2
snow,at dawn---,no more milk,tempslibres,1,2,3
windy day---,the mailman,arrives early,tempslibres,3,3,4
holding the binoculars,in her hands---she has,more rings than Saturn,tempslibres,7,4,5
morning prayers -,the graves of the ancestors,in deep silence,tempslibres,"3,4",7,4
traffic jam -,Moon passes through,the Earth's shadow,tempslibres,3,4,4
guest room -,the silence of the moon,at the window,tempslibres,2,6,4
sleepless night -,full moon has arrived,to other window,tempslibres,3,5,5
journey's end,far off in the blue distance,dark clouds,tempslibres,3,7,2
quiet lake--,the only sound,a jumping fish,tempslibres,3,4,4
dead-end road,at the edge of the field,a new-born calf,tempslibres,2,6,3
home alone,the cold,of an autumn rain ,tempslibres,3,2,5
muddy grave -,the rich scent of roses,so red,tempslibres,3,6,2
woodsmoke and fog,along the river bank,three trails meet,tempslibres,4,6,3
searcher's call,the lost child's name-,streetlamps veiled with rain,tempslibres,3,4,5
gentle breaths--,the window's,frost etchings,tempslibres,3,3,3
leap year -,the old man's cane,also left its tracks,tempslibres,2,4,5
wild life -,a fly crosses,in front of the TV,tempslibres,2,4,"8,6"
harsh snow ::,a corpse,at the dam,tempslibres,2,2,3
Spring first day---,she wears,no bra,tempslibres,"3,4",2,2
full moon---,the barmaid kisses me,on the cheek,tempslibres,2,6,3
mill row ::,every door,a different color,tempslibres,2,"3,4","5,6"
old mill town,each company house,a carbon copy,tempslibres,3,5,5
an old woman,with a lost look in her eyes--,chilled wind,tempslibres,4,7,2
darkened church,she teaches her grandchild,to light a candle,tempslibres,3,6,5
If you really love,America hang that flag ,on a bicycle,tempslibres,5,7,5
Tax Day---,the sun shines,on a house for sale,tempslibres,2,3,5
blue sky---,her windows are all,fogged up,tempslibres,2,5,2
new driver---,my bus arrives,on time,tempslibres,3,4,2
foggy day---,the rest of this,is at present not available,tempslibres,3,4,9
sunny Spring day---,at the corner store,firemen buy charcoal,tempslibres,"4,5",5,5
dawn---,a pile of black trash bags,wait for pick up,tempslibres,1,6,4
early spring,pallets of fertilizer,on the loading dock,tempslibres,"3,4",7,5
spring sun -,the yellow house,just painted,tempslibres,"2,3",4,3
deep April snow,robins fight over,dried up crab apples ,tempslibres,4,5,5
Spring rain-,"after ""Dear Ed""",the paper still blank,tempslibres,"2,3",4,5
tornado alley,the debris includes,foreclosure signs,tempslibres,5,5,4
her blond hair shines,over her business suit---,full moon at dusk,tempslibres,4,6,4
the price of rice,goes up---,I start hoarding sake,tempslibres,4,2,5
foggy morning---,she wipes the dust,off her portrait,tempslibres,4,4,4
blue sky---,my neighbor tells,another big fish story,tempslibres,2,4,7
overcast Sunday---,the lilacs,remind me of last night,tempslibres,5,3,6
Spring rain-,I sit looking,out the window,tempslibres,"2,3",4,4
spring trek,a rusted snowplow,at roads' end,tempslibres,"2,3",5,3
sweet basil,dried snail tracks crisscross,the window box,tempslibres,3,5,4
untwisting,the rose bud,spring rain,tempslibres,3,3,"2,3"
main street,a red pick-up cruises,the spring rain,tempslibres,2,5,"3,4"
traffic jam,a flight of geese,across the highway,tempslibres,3,4,5
first light,an unknown bird,sings me awake,tempslibres,2,4,4
japanese garden -,the pouring rain,on the stone buddha,tempslibres,5,4,5
night watch,the ex boyfriends house,on google earth,tempslibres,2,5,4
Spring cleaning today,dead ladybug on the window,memory of lost love,tempslibres,"5,6",8,6
sound of the rain -,penetrating my sleep,at dawn,tempslibres,4,6,2
I-5 corridor,Microsofties creep to work,"slowly, in nice cars",tempslibres,4,7,5
red light,the bus driver reads,his horoscope,tempslibres,2,5,4
flag pin,in the salesman's lapel,Memorial Day,tempslibres,2,6,5
the soft patter,of a computer keyboard,midnight solitude,tempslibres,4,7,5
meditating,on a rainy day ...,new green tea,tempslibres,4,5,3
Spring warms up---,tattoos,not just on the arms,tempslibres,"3,4",2,5
hearing the call for prayer,as I pass a mosque---,Spring sunset,tempslibres,"6,7",5,"3,4"
wind swept cold rain---,truck makes stops,to deliver bottled water,tempslibres,4,3,8
sunset traffic,slowly down the hill,into darkness,tempslibres,4,5,4
at the crossroads,no wind to give,a direction,tempslibres,4,4,4
the coming rain-- ,bird calls echo ,along the creek,tempslibres,4,4,4
nobody's here -,only a cricket guards,the alpine hut,tempslibres,4,6,4
long lasting rain -,the dog-rose petals clung,to the pavement,tempslibres,4,5,4
sudden Spring showers---,her mascara,runs,tempslibres,"5,6",4,1
tough bar---,she just returned,from Iraq,tempslibres,2,4,3
low tide---,she's on seaweed,diet,tempslibres,2,4,2
Memorial Day---,waiting for George Bush,to leave office,tempslibres,5,5,4
high summer--,the sounds and smells,of a traveling fair,tempslibres,3,4,"5,6"
abandoned house --,children picking mangoes,in the yard,tempslibres,4,6,3
June rain stopped---,a drunk waters some more,the lilacs,tempslibres,3,6,3
morning haze---,an exhibitionist keeps,the curtains closed,tempslibres,3,7,4
moths fluttering,in the paper lantern ?,a shadow play,tempslibres,4,6,4
Summer solstice,the smoke of bonfires,hill after hill,tempslibres,4,6,4
sunrise---,a black woman in purple dress,glares at me ,tempslibres,2,8,3
a man at the beach yells---,I need oil to drive home,late June sunset,tempslibres,6,6,4
sunrise---,heavy dust on my copy,of Paradise Lost,tempslibres,2,7,5
looking for fireflies ...,I almost miss,the dramatic night sky,tempslibres,6,4,6
Assisi sunset,pilgrims gather,at a gift shop,tempslibres,5,4,4
city sunset,he buys her,a rose,tempslibres,4,3,2
darkening trees,the steady shrilling,of cicadas,tempslibres,"3,4",5,4
sleepless night,a square of moonlight,crosses the room,tempslibres,3,5,4
willow scent,a kingfisher hangs,in the air,tempslibres,3,5,3
desert heat-,smiles along the narrow road,to the deep north,tempslibres,3,7,4
A float plane,divides the Canada geese,Summer stillness,tempslibres,3,7,4
wall-to-wall clouds,and the hum of flies,summer dust,tempslibres,2,5,3
starry night,one firefly,after another,tempslibres,3,4,5
Summer crowded subway---,the smell,of sardines,tempslibres,6,2,3
she wears tight blue jeans,and hijab---,July Fourth,tempslibres,5,3,3
July Fourth fireworks---,I stand next to,an Iraqi refugee ,tempslibres,5,4,7
between the mist,and the edge of the forest,a white buffalo,tempslibres,4,7,5
Cochrane Alberta ,Coyotes howling in the night ,"Honking, geese at dawn",tempslibres,5,"8,7",5
"Like Custer's bugler,",you sound the charge. Remember,the Little Big Horn.,tempslibres,6,7,5
my train is late---,I watch a cockroach,going home,tempslibres,4,5,3
dawn---,a line waits outside,the dialysis center,tempslibres,1,5,7
morning---,smell coffee from house,of difficult neighbor,tempslibres,2,5,6
morning haze---,she asks,who picked our lilacs,tempslibres,3,2,"5,6"
on the clothesline,his and her shirts,side by side again,tempslibres,4,4,5
summer heat ...,the cats sleep,on the barbeque,tempslibres,3,3,5
rummage sale --,her husband in the chair,not worth keeping,tempslibres,3,6,4
garage sale --,the flowered couch on which ,I became a woman,tempslibres,3,6,6
dawn---,a Coca- Cola sign,turns off,tempslibres,1,6,2
August blue sky---,a Chinese dragon,fuming,tempslibres,4,5,2
Summer thunderstorms---,a surfer puts his board,on his head,tempslibres,5,6,3
meteor shower --,crickets occupied,by its song,tempslibres,5,5,3
watching Perseids --,a moth makes noise,on the porch,tempslibres,4,4,3
late night rain,the crickets finally,silent,tempslibres,3,6,2
nothing,in our bedroom,but moonlight ,tempslibres,2,"4,5",3
spring cleaning --,a family of raccoons,empties the goldfish pond,tempslibres,"3,4","6,7",6
campfire embers,one firefly,lights our tent,tempslibres,5,4,"3,4"
twilight,in the Chinese lantern,a glowworm,tempslibres,2,6,3
My Ford Explorer,on a never-ending quest,for a parking spot,tempslibres,5,5,5
"overturned boat,",drawn high on the shore -,drumming of rain,tempslibres,4,5,4
in the shade,of the full moon ...,distant fireworks,tempslibres,3,4,4
hot August night---,she stands,staring out of her window,tempslibres,4,2,7
dawn---,the smell of watermelon,from last night garbage,tempslibres,1,7,5
early morning---,a yogi pisses,in a drinking glass,tempslibres,4,5,5
thunderstorms,all day long,broken promises,tempslibres,3,3,5
hot chocolate,the scent stronger,this cold night,tempslibres,3,4,3
high autumn sky ...,in the world of men,voices of insects,tempslibres,4,5,5
autumn deepens ...,these tiny pink flowers,on my wildest weeds,tempslibres,4,6,5
September Eleven---,I remember to fix,lock of my backdoor ,tempslibres,6,6,5
a long weekend---,I ran out,of chocolate,tempslibres,4,3,3
harvest days--,a fat toad,leaves the garden,tempslibres,3,3,4
September sunset---,a dead leaf,at my feet,tempslibres,5,3,3
I rush to buy,her birthday present---,crescent moon,tempslibres,4,5,3
Autumn downpour---,I stand under the canopy,of a house for sale,tempslibres,4,8,5
evening fog---,I watch my neighbor,smoke his waterpipe,tempslibres,3,5,5
blue sky,changes to grey---,Paul Newman dies,tempslibres,2,4,4
Madison Square Park---,why are bankers,looking down,tempslibres,5,4,3
autumn equinox ...,the murmur of waves,slowly changes,tempslibres,5,5,4
fall equinox--,a black squirrel running,on the power line,tempslibres,4,6,5
autumn equinox --,fox's eyes shining,in the twilight,tempslibres,5,5,4
crossroads ~~,"each ""O"" in stop",has bullet holes,tempslibres,2,4,4
mother-in-law's face,on the biggest pumpkin,harvest moon --,tempslibres,3,6,3
harvest moon :,the bigger pumpkin,waits for a face,tempslibres,3,5,4
blue sky---,no liquidity,at the banks ,tempslibres,2,5,3
clear October night---,the smell,of cinnamon,tempslibres,5,2,4
very dry night---,a half moon,hardly moving,tempslibres,4,3,4
Autumn courtyard---,as leaves fall,algae grows,tempslibres,4,3,3
autumn leaves--,the harvest moon,fades,tempslibres,3,4,1
Independence Day,after the rainy morning,a sunny afternoon,tempslibres,5,7,6
black cat tries to,open a garbage bag---,moonless night ,tempslibres,4,6,3
cold morning---,the bus has no heat,she knits a sweater,tempslibres,3,5,5
late October wind---,her blond hair flies,along with the leaves,tempslibres,5,4,5
October night---,who cares how stocks did,crescent moon,tempslibres,4,5,3
windy night---,a witch walks home,Halloween nears,tempslibres,3,4,4
as I walk,on wet Autumn leaves---,a poster of McCain,tempslibres,3,5,6
Seven miles per gallon,Bush thanks you for ,supporting the Iraq war,tempslibres,"6,7",4,7
November night--,the smell of burning leaves,and marshmallows,tempslibres,4,6,4
quiet Sunday,a winter fly,too slow to kill,tempslibres,4,4,4
old photo,I recognize,my father's silence,tempslibres,3,4,5
hard times,the car salesman's,missing tooth,tempslibres,2,4,3
Saturday night---,a carriage horse,flirts with another ,tempslibres,4,4,5
dawn---,waiting for the light,at the end of the tunnel,tempslibres,1,5,7
Armistice Day---,I buy,more Euros,tempslibres,4,2,3
the crunch of Autumn leaves---,as I pass,a dentures shop,tempslibres,6,3,4
November drizzle---,I turn off,the Zen music,tempslibres,5,3,4
daylight saving time ends---,the cat wakes me,an hour early,tempslibres,6,4,"4,5"
crystalline sky,the pioneers left no clue,which trail to take,tempslibres,4,7,4
crescent moon,a new path,to scatter seeds,tempslibres,3,3,4
first frost---,I feed,the aquarium fish,tempslibres,2,2,6
dawn---,a drunk pisses,on today's newspaper ,tempslibres,1,4,6
gas station---,a GM car,needs a push,tempslibres,3,4,3
late November farm---,a turkey looks,well fed,tempslibres,5,4,2
her winter night gown,suddenly opens---,crescent moon ,tempslibres,5,5,3
Saturday night---,she wears her red high heels,Christmas nears,tempslibres,4,6,3
the recession---,the sun sets behind,Citibank skyscraper,tempslibres,4,5,6
my watch stopped---,I ask a beggar,what time it is,tempslibres,3,5,4
morning haze---,Wall Street has,disappeared,tempslibres,3,3,3
Thanksgiving day---,walking past,empty houses ,tempslibres,4,3,4
Sunday morning fog---,my neighbor's wife,is naked,tempslibres,5,4,3
young lake ice sings,a tune more ancient,than footprints,tempslibres,4,5,3
dawn---,last year dust,on the Christmas ornaments,tempslibres,1,3,7
first snow---,bride walks out,of a church,tempslibres,2,3,3
back home,I wipe her lipstick off my cheek---,a half moon ,tempslibres,2,8,3
cold morning---,a cockroach warms up,under my coffee cup ,tempslibres,3,5,6
the age,I used to call old . . .,winter solstice,tempslibres,2,5,4
sunset---,I turn off,the Christmas lights,tempslibres,2,3,4
snow in the forecast---,my neighbor's husky,wags his tail,tempslibres,5,5,3
fresh snow---,the graffiti looks ,dirtier ,tempslibres,2,5,3
winter sunshine -,the slow growth of a stone's,shadow,tempslibres,4,6,2
new fire old coals,in the old stove,new year,tempslibres,"4,5",4,2
overcast night,maybe the stars burn brightly,over Gaza,tempslibres,4,7,4
winter night,too many stars,above Gaza,tempslibres,3,4,4
The Holy Land,no heat no food no water,craters,tempslibres,4,7,2
first sunrise -,a fallen camellia,shines on my path,tempslibres,3,6,4
Natural rhythms,moons and tides supplanted by,yellow red and green,tempslibres,"4,5",7,5
dawn---,a Christmas tree,sticks out of the garbage,tempslibres,1,4,6
the recession---,my neighbor puts,another lock on his door,tempslibres,4,4,7
cloudy January---,a white plastic bag,on a leafless tree,tempslibres,6,5,5
chilly night---,I ask,if I can sleep with her,tempslibres,3,2,6
giant moon. . .,the bark of a dog echos,over the fence,tempslibres,3,7,4
driving towards,crematorium along,the frozen road,tempslibres,"3,4",7,4
giant moon.,all neighborhoods share,the same yard light,tempslibres,3,5,4
remembering you -,the sparkle of the last,icicle,tempslibres,"4,5",6,3
lonesome train whistle. . . ,suddenly grandpa's mind,becomes sharp again,tempslibres,5,6,5
January warms up---,my neighbor walks,in her underwear,tempslibres,6,4,5
sunset---,as I walk on thin ice,I remember her,tempslibres,2,6,5
February chill,a punctured heart balloon,bright red in the dust,tempslibres,5,6,5
spring blossoms ...,the old farmer,coughs blood,tempslibres,"3,4",4,2
winter sunset -,half of my Buddha,still in the light,tempslibres,4,5,4
garden Buddha,morning rain washes away,the snow,tempslibres,4,7,2
a cockroach climbs the wall---,Charles Darwin is today,two hundred ,tempslibres,6,"6,7",3
declining moon,the old man's laughter,turns to coughing,tempslibres,4,5,4
Presidents' weekend,all that dirty laundry,sorted by mothers,tempslibres,5,6,5
desert highway,in the rear view mirror,blue flashing lights,tempslibres,4,6,4
another spring,I revise,my death poem,tempslibres,"4,5",3,4
winter break,I hope I'll be home,for the crocuses,tempslibres,3,5,5
a vagabond on the bench,covered with a nude girl,on the newspaper,tempslibres,7,6,5
funeral procession,of the friend passes --,the crocus field,tempslibres,6,5,4
"playing bowls,",playing at cards ...,old warriors,tempslibres,3,4,"3,4"
late night drizzle---,she carries her belongings,in a kids cart,tempslibres,4,7,4
the night watchman,almost closes his eyes---,waning crescent,tempslibres,4,6,4
windy night---,a smoker finds shelter,behind a garbage truck,tempslibres,3,6,6
it starts to snow---,the cat wants,the milk warmed,tempslibres,4,3,3
blue sky---,dew drops on the cover,of the garbage can,tempslibres,2,6,5
snow flurries :::,a blue jay's feather,clings to the yard,tempslibres,3,5,4
This road,no one goes down it,autumn evening,tempslibres,2,5,4
frozen pond--,the moon trapped,in a crack,tempslibres,3,3,3
thick river ice,his message in a bottle,hasn't moved an inch,tempslibres,4,7,5
early march snowstorm,his kite hangs from the ceiling,gathers dust,tempslibres,5,7,3
summer traffic,"four cars, a tractor",and the full moon,tempslibres,4,5,4
signal station,a woodpecker taps,in the dusk,tempslibres,4,5,3
late snow ..,a pheasant calls,in the morning mist,tempslibres,2,4,5
Ides of March ...,anyone remembers,the history teacher?,tempslibres,3,6,"5,6"
waiting for a blizzard to come---,the bar tender ran out,of white rum,tempslibres,8,6,3
she puts the pads,in her bra---,a half moon,tempslibres,4,3,3
East River nice day---,a used condom,on a pile of dirty snow,tempslibres,5,4,7
morning fog---,the new graffiti is,minimal,tempslibres,3,6,3
parking for lovers --,many crocuses between,the wheel's traces,tempslibres,5,7,4
spring sunshine,on the cat's belly ...,mountain hermitage,tempslibres,"3,4",5,5
church ruins,the grace,of a butterfly,tempslibres,3,2,5
Spring drizzle---,the sound of high heels,behind me,tempslibres,"3,4",5,3
clear day---,I view Citibank skyscraper,but where is the aura,tempslibres,2,8,6
second martini,I like the way she asks me,if I twitter,tempslibres,5,7,4
my first bite,of persimmon,a trace of Shiki,tempslibres,3,4,5
Holy Week,she teaches her grandchild,to light a candle,tempslibres,3,6,5
prairie roads,in ditches full of snowmelt,moons float,tempslibres,3,7,2
"winter,s end ...",my warm socks,with big holes,tempslibres,3,3,3
passover,moon,through the bare branches,tempslibres,3,1,5
Spring drizzle---,a newly homeless man,views an abandoned house,tempslibres,"3,4",6,6
Sunday morning blue sky---,I need more,Alka-Seltzer,tempslibres,6,3,2
rainy day---,I bet the barmaid,I can guess her age,tempslibres,3,5,5
a little girl blows,bubble gum---,cherry trees blossom,tempslibres,5,3,5
a sign on the door---,our sun tanning machines,are solar,tempslibres,5,"6,7",3
lonely Spring Saturday---,I look at the graffiti,for a haiku,tempslibres,"6,7",7,4
waiting for the moon,before departing,ducks on the roof,tempslibres,5,5,4
first light . . .,after the car alarm,birdsong,tempslibres,2,6,2
opening fishing,fancy lures ,catch branches too,tempslibres,5,3,4
small town -,the welcome wagon,slowly rusts away,tempslibres,2,5,5
spring morning,finding an old flame,on Facebook,tempslibres,"3,4",5,3
honeysuckle breeze,someone honks when,the light turns green,tempslibres,5,4,4
petal-strewn earth,a mynah hops into,a patch of sunlight,tempslibres,3,6,5
over night trash---,the smell of,acetone breath,tempslibres,4,3,4
April warms up---,the cat has,a new friend,tempslibres,4,3,3
Sunday morning haze---,she wants,her coffee spiced,tempslibres,5,2,4
Spring in the park---,two homeless men play poker,for empty cans,tempslibres,"4,5",7,4
Obama's news conference---,I turn off,Mozart,tempslibres,"6,7",3,2
apricot blossoms,the birth of our first,granddaughter,tempslibres,5,"5,6",3
blades of grass,between the flagstones ...,Easter afternoon,tempslibres,3,5,5
Monday moon,the bent backs,of rice farmers,tempslibres,3,3,4
April overcast --,my son turns twenty,in Iraq,tempslibres,5,5,3
cold May moon...,the long road stretches,out of sight ,tempslibres,3,5,3
dense fog---,a blind man crosses,the street alone,tempslibres,2,5,4
Friday afternoon downpour---,a beer truck stops,to unload,tempslibres,7,4,3
rainy May Sunday---,at a bus stop,an empty can of beer,tempslibres,5,4,6
morning mist---,she takes off her eyeglasses,to see me better,tempslibres,3,7,5
cold rainy day---,Cherry blossom petals,carpet the sidewalk,tempslibres,4,6,5
still no sunshine---,I eat,an orange,tempslibres,4,2,3
the sound of women,chuchotant -,moonless night,tempslibres,5,3,3
morning fog---,more talk about more,pictures of detainees' torture,tempslibres,3,5,8
afternoon dense fog---,the barmaid gives me,another for the road,tempslibres,5,5,6
powlonia blossoms -,a haiku floating,in the sky,tempslibres,5,5,3
a centipede,takes its morning walk ...,"aah, my kitchen table",tempslibres,4,5,6
returning chill,dissonate melodies,from the ice cream truck,tempslibres,4,6,5
May clouds,new names and dates,in the family book,tempslibres,2,4,"5,6"
Hudson River cool breeze---,so many men,go topless,tempslibres,6,4,3
late night---,she shows me her garden,I taste her tomatoes,tempslibres,2,6,6
blue sky---,as if last night fireworks,never happened,tempslibres,2,6,4
kids fight a gun battle,in the swimming pool---,Memorial Day,tempslibres,6,5,5
ozone level too high---,a woman wears nothing,under her skirt,tempslibres,6,6,4
sunset---,the sound of people singing,as I pass a church,tempslibres,2,7,5
East River green waters---,a friend gives me a sip,of his absinthe,tempslibres,6,6,4
from a mirror,pale blue eyes stare knowingly,the snow will deepen,tempslibres,4,7,5
raindrops plop,into my coffee cup,summer rain ,tempslibres,3,6,3
portage trail,voyageurs walked where I walk,ancient granite,tempslibres,3,7,4
autumn chill -,struggling to remember,my father's voice,tempslibres,3,"6,7",4
september rays -,my son's shadow,lengthens,tempslibres,4,4,2
autumn lake -,half-hidden by drifting leaves,a carp's bronzen flanks,tempslibres,3,5,5
raining--,last night's baked chicken,tonight's curried soup,tempslibres,2,5,5
first firefly ...,a quiet night and then,lightning,tempslibres,4,6,2
no fireflies ...,moonlight reflects,on camellia leaves,tempslibres,4,4,5
the backyard,of a poor man's home ...,summer heat,tempslibres,3,5,3
more rain -,lavender leans,on the stone Buddha,tempslibres,2,4,5
dinner outside ...,the crumbs walk along,the brick wall,tempslibres,4,5,3
a tiny world,unfolds and thrives -,summer rain,tempslibres,4,4,3
the dance of,echoes inside a crypt . . .,winter chill,tempslibres,3,6,3
autumn equinox -,all the crows celebrating,with grave offerings,tempslibres,5,7,"4,5"
moonlight,on the temple roof -,and silence,tempslibres,2,5,3
autumn chill,the mausoleum covered,with sparrows,tempslibres,3,7,3
autumn chill,the chalkboard screeches,at her touch,tempslibres,3,5,3
first firefly . . .,she asks me to repeat,what I just said,tempslibres,4,6,4
petals in the wind,my neighbors practice tai-chi,in the parking lot,tempslibres,5,6,5
heavy steady rain,through windows through wet trees,the lake in the rain,tempslibres,5,6,5
heavy steady rain,back pain,skipped friday prayer,tempslibres,5,2,"4,5"
one small step... ,I trace my toe in sand ,dream of lunar dust,tempslibres,3,6,5
at dusk...,the sweetness,of the roses,tempslibres,2,3,4
autumn chill,a faint rainbow,in the shower,tempslibres,3,4,4
roosting egrets,the lake's silence settles,on everything,tempslibres,4,6,4
naked light bulb,the rain on the leaves,barely audible,tempslibres,4,5,5
another year,the inscription hard to read,with all the grass,tempslibres,4,7,4
the recession---,more nude entertainment bars,open,tempslibres,4,7,2
a June downpour takes a break---,I go out to buy,more water,tempslibres,7,5,3
morning fog---,too much steamed milk,in my espresso,tempslibres,3,4,5
New York---,opposite a church a mosque,both have their doors open,tempslibres,2,"6,7",6
morning fog---,she wears sunglasses,in the subway,tempslibres,3,5,4
late June crowded subway---,but no one has,a sun tan,tempslibres,6,4,3
Saturday night rain---,a couple eye the lobsters,in a water tank,tempslibres,5,7,5
June sunset---,when we wake up,how many died in Iran?,tempslibres,3,4,7
lunch hour---,a long line of women,at the ice cream cart,tempslibres,"2,3",6,5
Upper East Side---,their graffiti,is cooler,tempslibres,4,4,3
June morning---,a line of ants,at the subway entrance,tempslibres,3,4,6
Summer moonless night---,in the light of fireflies,we kiss ,tempslibres,5,7,2
a beach downpour---,they come out of the ocean,into a shower,tempslibres,4,7,5
late night on the beach---,the only light on,is that of the lighthouse,tempslibres,5,5,6
beautiful weather,on July Fourth---,in God we trust,tempslibres,5,4,4
Central Park green house gases---,a carriage horse shits,as he passes me,tempslibres,7,5,5
cool July day---,the ice cream man,goes for a coffee break,tempslibres,4,4,6
Sunday blue sky---,a kid comes out,of confession,tempslibres,4,4,4
starless night---,a fisherman talks,to himself,tempslibres,3,5,3
morning fog---,a beggar wears,an orange coat,tempslibres,3,4,4
eclipse of the sun---,monks in orange,pray,tempslibres,5,4,1
hot July night---,my neighbor opens,her curtains,tempslibres,4,5,3
morning fog,graffiti artists are,busy working,tempslibres,3,6,4
blue sky---,the smell of,suntan lotion,tempslibres,2,3,4
Hiroshima Day---,the reason why,we must keep talking,tempslibres,5,4,5
an octopus spills,its ink---,clouds at sunset ,tempslibres,5,2,4
August heat---,an ice cream truck,ran out of gas,tempslibres,3,4,4
blue sky---,August dust,on the radiator,tempslibres,2,3,6
morning haze---,I postpone,cleaning my windows,tempslibres,3,3,5
morning fog---,a street artist,draws with charcoal,tempslibres,3,4,4
September Eleven morning,in a coffee shop---,the silence,tempslibres,8,5,3
morning train---,everyone is,on the same page,tempslibres,3,4,4
Columbus Day---,the UPS guy knocks,on the wrong door ,tempslibres,4,4,4
October dead leaves---,a witch passes me,hat less,tempslibres,5,5,2
Claude Levi Strauss dies---,a florist has,wild forget-me-nots,tempslibres,5,4,3
autumn chill--,time for a hot bowl,of chili,tempslibres,3,5,3
grey sky,a monarch butterfly,lost in autumn,tempslibres,2,6,4
at the lawn concert,lighting one spot at a time-,fireflies,tempslibres,5,7,3
cricket in the house-,if only we shared,the same bedtime,tempslibres,5,5,4
early autumn,the sound of falling water,is cold,tempslibres,4,7,2
between the drone,of lawnmowers,a scent of rain,tempslibres,4,4,4
taiko drummers,listening to silence,between the beats,tempslibres,4,"5,6",4
"no moon, no stars,",just dull light from the city,summer haze,tempslibres,4,7,3
lost,on wildwood road,water lilies directionless,tempslibres,1,4,8
suddenly,the toads go quiet,rain begins,tempslibres,3,5,3
long dry grass,bristles underfoot,iced tea,tempslibres,3,5,2
firecrackers,far off in the distance,pepper on my tongue,tempslibres,4,6,5
what day is this?,the metronome gathers dust,in the corner,tempslibres,4,7,4
4th of July,hotter than,a firecracker ,tempslibres,4,3,5
no work today,a carpenter ant wanders,aimlessly,tempslibres,4,7,3
garage sale,customers discuss,philosophy ,tempslibres,3,5,4
garage sale,'tales of power',for half price,tempslibres,3,4,3
city sunrise,these old buildings,cast long shadows,tempslibres,4,4,4
evening thunder,a homeless man,comforts his dog,tempslibres,4,4,4
dusty knickknacks,mother's whole life,on one shelf,tempslibres,4,4,3
October wind,sweeping cobwebs,from the wood pile,tempslibres,4,4,4
autumn melancholy,the click of mahjong tiles,from the computer,tempslibres,6,6,5
Those stars.,No more fish,in the bay.,tempslibres,2,3,3
midsummer morning--,the boat's gentle tug,at the anchor,tempslibres,5,5,4
dusty knickknacks,I try to recall,the scent of burning leaves,tempslibres,4,5,6
evening shadows,on the walls of the Alamo,graffiti,tempslibres,4,8,3
dark days of winter,at my office window,I watch the sunrise,tempslibres,5,6,5
midwinter dusk -,oak branches fracture,the western sky,tempslibres,4,5,4
cloudburst ,the last nail hammered ,in the rain,tempslibres,2,5,3
snow falling,on the headstones . . .,just and unjust wars ,tempslibres,3,4,5
long drive home,grass poking through,fresh fallen snow,tempslibres,3,4,4
bitter cold ,even the Christmas lights,seem to shiver,tempslibres,3,6,4
December rain ,a phone call,from my son,tempslibres,4,3,3
December rain ,a deer tail,and then nothing,tempslibres,4,3,4
dark days of winter ,the flat screen Christmas Yule Log,burns bright in HD,tempslibres,5,7,4
dark days of winter,another mailbox loses,to the snowplow,tempslibres,5,7,4
christmas night,the little corner store,last to close,tempslibres,3,6,3
november sun -,leaning on the old stone wall,a shadow tree,tempslibres,4,7,4
winter solstice,the pink tongue of a cat,lapping at snowmelt,tempslibres,4,6,5
war memorial,snow has almost covered,the poppy wreaths,tempslibres,5,6,4
dark days of winter,the dentist explains his,payment plans,tempslibres,5,6,3
new age Luddite,he buys a dozen,paperback books,tempslibres,4,5,4
blue moon --,I wonder where my children,are tonight ?,tempslibres,2,7,3
the graveyard,our icy shortcut,through the winter fog,tempslibres,3,"5,6",5
icebleak,no colour but the rail bridge,graffiti,tempslibres,2,7,3
still life -,at the lake's edge a tree's reflection,caught in the ice,tempslibres,2,9,4
