Unnamed: 0,0,1,2,3,4,5,6,7,8,haiku,lang,0_syllables,1_syllables,2_syllables,3_syllables,4_syllables,5_syllables,6_syllables,7_syllables,8_syllables
646,gust of wind,a woman?s face lights up,by the cooking fire,,,,,,,"gust of wind
a woman?s face lights up
by the cooking fire",en,3,6,"5,6",,,,,,
647,rice-green pond,dark herons stand,in an arc,,,,,,,"rice-green pond
dark herons stand
in an arc",en,2,4,3,,,,,,
648,midnight,the moon dances,in my teacup,,,,,,,"midnight
the moon dances
in my teacup",en,2,4,4,,,,,,
649,burnt-down house,yellow elders bloom,in the garden,,,,,,,"burnt-down house
yellow elders bloom
in the garden",en,2,5,4,,,,,,
650,waiting for moonrise,the moving red dot,becomes a plane,,,,,,,"waiting for moonrise
the moving red dot
becomes a plane",en,5,5,4,,,,,,
651,cool morning,a fog of insecticide,in the red truck's wake,,,,,,,"cool morning
a fog of insecticide
in the red truck's wake",en,3,7,5,,,,,,
652,harsh sunlight,faces peep through the bars,of the police van,,,,,,,"harsh sunlight
faces peep through the bars
of the police van",en,3,6,5,,,,,,
653,moonrise,a woman croons,to her baby,,,,,,,"moonrise
a woman croons
to her baby",en,2,4,4,,,,,,
654,burnt house,the owner?s name,on the iron gate,,,,,,,"burnt house
the owner?s name
on the iron gate",en,2,4,5,,,,,,
655,petrol fumes,smell of fresh bread,from the bakery,,,,,,,"petrol fumes
smell of fresh bread
from the bakery",en,3,4,5,,,,,,
656,clacking rails,five languages,in the compartment,,,,,,,"clacking rails
five languages
in the compartment",en,3,4,5,,,,,,
657,small talk,sixteen ants on the wall...,seventeen...,,,,,,,"small talk
sixteen ants on the wall...
seventeen...",en,2,6,3,,,,,,
658,flight of egrets,a boy stands with his ear,to a telephone pole,,,,,,,"flight of egrets
a boy stands with his ear
to a telephone pole",en,4,6,6,,,,,,
659,last station,the king of hearts on the floor,of the compartment,,,,,,,"last station
the king of hearts on the floor
of the compartment",en,3,7,5,,,,,,
660,sultry afternoon,little mirages,above the tar,,,,,,,"sultry afternoon
little mirages
above the tar",en,5,5,4,,,,,,
661,melting tar,silk cotton drifts,across the road,,,,,,,"melting tar
silk cotton drifts
across the road",en,3,4,4,,,,,,
662,smoky moon,a cloud of insects around,the street light,,,,,,,"smoky moon
a cloud of insects around
the street light",en,3,7,3,,,,,,
663,crystal morning,dried puke,on the car door,,,,,,,"crystal morning
dried puke
on the car door",en,4,2,4,,,,,,
664,a bullock cart,loaded high with shoe boxes,the driver?s cracked feet,,,,,,,"a bullock cart
loaded high with shoe boxes
the driver?s cracked feet",en,4,7,5,,,,,,
665,empty street,the For Sale sign,overgrown with weeds,,,,,,,"empty street
the For Sale sign
overgrown with weeds",en,3,4,5,,,,,,
666,tree less corners,the tall shadows,of beer bottles,,,,,,,"tree less corners
the tall shadows
of beer bottles",en,4,4,4,,,,,,
667,faded asters,the cortege pauses at her gate,moves on,,,,,,,"faded asters
the cortege pauses at her gate
moves on",en,4,8,2,,,,,,
668,biopsy,just a cyst - this time,a break in the clouds,,,,,,,"biopsy
just a cyst - this time
a break in the clouds",en,3,5,5,,,,,,
669,plastic flowers,placed beside the highway,memory fades,,,,,,,"plastic flowers
placed beside the highway
memory fades",en,4,6,4,,,,,,
670,troubled sleep --,steam rises,from a storm sewer,,,,,,,"troubled sleep --
steam rises
from a storm sewer",en,3,3,5,,,,,,
671,Wall Street watch --,the unnerving plunge,of her neckline,,,,,,,"Wall Street watch --
the unnerving plunge
of her neckline",en,3,5,4,,,,,,
672,my daughter's 18th birthday --,the warming sunshine,in her hair,,,,,,,"my daughter's 18th birthday --
the warming sunshine
in her hair",en,7,5,3,,,,,,
673,orthopedist's office --,all paintings tilted,slightly off center,,,,,,,"orthopedist's office --
all paintings tilted
slightly off center",en,6,5,5,,,,,,
674,stood up,by a part-time lover --,shooting star,,,,,,,"stood up
by a part-time lover --
shooting star",en,2,5,3,,,,,,
675,english newspaper,a lot of starving people,between fish & chips,,,,,,,"english newspaper
a lot of starving people
between fish & chips",en,5,7,4,,,,,,
676,five star hotel -,a cockroach scurries,pool-side,,,,,,,"five star hotel -
a cockroach scurries
pool-side",en,4,5,1,,,,,,
677,his old hands,working the soil -,smell of brewed tea::    ses vieilles mains,   travaillant le sol -,   odeur du thé infusé,,,,,"his old hands
working the soil -
smell of brewed tea::    ses vieilles mains
   travaillant le sol -
   odeur du thé infusé",en,3,4,7,5,7,,,,
678,forty-six years,writing my name,yellow in snow,,,,,,,"forty-six years
writing my name
yellow in snow",en,3,4,4,,,,,,
679,at the memorial,a hawk's cry,scatters her ashes,,,,,,,"at the memorial
a hawk's cry
scatters her ashes",en,6,3,5,,,,,,
680,hawk's hover -,the view of calm seas,through a gunport,,,,,,,"hawk's hover -
the view of calm seas
through a gunport",en,3,5,4,,,,,,
681,mothers' day,I let the phone ring longer,for her,,,,,,,"mothers' day
I let the phone ring longer
for her",en,3,7,2,,,,,,
682,mid October,the sudden thinness,of my robe,,,,,,,"mid October
the sudden thinness
of my robe",en,4,5,3,,,,,,
683,wood flute music,through an open window,the crow's rasp,,,,,,,"wood flute music
through an open window
the crow's rasp",en,4,6,3,,,,,,
684,scenting two pages,of the Webster's Unabridged . . .,wild lilac,,,,,,,"scenting two pages
of the Webster's Unabridged . . .
wild lilac",en,5,7,3,,,,,,
685,Valentine's dinner--,nothing on the menu,suits him,,,,,,,"Valentine's dinner--
nothing on the menu
suits him",en,5,6,2,,,,,,
686,"from the armoire,",scent of passion in a candle,yet to be burned,,,,,,,"from the armoire,
scent of passion in a candle
yet to be burned",en,4,8,4,,,,,,
687,stroke of  . . .,his snoring punctuated,by fireworks,,,,,,,"stroke of  . . .
his snoring punctuated
by fireworks",en,2,7,3,,,,,,
688,a new year's bonfire,misty rain,on the embers,,,,,,,"a new year's bonfire
misty rain
on the embers",en,6,3,4,,,,,,
689,typhoon warning,a farmer on the path,between the rice fields,,,,,,,"typhoon warning
a farmer on the path
between the rice fields",en,4,6,5,,,,,,
690,the farmer lady,a few daffodils in a basket,of white radish,,,,,,,"the farmer lady
a few daffodils in a basket
of white radish",en,5,9,4,,,,,,
691,March wind,a strawberry off,from my birthday cake,,,,,,,"March wind
a strawberry off
from my birthday cake",en,2,5,5,,,,,,
692,just extinguished-,smoke slowly curls,out pumpkin eyes,,,,,,,"just extinguished-
smoke slowly curls
out pumpkin eyes",en,4,4,4,,,,,,
696,afternoon rain-,a neighbor opening her curtains,too,,,,,,,"afternoon rain-
a neighbor opening her curtains
too",en,4,9,1,,,,,,
699,New-York September,the one-way sign points towards,the billowing cloud,,,,,,,"New-York September
the one-way sign points towards
the billowing cloud",en,4,"5,6",5,,,,,,
700,Full moon night -,the shape of the mannequins' breasts,in the shop-window,,,,,,,"Full moon night -
the shape of the mannequins' breasts
in the shop-window",en,3,8,3,,,,,,
710,inhaling spring -,her new breast,two months old,,,,,,,"inhaling spring -
her new breast
two months old",en,"4,5",3,3,,,,,,
711,requiem mass -,flecks of dust drift,in stifling air,,,,,,,"requiem mass -
flecks of dust drift
in stifling air",en,4,4,"4,5",,,,,,
712,morning rush,he finds a half red kiss,on his coffee cup,,,,,,,"morning rush
he finds a half red kiss
on his coffee cup",en,3,6,5,,,,,,
713,tense meeting --,my chewing gum,out of flavor,,,,,,,"tense meeting --
my chewing gum
out of flavor",en,3,4,4,,,,,,
714,puddle,from last nights rain,reflects the clouds,,,,,,,"puddle
from last nights rain
reflects the clouds",en,2,4,4,,,,,,
716,cold snap -,more than my prints,on the camera,,,,,,,"cold snap -
more than my prints
on the camera",en,2,4,"4,5",,,,,,
717,Day of the Oscars-,in the Spring sun,I plant onions...,,,,,,,"Day of the Oscars-
in the Spring sun
I plant onions...",en,5,"4,5",4,,,,,,
718,yellow walnut leaves,slowly appear on the lawn--,early morning light,,,,,,,"yellow walnut leaves
slowly appear on the lawn--
early morning light",en,5,7,5,,,,,,
720,morning commute-,headlights fade,in the whiteout,,,,,,,"morning commute-
headlights fade
in the whiteout",en,4,3,4,,,,,,
721,solitary walk -,at nightfall the flash,of distant fireworks,,,,,,,"solitary walk -
at nightfall the flash
of distant fireworks",en,5,5,5,,,,,,
722,sunlit helmet,the young soldier's eyes,invisible,,,,,,,"sunlit helmet
the young soldier's eyes
invisible",en,4,5,4,,,,,,
723,sunday lunch,the chatter of children,among hard drinkers,,,,,,,"sunday lunch
the chatter of children
among hard drinkers",en,3,6,5,,,,,,
733,eclipse,the path of the sun,blocked by billboards,,,,,,,"eclipse
the path of the sun
blocked by billboards",en,2,5,4,,,,,,
755,harvest moon,i gather my thoughts,for winter,,,,,,,"harvest moon
i gather my thoughts
for winter",en,3,5,3,,,,,,
756,night of meteorites --,enjoying the sound of rain,instead,,,,,,,"night of meteorites --
enjoying the sound of rain
instead",en,6,7,2,,,,,,
757,driving home,full moon,dancing in puddles,,,,,,,"driving home
full moon
dancing in puddles",en,3,2,5,,,,,,
758,late summer,graffiti overgrown,with ivy,,,,,,,"late summer
graffiti overgrown
with ivy",en,3,6,3,,,,,,
760,meditation room--,books of wisdom,lean left . . . and right,,,,,,,"meditation room--
books of wisdom
lean left . . . and right",en,5,4,4,,,,,,
761,turning north--,sand from both oceans,in little jars,,,,,,,"turning north--
sand from both oceans
in little jars",en,3,5,4,,,,,,
762,cool morning--,at the top of the rise,deer pass in the fog,,,,,,,"cool morning--
at the top of the rise
deer pass in the fog",en,3,6,5,,,,,,
763,sipping fresh cider--,both dippers,among the far stars,,,,,,,"sipping fresh cider--
both dippers
among the far stars",en,5,3,5,,,,,,
764,Sentinels of spring...,kites bobbing for attention,in saucy March winds,,,,,,,"Sentinels of spring...
kites bobbing for attention
in saucy March winds",en,"5,6",7,5,,,,,,
765,three days,of cold autumn rain --,a dull ache,settles deep,inside my breasts,,,,,"three days
of cold autumn rain --
a dull ache
settles deep
inside my breasts",en,2,5,3,3,4,,,,
766,waiting,for my illness to end --,November rain,"seeps slowly, slowly",into the ground,,,,,"waiting
for my illness to end --
November rain
seeps slowly, slowly
into the ground",en,2,6,4,5,4,,,,
767,my body,aching and feverish,after nightfall --,the autumn wind rises,moaning louder,,,,,"my body
aching and feverish
after nightfall --
the autumn wind rises
moaning louder",en,3,6,4,6,4,,,,
768,"thank you, mango---",for a moment i was,somewhere else,,,,,,,"thank you, mango---
for a moment i was
somewhere else",en,4,6,3,,,,,,
769,amber leaves,caught between 'for sale',and 'sold',,,,,,,"amber leaves
caught between 'for sale'
and 'sold'",en,3,5,2,,,,,,
772,season of mists. . .,a calling of wild geese,arrows south,,,,,,,"season of mists. . .
a calling of wild geese
arrows south",en,4,6,3,,,,,,
773,old manor house,each empty room has,its own echo,,,,,,,"old manor house
each empty room has
its own echo",en,4,5,4,,,,,,
774,hugs --,the spider on my,old friend's arm,,,,,,,"hugs --
the spider on my
old friend's arm",en,1,5,3,,,,,,
775,spray painted log --,I try not to sit,on the word f***,,,,,,,"spray painted log --
I try not to sit
on the word f***",en,4,5,4,,,,,,
776,between the yoga,and chi gung classes --,scent of burning sage,,,,,,,"between the yoga
and chi gung classes --
scent of burning sage",en,5,5,5,,,,,,
777,a few yellow leaves --,the construction site grows,towards my favorite tree,,,,,,,"a few yellow leaves --
the construction site grows
towards my favorite tree",en,5,6,"5,6,7",,,,,,
778,horizonless --,sky-colored ice,turns in the bay,,,,,,,"horizonless --
sky-colored ice
turns in the bay",en,4,2,4,,,,,,
780,week of rain --,the insect's trail,on the flattened leaf,,,,,,,"week of rain --
the insect's trail
on the flattened leaf",en,3,4,5,,,,,,
781,noon glare --,the wind blows sand,out to sea,,,,,,,"noon glare --
the wind blows sand
out to sea",en,2,4,3,,,,,,
782,a white night --,salmon bones,curled against a log,,,,,,,"a white night --
salmon bones
curled against a log",en,3,3,5,,,,,,
783,dawn storm --,a bit of mountain ash,stirred into the snow,,,,,,,"dawn storm --
a bit of mountain ash
stirred into the snow",en,2,6,5,,,,,,
784,approaching winter --,I leave the seashell,at the bottom of my purse,,,,,,,"approaching winter --
I leave the seashell
at the bottom of my purse",en,5,5,7,,,,,,
785,morning haze --,ice drifts around,the river stones,,,,,,,"morning haze --
ice drifts around
the river stones",en,3,4,4,,,,,,
786,a hawk searches,the dry grass --,sundogs,,,,,,,"a hawk searches
the dry grass --
sundogs",en,4,3,2,,,,,,
787,berry stains,along the sidewalk --,hint of frost,,,,,,,"berry stains
along the sidewalk --
hint of frost",en,3,5,3,,,,,,
788,a bright morning --,the mud pulls away,from a frosty stone,,,,,,,"a bright morning --
the mud pulls away
from a frosty stone",en,4,5,5,,,,,,
789,sharp air --,the patch of blue,changes shape,,,,,,,"sharp air --
the patch of blue
changes shape",en,2,4,3,,,,,,
790,new coolness --,a train's light moves,along the mountainside,,,,,,,"new coolness --
a train's light moves
along the mountainside",en,3,4,6,,,,,,
791,a cold morning --,goose honks echo,off the pavement,,,,,,,"a cold morning --
goose honks echo
off the pavement",en,4,4,4,,,,,,
792,steamed milk --,snowmelt running from,the coffee shop roof,,,,,,,"steamed milk --
snowmelt running from
the coffee shop roof",en,2,5,5,,,,,,
793,walking meditation --,I pass through,a cloud of breath,,,,,,,"walking meditation --
I pass through
a cloud of breath",en,6,3,4,,,,,,
794,the courtship songs,of so many birds --,wind through my shirt,,,,,,,"the courtship songs
of so many birds --
wind through my shirt",en,4,5,4,,,,,,
795,spring currents --,the first gulls,picking bones,,,,,,,"spring currents --
the first gulls
picking bones",en,"3,4",3,3,,,,,,
796,scent of new leaves --,a caterpillar swings,in a shaft of light,,,,,,,"scent of new leaves --
a caterpillar swings
in a shaft of light",en,4,6,5,,,,,,
797,the empty bench --,spilled coffee,turned to ice,,,,,,,"the empty bench --
spilled coffee
turned to ice",en,4,3,3,,,,,,
798,daylight moon --,the shadows of bubbles,under the ice,,,,,,,"daylight moon --
the shadows of bubbles
under the ice",en,3,6,4,,,,,,
799,dog days --,driving to the lake,to watch the icebergs drift,,,,,,,"dog days --
driving to the lake
to watch the icebergs drift",en,2,5,6,,,,,,
800,after the rain --,a frog-shaped shadow,wavers in the puddle,,,,,,,"after the rain --
a frog-shaped shadow
wavers in the puddle",en,4,4,6,,,,,,
801,wispy clouds --,the last blossom hangs,on the fireweed,,,,,,,"wispy clouds --
the last blossom hangs
on the fireweed",en,3,5,5,,,,,,
802,discount store --,the unfinished tatoo,on the cashier's arm,,,,,,,"discount store --
the unfinished tatoo
on the cashier's arm",en,3,6,5,,,,,,
803,new coolness --,a pool at the center,of the lupine leaves,,,,,,,"new coolness --
a pool at the center
of the lupine leaves",en,3,6,5,,,,,,
804,spin cycle --,snow flakes swirl outside,the laundromat,,,,,,,"spin cycle --
snow flakes swirl outside
the laundromat",en,3,5,4,,,,,,
805,sirens --,the wind pushes,a butterfly to the ground,,,,,,,"sirens --
the wind pushes
a butterfly to the ground",en,2,4,7,,,,,,
806,the puddled field --,blades of grass,pierce a cloud,,,,,,,"the puddled field --
blades of grass
pierce a cloud",en,4,3,3,,,,,,
807,summer dust --,a caterpillar under,the whale bone arch,,,,,,,"summer dust --
a caterpillar under
the whale bone arch",en,3,7,4,,,,,,
808,half-frog pose,I lie and listen,to the rain,,,,,,,"half-frog pose
I lie and listen
to the rain",en,2,5,3,,,,,,
809,fog patches --,a second little face,in the sonogram,,,,,,,"fog patches --
a second little face
in the sonogram",en,3,6,5,,,,,,
810,a winged ant,crawls on hot asphalt --,end of summer,,,,,,,"a winged ant
crawls on hot asphalt --
end of summer",en,3,5,4,,,,,,
811,working Saturday --,the small shadows of pigeons,in the fog,,,,,,,"working Saturday --
the small shadows of pigeons
in the fog",en,5,7,3,,,,,,
812,night of meteors --,the first Christmas lights,go up on the block,,,,,,,"night of meteors --
the first Christmas lights
go up on the block",en,5,5,5,,,,,,
813,scent of rain --,a whale-shaped cloud,hangs over the bay,,,,,,,"scent of rain --
a whale-shaped cloud
hangs over the bay",en,3,3,5,,,,,,
814,between memories,and the parents' grave,the curtain of rain,,,,,,,"between memories
and the parents' grave
the curtain of rain",en,5,5,5,,,,,,
815,skylight-,a contrail crosses,her line of coke,,,,,,,"skylight-
a contrail crosses
her line of coke",en,2,5,4,,,,,,
816,antique store-,the ocean loud,in a seashell,,,,,,,"antique store-
the ocean loud
in a seashell",en,3,4,4,,,,,,
826,foggy glasses . . .,   a blurry paragraph,       above the bath water,,,,,,,"foggy glasses . . .
   a blurry paragraph
       above the bath water",en,4,6,6,,,,,,
828,the mailbox,captive in snowdrift,a letter from war,,,,,,,"the mailbox
captive in snowdrift
a letter from war",en,3,5,5,,,,,,
829,late afternoon ?,a wind chime softly sings,in snowy garden,,,,,,,"late afternoon ?
a wind chime softly sings
in snowy garden",en,4,6,5,,,,,,
832,black ice,covers the street,uprooted tree,,,,,,,"black ice
covers the street
uprooted tree",en,2,4,4,,,,,,
833,snow melt --,chewing gum spots appear,on the pavement,,,,,,,"snow melt --
chewing gum spots appear
on the pavement",en,2,6,4,,,,,,
834,first crowing,breaks my sleep --,year of Rooster,,,,,,,"first crowing
breaks my sleep --
year of Rooster",en,3,3,4,,,,,,
835,traffic jam,melting snow runs,on the windshield,,,,,,,"traffic jam
melting snow runs
on the windshield",en,3,4,4,,,,,,
837,Japanese New Year,how small the new moon,in its halo,,,,,,,"Japanese New Year
how small the new moon
in its halo",en,5,5,4,,,,,,
838,covered by snow,like the other stones,little Buddha,,,,,,,"covered by snow
like the other stones
little Buddha",en,4,5,4,,,,,,
839,rivulets,on a foggy window,the cancer's spread,,,,,,,"rivulets
on a foggy window
the cancer's spread",en,3,6,4,,,,,,
842,saying the rosary,a laborer,planting rice,,,,,,,"saying the rosary
a laborer
planting rice",en,6,4,3,,,,,,
843,rainy night---,her phone number,in my wallet,,,,,,,"rainy night---
her phone number
in my wallet",en,3,4,4,,,,,,
844,his shadow,passes me by---,the charcoal seller,,,,,,,"his shadow
passes me by---
the charcoal seller",en,3,4,5,,,,,,
845,the potter's fingers,wet with clay---,first rain,,,,,,,"the potter's fingers
wet with clay---
first rain",en,5,3,2,,,,,,
846,year's end --,a few tentative steps,on the river ice,,,,,,,"year's end --
a few tentative steps
on the river ice",en,2,6,5,,,,,,
847,garden wedding --,under the cherry blossoms,the bride's blush deepens,,,,,,,"garden wedding --
under the cherry blossoms
the bride's blush deepens",en,4,7,5,,,,,,
848,thaw--,a winter moth struggles,against a spider thread,,,,,,,"thaw--
a winter moth struggles
against a spider thread",en,1,6,6,,,,,,
851,evening rain?,buying cherry trees,online,,,,,,,"evening rain?
buying cherry trees
online",en,3,5,2,,,,,,
852,mid April,the grass finally,looks like grass,,,,,,,"mid April
the grass finally
looks like grass",en,3,5,3,,,,,,
853,noon sun--,someone playing scales,on a saxophone,,,,,,,"noon sun--
someone playing scales
on a saxophone",en,2,5,5,,,,,,
854,out of the fog?,a white barn with painted,butterflies,,,,,,,"out of the fog?
a white barn with painted
butterflies",en,4,6,3,,,,,,
855,paint peels off,the old white house?,March thaw,,,,,,,"paint peels off
the old white house?
March thaw",en,3,4,2,,,,,,
856,same path,even in deep snow?,the blind horse,,,,,,,"same path
even in deep snow?
the blind horse",en,2,5,3,,,,,,
857,shaving--,I share the mirror,with a spider,,,,,,,"shaving--
I share the mirror
with a spider",en,2,5,4,,,,,,
858,spring day,two hawks circle below,the contrails,,,,,,,"spring day
two hawks circle below
the contrails",en,"2,3",6,3,,,,,,
859,spring flies,buzz above my head--,E flat,,,,,,,"spring flies
buzz above my head--
E flat",en,"2,3",5,2,,,,,,
860,spring rain,cars slowly leave,the cemetery,,,,,,,"spring rain
cars slowly leave
the cemetery",en,"2,3",4,5,,,,,,
861,starless sky?,dead batteries,in the flashlight,,,,,,,"starless sky?
dead batteries
in the flashlight",en,3,4,4,,,,,,
867,campfire coffee. . .,condor wings glean,the first rays of sun,,,,,,,"campfire coffee. . .
condor wings glean
the first rays of sun",en,5,4,5,,,,,,
881,seed catalogues,in the mail daily--,morning snow fluries,,,,,,,"seed catalogues
in the mail daily--
morning snow fluries",en,4,5,5,,,,,,
882,drip.drip.drip.drip.drip.,the anticipation,of maple syrup,,,,,,,"drip.drip.drip.drip.drip.
the anticipation
of maple syrup",en,1,6,5,,,,,,
883,new March snow,the grouse with a missing toe,still around,,,,,,,"new March snow
the grouse with a missing toe
still around",en,3,7,3,,,,,,
884,quick mid-winter thaw,each icicle drips,at its own pace,,,,,,,"quick mid-winter thaw
each icicle drips
at its own pace",en,3,5,4,,,,,,
888,"topless,",the skyscraper,in rain mist,,,,,,,"topless,
the skyscraper
in rain mist",en,2,4,3,,,,,,
891,summer twilight,push mowers stop,for crickets,,,,,,,"summer twilight
push mowers stop
for crickets",en,4,4,3,,,,,,
893,fresh sawdust,among the birches --,his bent shoulders,,,,,,,"fresh sawdust
among the birches --
his bent shoulders",en,3,5,4,,,,,,
896,fragrant daphne <>,the money collector stops,before he knocks,,,,,,,"fragrant daphne <>
the money collector stops
before he knocks",en,4,7,4,,,,,,
897,hailstorm <>,under the groaning roof,I hold my breath,,,,,,,"hailstorm <>
under the groaning roof
I hold my breath",en,2,6,4,,,,,,
899,alone,in the tea house,rainy night,,,,,,,"alone
in the tea house
rainy night",en,2,4,3,,,,,,
900,blinding snow,man and dog tracks,run together,,,,,,,"blinding snow
man and dog tracks
run together",en,3,4,4,,,,,,
901,cold rain,a bunch of daffodils,against the brick wall,,,,,,,"cold rain
a bunch of daffodils
against the brick wall",en,2,6,5,,,,,,
902,night stillness,a new mail,in the inbox,,,,,,,"night stillness
a new mail
in the inbox",en,3,3,4,,,,,,
903,Valentine's Day,a red rose,stuck in the snow,,,,,,,"Valentine's Day
a red rose
stuck in the snow",en,4,3,4,,,,,,
904,courtyard of my childhood --,after so many dead people,the old lilac in bloom,,,,,,,"courtyard of my childhood --
after so many dead people
the old lilac in bloom",en,6,8,6,,,,,,
905,I completely forgot,"the magnolia-tree,",till its bloom,,,,,,,"I completely forgot
the magnolia-tree,
till its bloom",en,6,4,3,,,,,,
906,I light on again,the candle on her grave,extuinguished by wind,,,,,,,"I light on again
the candle on her grave
extuinguished by wind",en,5,6,5,,,,,,
907,under floating clouds,the cherry blossom snow --,in the same direction,,,,,,,"under floating clouds
the cherry blossom snow --
in the same direction",en,5,6,6,,,,,,
908,Valentine's Day --,awakened by a kiss,from the dog,,,,,,,"Valentine's Day --
awakened by a kiss
from the dog",en,4,6,3,,,,,,
909,drumming,heartbeat,in the mist,,,,,,,"drumming
heartbeat
in the mist",en,2,2,3,,,,,,
910,In the space-between,trees and mist,a white buffalo,,,,,,,"In the space-between
trees and mist
a white buffalo",en,3,3,5,,,,,,
911,a famished mallard,has emigrated,to the city zoo,,,,,,,"a famished mallard
has emigrated
to the city zoo",en,5,5,5,,,,,,
913,an ancient path,in a sky without time,departing geese,,,,,,,"an ancient path
in a sky without time
departing geese",en,4,6,4,,,,,,
914,her Sunday dress,the color of bruises,merging,,,,,,,"her Sunday dress
the color of bruises
merging",en,4,6,2,,,,,,
915,Saturday night,the sound of weeping,seeps from the wall,,,,,,,"Saturday night
the sound of weeping
seeps from the wall",en,4,5,4,,,,,,
916,warm rain on the pond,my thoughts rise,with the koi,,,,,,,"warm rain on the pond
my thoughts rise
with the koi",en,5,3,3,,,,,,
917,to the headstone,old footsteps frozen,in old snow,,,,,,,"to the headstone
old footsteps frozen
in old snow",en,4,5,3,,,,,,
918,pissing in a puddle,droplets of moonlight,on her sandal,,,,,,,"pissing in a puddle
droplets of moonlight
on her sandal",en,6,5,4,,,,,,
920,mango flavoured tea,in a silver tin - departing guests,linger a while,,,,,,,"mango flavoured tea
in a silver tin - departing guests
linger a while",en,6,9,4,,,,,,
926,cold snap-,her pause before,each tulip,,,,,,,"cold snap-
her pause before
each tulip",en,2,4,3,,,,,,
927,Coltrane,two floors up...floats,out a window,,,,,,,"Coltrane
two floors up...floats
out a window",en,2,3,4,,,,,,
928,her hair,brushed with moonlight...,forty years ago,,,,,,,"her hair
brushed with moonlight...
forty years ago",en,2,4,5,,,,,,
932,flat moon ...,an aspirine tablet and a,glass of water,,,,,,,"flat moon ...
an aspirine tablet and a
glass of water",en,2,8,4,,,,,,
933,I wake beside,my daughter's sick bed,a howling dog,,,,,,,"I wake beside
my daughter's sick bed
a howling dog",en,4,5,4,,,,,,
934,bitter cold--,we don't chase the lone crow,from the sparrow's food,,,,,,,"bitter cold--
we don't chase the lone crow
from the sparrow's food",en,3,6,5,,,,,,
935,that long-ago kiss--,and still Orion strides,the winter sky,,,,,,,"that long-ago kiss--
and still Orion strides
the winter sky",en,3,6,4,,,,,,
936,drunk tonight---,an elixir of cherry blossoms,and moonlight,,,,,,,"drunk tonight---
an elixir of cherry blossoms
and moonlight",en,3,9,3,,,,,,
937,eyeing,the apple,at buddha's feet,,,,,,,"eyeing
the apple
at buddha's feet",en,2,3,4,,,,,,
939,"the farmer,",planting corn under,a pregnant moon,,,,,,,"the farmer,
planting corn under
a pregnant moon",en,3,5,4,,,,,,
940,a fly beats,against the window --,melting snow,,,,,,,"a fly beats
against the window --
melting snow",en,3,5,3,,,,,,
941,a soda can,shot full of holes --,spring sun,,,,,,,"a soda can
shot full of holes --
spring sun",en,4,4,"2,3",,,,,,
942,Easter morning --,I head out into,trackless snow,,,,,,,"Easter morning --
I head out into
trackless snow",en,4,5,3,,,,,,
943,first pussy willows --,the sound of a woodpecker,shifts again,,,,,,,"first pussy willows --
the sound of a woodpecker
shifts again",en,5,7,3,,,,,,
944,home sick --,just the sound,of icicles dripping,,,,,,,"home sick --
just the sound
of icicles dripping",en,2,3,6,,,,,,
945,spring frost --,a tower light pierces,the sunset,,,,,,,"spring frost --
a tower light pierces
the sunset",en,"2,3",7,3,,,,,,
946,spring in the air --,my walking stick pierces,crusted snow,,,,,,,"spring in the air --
my walking stick pierces
crusted snow",en,"4,5",7,3,,,,,,
947,subzero --,a moth flies towards,the moonlit door,,,,,,,"subzero --
a moth flies towards
the moonlit door",en,3,"4,5",4,,,,,,
948,dachau,a blue sky above,the chimneys,,,,,,,"dachau
a blue sky above
the chimneys",en,2,5,3,,,,,,
949,morning frost,she leaves,first,,,,,,,"morning frost
she leaves
first",en,3,2,1,,,,,,
950,evening walk,smell of tar between,pines,,,,,,,"evening walk
smell of tar between
pines",en,3,5,1,,,,,,
951,on CNN,if you listen carefully,you can hear,,,,,,,"on CNN
if you listen carefully
you can hear",en,4,7,3,,,,,,
952,december,a long shadow,joins another,,,,,,,"december
a long shadow
joins another",en,3,4,4,,,,,,
953,end of path,snowflakes melting,on the pond,,,,,,,"end of path
snowflakes melting
on the pond",en,3,4,3,,,,,,
954,late winter -,opening the saijiki,to early spring,,,,,,,"late winter -
opening the saijiki
to early spring",en,3,7,"4,5",,,,,,
955,drunk on the beach-,the moon in my sake cup,disappears,,,,,,,"drunk on the beach-
the moon in my sake cup
disappears",en,4,6,3,,,,,,
956,after its first flight,the young gerfalcon's talons,tighter on my glove,,,,,,,"after its first flight
the young gerfalcon's talons
tighter on my glove",en,5,7,5,,,,,,
961,chill wind,beneath the monk's robe,a naked monk,,,,,,,"chill wind
beneath the monk's robe
a naked monk",en,2,5,4,,,,,,
962,sudden gust,carp leap from poles,to gulp the air,,,,,,,"sudden gust
carp leap from poles
to gulp the air",en,3,4,4,,,,,,
963,moonless night,a cereus cactus opens,solstice blooms,,,,,,,"moonless night
a cereus cactus opens
solstice blooms",en,3,8,3,,,,,,
966,ex-girlfriend,with a baby carriage,spring rain,,,,,,,"ex-girlfriend
with a baby carriage
spring rain",en,1,6,"2,3",,,,,,
977,the gap,between the mountains,filled with fog,,,,,,,"the gap
between the mountains
filled with fog",en,2,5,3,,,,,,
978,somewhere,in the graveyard,birdsong,,,,,,,"somewhere
in the graveyard
birdsong",en,2,4,2,,,,,,
