haiku,0,1,2,lang,0_syllables,1_syllables,2_syllables
"midsummer's eve
the pond's last light
stirred by dipping swallows
",midsummer's eve,the pond's last light,stirred by dipping swallows,en,4,4,6
"dog days
the sun-struck arc
of the angler's cast
",dog days,the sun-struck arc,of the angler's cast,en,2,3,5
"beach run
the salty taste
of myself
",beach run,the salty taste,of myself,en,2,4,3
"white birches
fog drifts past
the stone cairn
",white birches,fog drifts past,the stone cairn,en,3,3,3
"autumn rain
the long outside staircase
to my room
",autumn rain,the long outside staircase,to my room,en,3,6,3
"august moon
the coolness of
new sheets
",august moon,the coolness of,new sheets,en,3,4,2
"sparkling shoal
water strider shadows
cross the bottom
",sparkling shoal,water strider shadows,cross the bottom,en,"3,4",6,4
"morning fog
a worm trail ends
in a spiral
",morning fog,a worm trail ends,in a spiral,en,3,4,4
"steady autumn wind;
balloons at the same slant
in a used-car lot
",steady autumn wind;,balloons at the same slant,in a used-car lot,en,5,6,4
"a deep bruise
i don't remember getting
autumn evening
",a deep bruise,i don't remember getting,autumn evening,en,3,7,4
"spring thunder?
from the center of a pine stump
a pine
",spring thunder?,from the center of a pine stump,a pine,en,"3,4",8,2
"winter solstice
the road narrows
into one-way
",winter solstice,the road narrows,into one-way,en,4,4,3
"summer's end?
beachstore buckets on dusty shelves
anyoldhow
",summer's end?,beachstore buckets on dusty shelves,anyoldhow,en,3,8,4
"mid-argument?
a bumblebee
stumbles in clover
",mid-argument?,a bumblebee,stumbles in clover,en,1,4,5
"a spider weaves
among the rosehips?
no one at home
",a spider weaves,among the rosehips?,no one at home,en,4,5,4
"schoolyard quiet?
the scribble of ants
in a stone shadow
",schoolyard quiet?,the scribble of ants,in a stone shadow,en,4,5,5
"summer highway
puddles of light merge
with the sky
",summer highway,puddles of light merge,with the sky,en,4,5,3
"the striped racer
slithering to full length
canyon wildflowers
",the striped racer,slithering to full length,canyon wildflowers,en,4,6,4
"passing clouds?
an ant swings
on a grass blade
",passing clouds?,an ant swings,on a grass blade,en,3,3,4
"my daughter's graduation?
a gull separates
from the rest of the flock
",my daughter's graduation?,a gull separates,from the rest of the flock,en,7,5,6
"the baby nods
cottonwood seeds
drift along the road
",the baby nods,cottonwood seeds,drift along the road,en,4,4,5
"a migrant worker
in the 'native plants' median
midday heat
",a migrant worker,in the 'native plants' median,midday heat,en,5,8,3
"goldenrod
bending
heatwaves
",goldenrod,bending,heatwaves,en,3,2,2
"dog days . . .
another block of hay
pops out of the baler
",dog days . . .,another block of hay,pops out of the baler,en,2,6,6
"grit in the stomach
of the steamed clam?
summer heat
",grit in the stomach,of the steamed clam?,summer heat,en,5,4,3
"smoldering coals
the rattle of blue crabs
in a metal bucket
",smoldering coals,the rattle of blue crabs,in a metal bucket,en,4,6,6
"amber shallows
a perch nibbles
the sky to pieces
",amber shallows,a perch nibbles,the sky to pieces,en,4,4,5
"the slow blink
of radio tower lights
?autumn chill
",the slow blink,of radio tower lights,?autumn chill,en,3,7,1
"noon sun
the cow chews her cud
clockwise
",noon sun,the cow chews her cud,clockwise,en,2,5,2
"midday sun
my shadow
to the ocean floor
",midday sun,my shadow,to the ocean floor,en,3,3,5
"passing thunderclouds?
a waterstrider's rush
to stay in place
",passing thunderclouds?,a waterstrider's rush,to stay in place,en,5,6,4
"evening stillness
the small bubbles
as the trout rise
",evening stillness,the small bubbles,as the trout rise,en,4,4,4
"autumn river?
pulled together on the deck
two white chairs
",autumn river?,pulled together on the deck,two white chairs,en,4,7,3
"high above
the end of this long day
sliver of moon
",high above,the end of this long day,sliver of moon,en,3,6,4
"sunday morning
a neighbor comes out
to clap his shoes
",sunday morning,a neighbor comes out,to clap his shoes,en,4,5,4
"floating
through my thought
butterfly
",floating,through my thought,butterfly,en,2,3,3
"rose trellis
a butterfly adjusts
its flight
",rose trellis,a butterfly adjusts,its flight,en,3,6,2
"garden swing?
cat and butterfly
in mid-air
",garden swing?,cat and butterfly,in mid-air,en,3,5,2
"three fiddlers?
a dog weaves between
pints of stout
",three fiddlers?,a dog weaves between,pints of stout,en,"3,4",5,3
"she speaks softly
she speaks of daffodils
i write it down
",she speaks softly,she speaks of daffodils,i write it down,en,4,6,4
"bumblebee
the buzz
between flowers
",bumblebee,the buzz,between flowers,en,3,2,4
"a child's laughter
the touch
of a touch-me-not
",a child's laughter,the touch,of a touch-me-not,en,4,2,3
"cool summer morning
i take my thoughts
out to the porch
",cool summer morning,i take my thoughts,out to the porch,en,5,4,4
"lightning flash
how short
the stubble
",lightning flash,how short,the stubble,en,3,2,3
"cloudcast afternoon?
corn popping
on the stove
",cloudcast afternoon?,corn popping,on the stove,en,5,3,3
"an old man's breathing
barely moves the newspaper
winter dusk
",an old man's breathing,barely moves the newspaper,winter dusk,en,5,7,3
"winter stars?
shaking rust down from
the old swing set
",winter stars?,shaking rust down from,the old swing set,en,3,5,4
"grand canal
row on row of gondolas
tossing at their stakes
",grand canal,row on row of gondolas,tossing at their stakes,en,3,7,5
"crochet hook
pulling the yarn through
deep november
",crochet hook,pulling the yarn through,deep november,en,3,5,4
"porch sitting?
the scallop of snowy hills
in his gesture
",porch sitting?,the scallop of snowy hills,in his gesture,en,3,7,4
"bright venus
two hawks settle
deep in the pine
",bright venus,two hawks settle,deep in the pine,en,3,4,4
"approaching storm
a peacock's cry above
the wind
",approaching storm,a peacock's cry above,the wind,en,4,6,2
"tattered windsock?
a harbor seal slips between
two dinghies
",tattered windsock?,a harbor seal slips between,two dinghies,en,4,7,3
"pond shimmer
there not there
grebes
",pond shimmer,there not there,grebes,en,3,3,1
"early spring
the honey pot
nearly empty
",early spring,the honey pot,nearly empty,en,"3,4",4,4
"goose crossing
the old pick-up's
broken horn
",goose crossing,the old pick-up's,broken horn,en,3,3,3
"valley stillness
a butterfly passes through
an empty log
",valley stillness,a butterfly passes through,an empty log,en,4,7,4
"fading stars
a hedgehog haphazards
its way back home
",fading stars,a hedgehog haphazards,its way back home,en,3,6,4
"filtered sunlight
where the forest thins
daffodils
",filtered sunlight,where the forest thins,daffodils,en,4,5,3
"her gray hair
gone blonde
first day of spring
",her gray hair,gone blonde,first day of spring,en,3,2,"4,5"
"fiddlehead fern
the way it rolls
off the tongue
",fiddlehead fern,the way it rolls,off the tongue,en,4,4,3
"sunset
flash of starlings
in the acacia
",sunset,flash of starlings,in the acacia,en,2,4,5
"day lilies
waking to find
it wasn?t a dream
",day lilies,waking to find,it wasn?t a dream,en,3,4,4
"a grain of rice
on the mayor's face . . .
new year's levee
",a grain of rice,on the mayor's face . . .,new year's levee,en,4,5,4
"winter chill
turkey vultures circling
one of their own
",winter chill,turkey vultures circling,one of their own,en,3,"6,7",4
"long train
the roundness of snow
on tanker cars
",long train,the roundness of snow,on tanker cars,en,2,5,4
"winter tulips
squeaking
as they enter the vase
",winter tulips,squeaking,as they enter the vase,en,4,2,6
"rabbits at dusk
as if foxes did not also
love twilight
",rabbits at dusk,as if foxes did not also,love twilight,en,4,8,3
"january
the gym crowded
with resolutions
",january,the gym crowded,with resolutions,en,4,4,5
"forecasted storm . . .
the low-battery
in my kindle
",forecasted storm . . .,the low-battery,in my kindle,en,4,2,4
"hunger moon
the sound of squirrel teeth
on a hazelnut
",hunger moon,the sound of squirrel teeth,on a hazelnut,en,3,6,5
"winter mist
at the stoplight pink sneakers
keep running
",winter mist,at the stoplight pink sneakers,keep running,en,3,7,3
"lent is over
a bartender flips
the coaster
",lent is over,a bartender flips,the coaster,en,4,5,3
"my housefly's autumn
the window with the hills
of apple trees
",my housefly's autumn,the window with the hills,of apple trees,en,5,6,4
"moonlit waves
the glow of streetlights
on clapboard cottages
",moonlit waves,the glow of streetlights,on clapboard cottages,en,3,5,6
"snow in the forecast
some extra spice
in the jambalya
",snow in the forecast,some extra spice,in the jambalya,en,5,4,6
"12.01 am
flying a drunkard's path
the year's first moth
",12.01 am,flying a drunkard's path,the year's first moth,en,"6,7",6,4
"snow erasing
the garden's features
teaching my dad to shave
",snow erasing,the garden's features,teaching my dad to shave,en,4,5,6
"unilingual
i study the expressions
in a wren's eye
",unilingual,i study the expressions,in a wren's eye,en,4,7,4
"first cold day
the cat kneads
a patch of sunlight
",first cold day,the cat kneads,a patch of sunlight,en,3,3,5
"first flakes
discovering my childhood
in a box
",first flakes,discovering my childhood,in a box,en,2,7,3
"orion's belt
my words byte by byte
to another continent
",orion's belt,my words byte by byte,to another continent,en,4,5,7
"after the funeral
snow covers
the dark places
",after the funeral,snow covers,the dark places,en,6,3,4
"rustle of palm leaves . . .
fishermen play cards
in the boat's shade
",rustle of palm leaves . . .,fishermen play cards,in the boat's shade,en,5,5,4
"roadside walk
a beggar stretches
leg as hand
",roadside walk,a beggar stretches,leg as hand,en,3,5,3
"fiddlers? festival
the bull frogs?
uneven harmony
",fiddlers? festival,the bull frogs?,uneven harmony,en,"5,6",3,6
"alone
with dad's old songs
another night of fireflies
",alone,with dad's old songs,another night of fireflies,en,2,4,8
"adonis blue . . .
searching in vain
among the heathcliffs
",adonis blue . . .,searching in vain,among the heathcliffs,en,4,4,5
"summer afternoon
the saxophone busker
takes a drag
",summer afternoon,the saxophone busker,takes a drag,en,5,6,3
"tornado watch
cricket songs carried
from tall grass
",tornado watch,cricket songs carried,from tall grass,en,4,5,3
"gypsy violin . . .
the wheat harvest
sparkling with fireflies
",gypsy violin . . .,the wheat harvest,sparkling with fireflies,en,5,4,"6,7"
"mountain pass wind
whistles through my pack frame
a pika answers
",mountain pass wind,whistles through my pack frame,a pika answers,en,4,6,5
"crescent moon
quiet lullaby
from the rocker
",crescent moon,quiet lullaby,from the rocker,en,3,5,4
"first flakes
the nowhere voices
of geese
",first flakes,the nowhere voices,of geese,en,2,5,2
"the snow
follows grace
stone soup
",the snow,follows grace,stone soup,en,2,3,2
"first
in the last trash bag
the box it came in
",first,in the last trash bag,the box it came in,en,1,5,5
"winter frost
the sword's sharp shine
out of the sheath
",winter frost,the sword's sharp shine,out of the sheath,en,3,4,4
"a rose petal
in the singing bowl . . .
first blackbird
",a rose petal,in the singing bowl . . .,first blackbird,en,4,5,3
"all saints? day dusk:
a blackbird's alarm call
sets off another
",all saints? day dusk:,a blackbird's alarm call,sets off another,en,4,6,5
"folding the map
part of the country ends
in the ocean
",folding the map,part of the country ends,in the ocean,en,4,6,4
"new year's day
the cloud that held the mountain
lets go
",new year's day,the cloud that held the mountain,lets go,en,3,7,2
"winter thaw
tasting spiced cider
on my lover's tongue
",winter thaw,tasting spiced cider,on my lover's tongue,en,3,5,5
"bare trees
a request for an update
of my bio
",bare trees,a request for an update,of my bio,en,2,7,4
"glare ice
the old dog
pees on the moon
",glare ice,the old dog,pees on the moon,en,2,3,4
"sun-bright morning
dragons of factory smoke
dissolved by wind
",sun-bright morning,dragons of factory smoke,dissolved by wind,en,3,7,4
"after all the things
that have gone wrong
plum blossoms
",after all the things,that have gone wrong,plum blossoms,en,5,4,3
"i find myself
losing the trail . . .
greening woods
",i find myself,losing the trail . . .,greening woods,en,4,4,3
"spring cleaning
my daughter finds the key
to the music box
",spring cleaning,my daughter finds the key,to the music box,en,"3,4",6,5
"wind blown snow
a ewe's cry
in the night
",wind blown snow,a ewe's cry,in the night,en,3,3,3
"mild winter
the shore ice
releases its litter
",mild winter,the shore ice,releases its litter,en,3,3,6
"measuring a life
from crocus
to crocus
",measuring a life,from crocus,to crocus,en,5,3,3
"songbirds returning . . .
the tunes my father
would whistle
",songbirds returning . . .,the tunes my father,would whistle,en,5,5,3
"trail frog
the children
jump back
",trail frog,the children,jump back,en,2,3,2
"early spring . . .
specks from the sky
settle near the river
",early spring . . .,specks from the sky,settle near the river,en,"3,4",4,6
"the robin's song
garlic shoots
lift the soil
",the robin's song,garlic shoots,lift the soil,en,4,3,3
"daylight saving
the neighbor's pregnancy
begins to show
",daylight saving,the neighbor's pregnancy,begins to show,en,4,6,4
"butterbur
the rabbits explore
a little further
",butterbur,the rabbits explore,a little further,en,3,5,5
"stuffed in a bus
the scent of spring
in a woman's musk
",stuffed in a bus,the scent of spring,in a woman's musk,en,4,"4,5",5
"inside the bud
all the reasons
to believe
",inside the bud,all the reasons,to believe,en,4,4,3
"the swell
before the river splits
into another name
",the swell,before the river splits,into another name,en,2,6,6
"from the far bank
the two-note squeaks of coot chicks
strobe the river
",from the far bank,the two-note squeaks of coot chicks,strobe the river,en,4,6,4
"outdoor wall
banyan shoot curls
in my shadow
",outdoor wall,banyan shoot curls,in my shadow,en,3,4,4
"in the stream
a lone fisherman
that once was me
",in the stream,a lone fisherman,that once was me,en,3,5,4
"stargazer lily . . .
a dab of pollen on the tip
of her nose
",stargazer lily . . .,a dab of pollen on the tip,of her nose,en,5,8,3
"primrose
a new nurse hired
in the playhouse
",primrose,a new nurse hired,in the playhouse,en,2,5,4
"sweetfish fall downstream
how easily i slip
into yesterday
",sweetfish fall downstream,how easily i slip,into yesterday,en,5,6,5
"our legs
stir up phosphorescence
the heat
",our legs,stir up phosphorescence,the heat,en,"2,3",6,2
"clouds drift . . .
the trail of a rain drop
on a dirt covered leaf
",clouds drift . . .,the trail of a rain drop,on a dirt covered leaf,en,2,6,6
"butterfly
the thought of myself
not thinking
",butterfly,the thought of myself,not thinking,en,3,5,3
"yard sale
listening to sunsets
in the conch shell
",yard sale,listening to sunsets,in the conch shell,en,2,"5,6",4
"slow current . . .
the rusting shadow
of a truss bridge
",slow current . . .,the rusting shadow,of a truss bridge,en,"2,3",5,4
"peaceful evening
the drip
of oars at rest
",peaceful evening,the drip,of oars at rest,en,4,2,4
"dusk . . .
the home plate umpire
brushes it off again
",dusk . . .,the home plate umpire,brushes it off again,en,1,6,6
"piano practice
leaves swirl
allegro con brio
",piano practice,leaves swirl,allegro con brio,en,5,2,6
"scudding moon
a starfish holds fast
to the hull
",scudding moon,a starfish holds fast,to the hull,en,3,5,3
"neck
& neck
geese
",neck,& neck,geese,en,1,1,1
"first names
no longer in fashion
weathered headstones
",first names,no longer in fashion,weathered headstones,en,2,6,4
"between roots and branches
centuries
and a child's swing
",between roots and branches,centuries,and a child's swing,en,6,3,4
"autumn wind
i take what i want
of the apples
",autumn wind,i take what i want,of the apples,en,3,5,4
"october fest
too much oom-pah-pah
in the mustard
",october fest,too much oom-pah-pah,in the mustard,en,4,3,4
"leaves in the wind . . .
this time
i let him go
",leaves in the wind . . .,this time,i let him go,en,4,2,4
"godless month
a double rainbow
spans the mourners
",godless month,a double rainbow,spans the mourners,en,3,5,4
"first snow
cascading through cedar
a woodpecker's call
",first snow,cascading through cedar,a woodpecker's call,en,2,6,5
"olive sea
i disappear into another
gray day
",olive sea,i disappear into another,gray day,en,3,9,2
"too late
to call him dad
autumn leaves
",too late,to call him dad,autumn leaves,en,2,4,3
"autumn sunset
the flutter of the sail
as it loses wind
",autumn sunset,the flutter of the sail,as it loses wind,en,4,6,5
"pale moon
my childhood gone
with her last breath
",pale moon,my childhood gone,with her last breath,en,2,4,4
"baby photos
from my birth mother . . .
how do i say hello to me
",baby photos,from my birth mother . . .,how do i say hello to me,en,4,5,8
"lame doe at dusk
shifting the weight
of my day
",lame doe at dusk,shifting the weight,of my day,en,4,4,3
"mom's ashes pass
through airport security
autumn evening
",mom's ashes pass,through airport security,autumn evening,en,4,7,4
"first night of fall . . .
most of the moon
spills through the leaves
",first night of fall . . .,most of the moon,spills through the leaves,en,4,4,4
"another dream
about the otherworld
pressed flowers
",another dream,about the otherworld,pressed flowers,en,4,6,3
"old postcard
a steamship voyage
on a stamp
",old postcard,a steamship voyage,on a stamp,en,3,5,3
"skin
is all i know of me . . .
distant thunder
",skin,is all i know of me . . .,distant thunder,en,1,6,4
"desert motel . . .
opening the door
to starlight
",desert motel . . .,opening the door,to starlight,en,4,5,3
"screened window
the full scent
of jasmine
",screened window,the full scent,of jasmine,en,3,3,3
"heirloom roses
she crunches eggshell
into the black loam
",heirloom roses,she crunches eggshell,into the black loam,en,4,5,5
"beads of rain . . .
raspberries holding on
to summer
",beads of rain . . .,raspberries holding on,to summer,en,3,6,3
"near the horizon
a wave forms
touch me there, again
",near the horizon,a wave forms,"touch me there, again",en,5,3,5
"moonflower
a love letter
to captain kirk
",moonflower,a love letter,to captain kirk,en,3,4,4
"city alley
the heart of an iris
holding rain
",city alley,the heart of an iris,holding rain,en,4,6,3
"building thunderhead
the white hydrangea
touched with blue
",building thunderhead,the white hydrangea,touched with blue,en,5,6,3
"morning walk
the stranger's dog
knows my scent
",morning walk,the stranger's dog,knows my scent,en,3,4,3
"pock
of tennis balls
the heat
",pock,of tennis balls,the heat,en,1,4,2
"summit
a gnat's weight
on my nose
",summit,a gnat's weight,on my nose,en,2,3,3
"swallowtail
maybe i?ll
say yes
",swallowtail,maybe i?ll,say yes,en,3,3,2
"sagging porch
my conversation
with a stray dog
",sagging porch,my conversation,with a stray dog,en,3,5,4
"home run
moths swarm
the floodlights
",home run,moths swarm,the floodlights,en,2,2,3
"longest day
rolling each awning
out to its limit
",longest day,rolling each awning,out to its limit,en,3,5,5
"bottom of the canyon
a brochure
of spectacular views
",bottom of the canyon,a brochure,of spectacular views,en,6,3,6
"doll house
my daughter changes
her mind again
",doll house,my daughter changes,her mind again,en,2,5,4
"far from home
she puts a shell
to my ear
",far from home,she puts a shell,to my ear,en,3,4,3
"summer stars . . .
an actor's bow
sweeps the pool of light
",summer stars . . .,an actor's bow,sweeps the pool of light,en,3,4,5
"morning tide
the seaside town
smells of breakfast
",morning tide,the seaside town,smells of breakfast,en,3,4,4
"valentine's day
thawing a wild salmon
from the supermarket
",valentine's day,thawing a wild salmon,from the supermarket,en,4,6,6
"planetarium
my child's grip
starts to loosen
",planetarium,my child's grip,starts to loosen,en,5,3,4
"winter solitude
another long night
where things left off
",winter solitude,another long night,where things left off,en,5,5,4
"awkward silence
a guest pinches
a sprig of lavender
",awkward silence,a guest pinches,a sprig of lavender,en,4,4,6
"spring dusk
a turtle laying eggs
in railbed cinder
",spring dusk,a turtle laying eggs,in railbed cinder,en,"2,3",6,5
"looseknit sweater
the spring wind comes to me
in a thousand ways
",looseknit sweater,the spring wind comes to me,in a thousand ways,en,4,"6,7",5
"deep winter
i hang my shadow
in the closet
",deep winter,i hang my shadow,in the closet,en,3,5,4
"romance ends
pot-shaped clods of dirt
on the compost pile
",romance ends,pot-shaped clods of dirt,on the compost pile,en,3,4,5
"scent of guava
a glimpse of my youth
in the fruit aisle
",scent of guava,a glimpse of my youth,in the fruit aisle,en,4,5,"4,5"
"the softness
of lamb's ears
garden for the blind
",the softness,of lamb's ears,garden for the blind,en,3,3,5
"sudden winter
the press of cold metal
against the paper gown
",sudden winter,the press of cold metal,against the paper gown,en,4,6,6
"holidays over . . .
change from someone's pocket
between couch cushions
",holidays over . . .,change from someone's pocket,between couch cushions,en,5,6,5
"no desire
to talk it through
first moon of winter
",no desire,to talk it through,first moon of winter,en,4,4,5
"this way and that
winter sun
in a rabbit's ear
",this way and that,winter sun,in a rabbit's ear,en,4,3,5
"stark tree limbs
a cyclist i see
every morning
",stark tree limbs,a cyclist i see,every morning,en,3,"5,6","4,5"
"another new year
the reek of gunpowder wafts
on the cold night air
",another new year,the reek of gunpowder wafts,on the cold night air,en,5,7,5
"hunger moon
the many shades
of snow . . .
",hunger moon,the many shades,of snow . . .,en,3,4,2
"a wren at sunrise
it seems too early
to write of death
",a wren at sunrise,it seems too early,to write of death,en,5,5,4
"stark tree limbs
i have nothing
of my hometown
",stark tree limbs,i have nothing,of my hometown,en,3,4,4
"raging blizzard
the gritted teeth
of jumper cables
",raging blizzard,the gritted teeth,of jumper cables,en,4,4,5
"scent
of raked leaves
an old wound
",scent,of raked leaves,an old wound,en,1,3,3
"autumn sun
the man on a bicycle
hugs his pumpkin
",autumn sun,the man on a bicycle,hugs his pumpkin,en,3,7,4
"autumn twilight
i tell the hostel
we?re almost there
",autumn twilight,i tell the hostel,we?re almost there,en,4,5,4
"black fingers
in the dough
a hint of winter
",black fingers,in the dough,a hint of winter,en,3,3,5
"a faint chance of snow
?the right money moves
for the year ahead?
",a faint chance of snow,?the right money moves,for the year ahead?,en,5,4,5
"autumn woods
my son and i
not just dna
",autumn woods,my son and i,not just dna,en,3,4,5
"halloween
the white cat's
black shadow
",halloween,the white cat's,black shadow,en,3,3,3
"the sky
gray with voices
late geese
",the sky,gray with voices,late geese,en,2,4,2
"shorter days
my medicare card
arrives in the mail
",shorter days,my medicare card,arrives in the mail,en,3,5,5
"emptying the trap . . .
a pumpkin seed between
the mouse's teeth
",emptying the trap . . .,a pumpkin seed between,the mouse's teeth,en,5,6,4
"sun-filled eddy
a swainson's thrush sings
an upward spiral
",sun-filled eddy,a swainson's thrush sings,an upward spiral,en,3,5,5
"turning tide . . .
a barnacle waits
on a limpet
",turning tide . . .,a barnacle waits,on a limpet,en,3,5,4
"first drops
a frog syncopates
with the cicadas
",first drops,a frog syncopates,with the cicadas,en,2,5,5
"same as it was
when we were cavemen
the moon
",same as it was,when we were cavemen,the moon,en,4,5,2
"dry september . . .
water gurgles
in my fish tank
",dry september . . .,water gurgles,in my fish tank,en,4,4,4
"returning home
i cross to the cricket's
side of the road
",returning home,i cross to the cricket's,side of the road,en,4,6,4
"mossy creek bank
the days when i could be
anything
",mossy creek bank,the days when i could be,anything,en,4,6,3
"a butterfly
in her cupped hands
end of summer
",a butterfly,in her cupped hands,end of summer,en,4,4,4
"misty morning
lingering smell of cattle
in abilene
",misty morning,lingering smell of cattle,in abilene,en,4,"6,7",4
"cicada song
spanish moss dipped
in sunlight
",cicada song,spanish moss dipped,in sunlight,en,4,4,3
"a first kiss
on the edge of summer
sand in my shoe
",a first kiss,on the edge of summer,sand in my shoe,en,3,6,4
"family picnic
my son runs a finger
over his birthmark
",family picnic,my son runs a finger,over his birthmark,en,"4,5",6,5
"approaching storm . . .
a fluorescent swimsuit
on the clothesline
",approaching storm . . .,a fluorescent swimsuit,on the clothesline,en,4,6,4
"high desert
the weathered rock
gives up a shell
",high desert,the weathered rock,gives up a shell,en,3,4,4
"scent of her hair
wave after wave
touches the shore
",scent of her hair,wave after wave,touches the shore,en,4,4,4
"bullfrogs croak
in the river
women harvest stones
",bullfrogs croak,in the river,women harvest stones,en,3,4,5
"migraine
the red fan opening
fold by fold
",migraine,the red fan opening,fold by fold,en,2,6,3
"with a little rain,
the color returns
to a stone
","with a little rain,",the color returns,to a stone,en,5,5,3
"carving emoticons
in ice cream . . .
lonely town
",carving emoticons,in ice cream . . .,lonely town,en,6,3,3
"octopus
i already know
the way home
",octopus,i already know,the way home,en,3,5,3
"winter solitude
the elevator speaks
to me
",winter solitude,the elevator speaks,to me,en,5,6,2
"blowing snow
i learn the secrets
of the wind
",blowing snow,i learn the secrets,of the wind,en,3,5,3
"winter sun . . .
the soft flicker of waxwings
in the firethorn
",winter sun . . .,the soft flicker of waxwings,in the firethorn,en,3,7,5
"taking a left
when i should have gone right
spring drizzle
",taking a left,when i should have gone right,spring drizzle,en,4,6,"3,4"
"spring moon
her tippy-toes bring her
that much closer
",spring moon,her tippy-toes bring her,that much closer,en,"2,3",5,4
"a red fox
appears disappears
winter wind
",a red fox,appears disappears,winter wind,en,3,5,3
"all day writing poems . . .
the sound of paper settling
in the bin
",all day writing poems . . .,the sound of paper settling,in the bin,en,6,"8,7",3
"a flutter
in the doe's flank
crocus in snow
",a flutter,in the doe's flank,crocus in snow,en,3,4,4
"good friday . . .
walking to confession
in worn shoes
",good friday . . .,walking to confession,in worn shoes,en,3,6,3
"moon-washed garden
wondering what became
of the tailless thrush
",moon-washed garden,wondering what became,of the tailless thrush,en,3,6,5
"blizzard from the north
the buffalo turn
to face the white
",blizzard from the north,the buffalo turn,to face the white,en,5,5,4
"school reunion
failing to recognize
the winter goldfinch
",school reunion,failing to recognize,the winter goldfinch,en,4,6,5
"always making
something out of nothing
the brilliance of crows
",always making,something out of nothing,the brilliance of crows,en,4,6,5
"mid-winter
the stillness of the sardines
in the tin
",mid-winter,the stillness of the sardines,in the tin,en,1,7,3
"a gazillion germs
in a sneeze
yet more stars
",a gazillion germs,in a sneeze,yet more stars,en,6,3,3
"winter gulls
the grit of sand
in soap
",winter gulls,the grit of sand,in soap,en,3,4,2
"the big dipper
my dog keeps searching
for the right spot
",the big dipper,my dog keeps searching,for the right spot,en,4,5,4
"swollen moon
the winter diet
of comfort food
",swollen moon,the winter diet,of comfort food,en,3,5,4
"office aquarium
the fish and i
in different boxes
",office aquarium,the fish and i,in different boxes,en,6,4,"5,6"
"a pawn sacrificed
keeping the game alive
this freezing night
",a pawn sacrificed,keeping the game alive,this freezing night,en,5,6,4
"stuck
in the eddy
autumn sky
",stuck,in the eddy,autumn sky,en,1,4,3
"persimmon sky
two blackbirds puff up
their silhouettes
",persimmon sky,two blackbirds puff up,their silhouettes,en,4,5,4
"two attempts
at the trouser leg
new year's day
",two attempts,at the trouser leg,new year's day,en,3,5,3
"snow squeak
the longest branch bounces
with sparrows
",snow squeak,the longest branch bounces,with sparrows,en,2,6,3
"slideshow
our winter vacation
the white wall
",slideshow,our winter vacation,the white wall,en,2,"6,7",3
"last autumn colours
the cloister fountain
keeps singing
",last autumn colours,the cloister fountain,keeps singing,en,5,5,3
"antler clash
the moose
lock breaths
",antler clash,the moose,lock breaths,en,3,2,2
"the soft blur
of sleeping swans . . .
winter light
",the soft blur,of sleeping swans . . .,winter light,en,3,4,3
"first star
my son says he knows
the speed of light
",first star,my son says he knows,the speed of light,en,2,5,4
"deep winter
i lose my list
of things to do
",deep winter,i lose my list,of things to do,en,3,4,4
"skylight raindrop
holding jupiter
and the moon
",skylight raindrop,holding jupiter,and the moon,en,4,5,3
"lovemaking
over his shoulder
the moon
",lovemaking,over his shoulder,the moon,en,3,5,2
"the cricket's song
what's left
of the moon
",the cricket's song,what's left,of the moon,en,4,2,3
"autumn zephyr
my daughter imitates
a maple seed
",autumn zephyr,my daughter imitates,a maple seed,en,4,6,4
"autumn woods
my last walk as a bachelor
memorizing vows
",autumn woods,my last walk as a bachelor,memorizing vows,en,3,"8,7",5
"wind-blown sky
a dragonfly's grip
on the clothes line
",wind-blown sky,a dragonfly's grip,on the clothes line,en,2,5,4
"autumn orchard
the oval of a basket
imprinted on the grass
",autumn orchard,the oval of a basket,imprinted on the grass,en,4,7,6
"morning cicadas
a vine reaches
into open space
",morning cicadas,a vine reaches,into open space,en,5,4,5
"horseshoe pit
a yellow maple leaf
leans on the spike
",horseshoe pit,a yellow maple leaf,leans on the spike,en,3,6,4
"the vermillion glow
from the pistachio trees
i knew your father
",the vermillion glow,from the pistachio trees,i knew your father,en,5,7,5
"ears over eyes,
the pigs stretch out
in the evening sun
","ears over eyes,",the pigs stretch out,in the evening sun,en,4,4,5
"village fair . . .
insects fly round and round
a tube light
",village fair . . .,insects fly round and round,a tube light,en,3,6,3
"her heart
on her sleeve
firefly
",her heart,on her sleeve,firefly,en,2,3,3
"keep off grass
the tut tut tut
of a sprinkler head
",keep off grass,the tut tut tut,of a sprinkler head,en,3,4,"5,6"
"wind waves
through the tall wheat
missing her
",wind waves,through the tall wheat,missing her,en,2,4,3
"cockatoo roost
the last light of evening
folded in the hills
",cockatoo roost,the last light of evening,folded in the hills,en,4,6,5
"starry night . . .
a black rhino
fills the water hole
",starry night . . .,a black rhino,fills the water hole,en,3,4,5
"bare feet
the child squelches
through a cowpat
",bare feet,the child squelches,through a cowpat,en,2,4,4
"summer squall
lily pads
hold the pond in place
",summer squall,lily pads,hold the pond in place,en,3,3,5
"wild mustard scent
a bed
shared with sisters
",wild mustard scent,a bed,shared with sisters,en,4,2,4
"aroma of coffee
in the morning breeze
my new lover
",aroma of coffee,in the morning breeze,my new lover,en,6,5,4
"catch and release
a little shine left
on my fingers
",catch and release,a little shine left,on my fingers,en,4,5,4
