haiku,0,1,2,lang,0_syllables,1_syllables,2_syllables
"would to god they did so still
then i'd 'scape the heat and racket
of the good ship lisbon packet",would to god they did so still,then i'd 'scape the heat and racket,of the good ship lisbon packet,en,7,8,8
"nothing rhymes in english with an orange
it stands alone with luster in a far tinge
it stands alone and seems to make a star cringe",nothing rhymes in english with an orange,it stands alone with luster in a far tinge,it stands alone and seems to make a star cringe,en,10,11,11
"but rime riche is rich enough for an orange
still my doorman sings put it away in storage
it stands alone and seems to make a star cringe",but rime riche is rich enough for an orange,still my doorman sings put it away in storage,it stands alone and seems to make a star cringe,en,11,12,11
"orange replies: i'm drunk from my last bar-binge
half-rhymes like hangovers suddenly impinge
but nothing rhymes in english with an orange",orange replies: i'm drunk from my last bar-binge,half-rhymes like hangovers suddenly impinge,but nothing rhymes in english with an orange,en,10,10,11
"hue of concrete into each limb
a house of blue-ring flames
to mimic someone better run",hue of concrete into each limb,a house of blue-ring flames,to mimic someone better run,en,8,5,8
"is it well to wish thee happy
having known me to decline
on a range of lower feelings and a narrower heart than mine",is it well to wish thee happy,having known me to decline,on a range of lower feelings and a narrower heart than mine,en,8,7,16
"what is this
his eyes are heavy think not they are glazed with wine
go to him it is thy duty kiss him take his hand in thine",what is this,his eyes are heavy think not they are glazed with wine,go to him it is thy duty kiss him take his hand in thine,en,3,12,15
"where is comfort
in division of the records of the mind
can i part her from herself and love her as i knew her kind",where is comfort,in division of the records of the mind,can i part her from herself and love her as i knew her kind,en,4,11,15
"can i but relive in sadness
i will turn that earlier page
hide me from my deep emotion o thou wondrous mother-age",can i but relive in sadness,i will turn that earlier page,hide me from my deep emotion o thou wondrous mother-age,en,8,8,14
"not in vain the distance beacons
forward forward let us range
let the great world spin for ever down the ringing grooves of change",not in vain the distance beacons,forward forward let us range,let the great world spin for ever down the ringing grooves of change,en,8,"8,7",15
"the quiet
next time won't you sing with me
those great diminished chords: a girl i know",the quiet,next time won't you sing with me,those great diminished chords: a girl i know,en,3,7,10
"i struggled to tell things back from decades gone
the mournful american soldier testifying
about my lai: i shot the older lady",i struggled to tell things back from decades gone,the mournful american soldier testifying,about my lai: i shot the older lady,en,11,13,11
"that placed you in that world
and me in this or that misfortune
placed these worlds in us",that placed you in that world,and me in this or that misfortune,placed these worlds in us,en,6,9,"5,6"
"shall i say i have gone at dusk through narrow streets
and watched the smoke that rises from the pipes
of lonely men in shirt-sleeves leaning out of windows",shall i say i have gone at dusk through narrow streets,and watched the smoke that rises from the pipes,of lonely men in shirt-sleeves leaning out of windows,en,12,10,12
"and the afternoon the evening sleeps so peacefully
smoothed by long fingers
asleep",and the afternoon the evening sleeps so peacefully,smoothed by long fingers,asleep,en,13,5,2
"she is large and matronly
and rather dirty
a little sardonic-looking as if domesticity had driven her to it",she is large and matronly,and rather dirty,a little sardonic-looking as if domesticity had driven her to it,en,7,5,19
"though what she does except lay four eggs at random in the garden once a year
and put up with her husband
i don't know",though what she does except lay four eggs at random in the garden once a year,and put up with her husband,i don't know,en,19,7,3
"he is much smaller
dapper beside her
and ridiculously small",he is much smaller,dapper beside her,and ridiculously small,en,5,5,7
"while i i pity monsieur
he pesters her and torments her said the woman
how much more is he pestered and tormented say i",while i i pity monsieur,he pesters her and torments her said the woman,how much more is he pestered and tormented say i,en,7,12,13
"this face had no use for light took none of it
grew cavernous against stars bore into noon
a dark of midnight by its own resources",this face had no use for light took none of it,grew cavernous against stars bore into noon,a dark of midnight by its own resources,en,11,11,11
"yet where it lay in sleep where the pillows held it
with the blind plaster over it and the four walls
keeping the night carefully it was undone",yet where it lay in sleep where the pillows held it,with the blind plaster over it and the four walls,keeping the night carefully it was undone,en,12,12,11
"sixty-watt light squared to a window frame
across a well of air across wind and window
leaped and made shine the dark face in its sleep",sixty-watt light squared to a window frame,across a well of air across wind and window,leaped and made shine the dark face in its sleep,en,9,12,10
"stretched into dusky lands
like a dark and silent companion
evening held out her hands",stretched into dusky lands,like a dark and silent companion,evening held out her hands,en,6,9,6
"the man who married magdalene
had not forgiven her
god might pardon every sin",the man who married magdalene,had not forgiven her,god might pardon every sin,en,8,6,"8,7"
"i peer into each and see a faceless
red center red spokes like a star
they are and are not like what we are",i peer into each and see a faceless,red center red spokes like a star,they are and are not like what we are,en,10,8,9
"he will not go behind his father's saying
and he likes having thought of it so well
he says again good fences make good neighbours",he will not go behind his father's saying,and he likes having thought of it so well,he says again good fences make good neighbours,en,11,10,11
"perchance my heart may pardon you this deed
but be no coward: you that made love bleed
you must bear all the venom of his tooth",perchance my heart may pardon you this deed,but be no coward: you that made love bleed,you must bear all the venom of his tooth,en,10,10,10
"caught in the car's closed door beating its whole bird
body against it
trying it appeared to bang himself free",caught in the car's closed door beating its whole bird,body against it,trying it appeared to bang himself free,en,11,5,"9,10"
"and who knows how long he'd been there wailing
who
knows  he and the other i mistook at first for a bat",and who knows how long he'd been there wailing,who,knows  he and the other i mistook at first for a bat,en,10,1,14
"the sky was full of birds the day her daddy died
i think
his widow said he drowned one morning on a fishing trip",the sky was full of birds the day her daddy died,i think,his widow said he drowned one morning on a fishing trip,en,12,2,14
"i think his name was sonny runs out from his duplex
to pull my father off
you see where i'm going with this",i think his name was sonny runs out from his duplex,to pull my father off,you see where i'm going with this,en,13,6,8
"nose and mouth each time he comes up for air
imagine
the birds coasting away and the waters suddenly calm",nose and mouth each time he comes up for air,imagine,the birds coasting away and the waters suddenly calm,en,10,3,14
"moral
if you were born to walk the ground
remain there do not fool around",moral,if you were born to walk the ground,remain there do not fool around,en,2,8,8
"is it so that you shall lift your centre of gravity upwards
and weigh no more than air as you alight upon me
stand upon me weightless you phantom",is it so that you shall lift your centre of gravity upwards,and weigh no more than air as you alight upon me,stand upon me weightless you phantom,en,16,13,9
"i heard a woman call you the winged victory
in sluggish venice
you turn your head towards your tail and smile",i heard a woman call you the winged victory,in sluggish venice,you turn your head towards your tail and smile,en,"11,12",5,"9,10"
"queer with your thin wings and your streaming legs
how you sail like a heron or a dull clot of air
a nothingness",queer with your thin wings and your streaming legs,how you sail like a heron or a dull clot of air,a nothingness,en,10,13,4
"come then let us play at unawares
and see who wins in this sly game of bluff
man or mosquito",come then let us play at unawares,and see who wins in this sly game of bluff,man or mosquito,en,"9,10",10,5
"if that is so then i believe a little in providence protecting the innocent
but it sounds so amazingly like a slogan
a yell of triumph as you snatch my scalp",if that is so then i believe a little in providence protecting the innocent,but it sounds so amazingly like a slogan,a yell of triumph as you snatch my scalp,en,22,12,10
"blood red blood
super-magical
forbidden liquor",blood red blood,super-magical,forbidden liquor,en,3,2,5
"queer what a big stain my sucked blood makes
beside the infinitesimal faint smear of you
queer what a dim dark smudge you have disappeared into",queer what a big stain my sucked blood makes,beside the infinitesimal faint smear of you,queer what a dim dark smudge you have disappeared into,en,9,13,13
"autumn leaves
your hair the hue of rain-drenched bark your voice
don't ever leave me",autumn leaves,your hair the hue of rain-drenched bark your voice,don't ever leave me,en,3,9,5
"under the sun it glowed
under the moon
more glowing",under the sun it glowed,under the moon,more glowing,en,6,4,3
"there's no one tosses them about
but mr
nobody",there's no one tosses them about,but mr,nobody,en,8,3,3
"rose leaves when the rose is dead
and so thy thoughts when thou art gone
love itself shall slumber on",rose leaves when the rose is dead,and so thy thoughts when thou art gone,love itself shall slumber on,en,7,8,7
"a mass of moth-eaten cloud
threadbare and spun across
a bullish moon",a mass of moth-eaten cloud,threadbare and spun across,a bullish moon,en,5,6,4
"when something drops onto her toes one night
she calls it a fox
but she feeds it",when something drops onto her toes one night,she calls it a fox,but she feeds it,en,10,5,4
"just as you're having what you wanted most
you want it more and more until that's more
than you or it or both of you can bear",just as you're having what you wanted most,you want it more and more until that's more,than you or it or both of you can bear,en,10,10,10
"as they would flail crops
when the spring comes and flood and tassels
rise as my head",as they would flail crops,when the spring comes and flood and tassels,rise as my head,en,5,"9,10",4
"flamingos
and now
the moon pressing back through the tree-line",flamingos,and now,the moon pressing back through the tree-line,en,3,2,8
"take not the name in vain
direct
thy swearing unto some effect",take not the name in vain,direct,thy swearing unto some effect,en,6,2,8
"kiss not thy neighbor's wife
of course
there's no objection to divorce",kiss not thy neighbor's wife,of course,there's no objection to divorce,en,6,2,8
"bear not false witness
shake your head
and say that you have heard it said",bear not false witness,shake your head,and say that you have heard it said,en,5,3,8
"the sorrow on her face
is sealed: the living flesh is turned to stone
she knows all all that life and time can tell",the sorrow on her face,is sealed: the living flesh is turned to stone,she knows all all that life and time can tell,en,6,10,10
"in predawn dark a rat falling from a rafter is a dollop
wind a whir and suddenly i'm remembering my mother
teaching me to bake her hot water sponge cake",in predawn dark a rat falling from a rafter is a dollop,wind a whir and suddenly i'm remembering my mother,teaching me to bake her hot water sponge cake,en,16,"14,15",11
"with the shocked amp seeded
sweetness of an apple
split open by a meat cleaver",with the shocked amp seeded,sweetness of an apple,split open by a meat cleaver,en,6,6,8
"oh no no no it was too cold always
i was much too far out all my life
and not waving but drowning",oh no no no it was too cold always,i was much too far out all my life,and not waving but drowning,en,10,9,7
"when they are in use
when synagogues are
in ruins weeds are not to be picked there",when they are in use,when synagogues are,in ruins weeds are not to be picked there,en,5,5,10
"so much hurting to get to this moment
when i'm beneath you
wanting it to go on and to end",so much hurting to get to this moment,when i'm beneath you,wanting it to go on and to end,en,10,5,9
"forward the gracious hours have fared
and see
the sun is risen",forward the gracious hours have fared,and see,the sun is risen,en,"8,9",2,5
"what do you see
i asked
but she didn't move or answer me",what do you see,i asked,but she didn't move or answer me,en,4,2,"8,9"
"our backs to the storm we play out
old anxieties losing each game to time and starting over
we must save what's being threatened and not ask why",our backs to the storm we play out,old anxieties losing each game to time and starting over,we must save what's being threatened and not ask why,en,"8,9",16,12
"full soon thy soul shall have her earthly freight
and custom lie upon thee with a weight
heavy as frost and deep almost as life",full soon thy soul shall have her earthly freight,and custom lie upon thee with a weight,heavy as frost and deep almost as life,en,10,10,10
"just amazing
i think i could wrap my arms all the way around
the -miles-circumferenced earth",just amazing,i think i could wrap my arms all the way around,the -miles-circumferenced earth,en,4,12,2
"the trumpet of a prophecy
o wind
if winter comes can spring be far behind",the trumpet of a prophecy,o wind,if winter comes can spring be far behind,en,8,2,"10,11"
"there is a little lightning in his eyes
iron at the mouth
his brows ride neither too far up nor down",there is a little lightning in his eyes,iron at the mouth,his brows ride neither too far up nor down,en,10,5,10
"in harvest time whilst she might go and glean
then well away
for she undone was clean",in harvest time whilst she might go and glean,then well away,for she undone was clean,en,10,4,6
"and made her there against her will remain
that had forgotten her poor surety and rest
for seeming wealth wherein she thought to reign",and made her there against her will remain,that had forgotten her poor surety and rest,for seeming wealth wherein she thought to reign,en,10,12,10
"then seek no more out of thyself to find
the thing that thou hast sought so long before
for thou shalt feel it sitting in thy mind",then seek no more out of thyself to find,the thing that thou hast sought so long before,for thou shalt feel it sitting in thy mind,en,10,10,10
"mad if ye list to continue your sore
let present pass and gape on time to come
and deep yourself in travail more and more",mad if ye list to continue your sore,let present pass and gape on time to come,and deep yourself in travail more and more,en,10,10,10
"she it is queen under the hill
whose hosts are a disturbance of words within words
that is a field folded",she it is queen under the hill,whose hosts are a disturbance of words within words,that is a field folded,en,8,12,6
"how some they have died and some they have left me
and some are taken from me all are departed
all all are gone the old familiar faces",how some they have died and some they have left me,and some are taken from me all are departed,all all are gone the old familiar faces,en,11,12,11
"the loose earth shook
the very hills were stirred
the silence of the dead was all i heard",the loose earth shook,the very hills were stirred,the silence of the dead was all i heard,en,4,6,10
"what can be done we know
but have no fear
if you fail now we shall not see or hear",what can be done we know,but have no fear,if you fail now we shall not see or hear,en,6,4,10
"the sun was over our town it was like a blade
kicking cottonwood leaves we ran toward storms
wherever we looked the land would hold us up",the sun was over our town it was like a blade,kicking cottonwood leaves we ran toward storms,wherever we looked the land would hold us up,en,"12,13","10,11","11,12"
"dear christ
when thy new vintage fills my cup
this hand shall shake no more nor that wine spill",dear christ,when thy new vintage fills my cup,this hand shall shake no more nor that wine spill,en,2,8,10
"not rain but fine mist
falls from my lemon tree
a balm of droplets in green shadow",not rain but fine mist,falls from my lemon tree,a balm of droplets in green shadow,en,5,6,9
"why aren't you here
where are you
come back",why aren't you here,where are you,come back,en,"4,5",3,2
"lugging my exploded home
and trampling on my own name
i trek to a yearned deformation",lugging my exploded home,and trampling on my own name,i trek to a yearned deformation,en,7,7,9
"shut up smug face you know
nothing of ugliness even that
which you've long bankrolled",shut up smug face you know,nothing of ugliness even that,which you've long bankrolled,en,6,9,5
"the japanese earthquake shifted the axis of the earth
moving japan twelve feet closer to north america
each day shortened by one second",the japanese earthquake shifted the axis of the earth,moving japan twelve feet closer to north america,each day shortened by one second,en,14,14,8
"the thinning shade of autumn is
an inherited oriental
red worn to pink nap worn to thread",the thinning shade of autumn is,an inherited oriental,red worn to pink nap worn to thread,en,8,9,8
"must be time to get up i assumed
parked outside
border patrol vehicles i had to choose",must be time to get up i assumed,parked outside,border patrol vehicles i had to choose,en,9,3,11
"years old and look like a bad nail
by god they yanked me out
i can tell you",years old and look like a bad nail,by god they yanked me out,i can tell you,en,8,6,4
"ain't so much me i'm asking for
dog like to get out and piss
think they remember",ain't so much me i'm asking for,dog like to get out and piss,think they remember,en,8,7,5
"near the main gate of gary steel i stop
the amber light pours out of stacked horizons
monstrous cranes hang over suburbs",near the main gate of gary steel i stop,the amber light pours out of stacked horizons,monstrous cranes hang over suburbs,en,10,11,8
"your repentance all but obscured beneath
a burgeoning yellow fog of frankly more
conspicuous resentment is sufficient",your repentance all but obscured beneath,a burgeoning yellow fog of frankly more,conspicuous resentment is sufficient,en,10,11,11
"your intermittent concern for the sick
the suffering the needy poor is sometimes
recognizable to me if not to them",your intermittent concern for the sick,the suffering the needy poor is sometimes,recognizable to me if not to them,en,10,"10,11",11
"aluminum
there was the smell of salt but it
was not the salt of the earth not the sea itself",aluminum,there was the smell of salt but it,was not the salt of the earth not the sea itself,en,4,8,12
"(then shall my fickle soul forget
thy agony of bloody sweat
my rifle hand is stiff and numb",(then shall my fickle soul forget,thy agony of bloody sweat,my rifle hand is stiff and numb,en,7,8,8
"so let me render back again
this millionth of thy gift
amen",so let me render back again,this millionth of thy gift,amen,en,8,6,2
"o swallow flying from the golden woods
fly to her and pipe and woo her and make her mine
and tell her tell her that i follow thee",o swallow flying from the golden woods,fly to her and pipe and woo her and make her mine,and tell her tell her that i follow thee,en,10,12,10
"in the dining room there is a brown fish
hanging on the wall who swims along
in his frame while we are eating dinner",in the dining room there is a brown fish,hanging on the wall who swims along,in his frame while we are eating dinner,en,10,9,10
"only the night air carries your words
up to the dead
i watched them rise become remote",only the night air carries your words,up to the dead,i watched them rise become remote,en,9,4,8
"of all the questions you might want to ask
about angels the only one you ever hear
is how many can dance on the head of a pin",of all the questions you might want to ask,about angels the only one you ever hear,is how many can dance on the head of a pin,en,10,12,12
"if an angel fell off a cloud would he leave a hole
in a river and would the hole float along endlessly
filled with the silent letters of every angelic word",if an angel fell off a cloud would he leave a hole,in a river and would the hole float along endlessly,filled with the silent letters of every angelic word,en,13,14,"14,15"
"you are humped higher and higher black as stone
you sit with your head like a carving in space
and the little green cat is a bug in the grass",you are humped higher and higher black as stone,you sit with your head like a carving in space,and the little green cat is a bug in the grass,en,11,11,12
"raggedy
raggedy
raggedy man",raggedy,raggedy,raggedy man,en,3,3,4
"it tells us in a ringing anthem like heavenly hosts uplifted
that the rhapsody of the pastoral is out to lunch
we can take it from there",it tells us in a ringing anthem like heavenly hosts uplifted,that the rhapsody of the pastoral is out to lunch,we can take it from there,en,"17,18",14,6
"and who are these guys on the bus
who glide in golden hats past us
on their way to kansas city",and who are these guys on the bus,who glide in golden hats past us,on their way to kansas city,en,8,"8,9",8
"there beyond the dykes
i heard wind flaking sapphire like this summer
and willows could not hold more steady sound",there beyond the dykes,i heard wind flaking sapphire like this summer,and willows could not hold more steady sound,en,5,12,10
"on the door it says what to do to survive
but we were not born to survive
only to live",on the door it says what to do to survive,but we were not born to survive,only to live,en,11,8,4
"and this oh love my pitiable plight
whenever from my circling arms you stray
this little world of mine has lost its light",and this oh love my pitiable plight,whenever from my circling arms you stray,this little world of mine has lost its light,en,10,"10,11",10
"the only protection
against death
was to love solitude",the only protection,against death,was to love solitude,en,6,3,6
"you  who i don't know  i don't know how to talk to you
what is it like for you there
here",you  who i don't know  i don't know how to talk to you,what is it like for you there,here,en,13,7,1
"most people are to the right
when it comes to where they must
eat and lay their heads",most people are to the right,when it comes to where they must,eat and lay their heads,en,7,7,5
"i picked them just for you
i promise
i will try to stay on my side of the couch",i picked them just for you,i promise,i will try to stay on my side of the couch,en,6,3,11
"word after word
floats through the glass
towards me",word after word,floats through the glass,towards me,en,4,4,"2,3"
"song have thy day and take thy fill of light
before the night be fallen across thy way
sing while he may man hath no long delight",song have thy day and take thy fill of light,before the night be fallen across thy way,sing while he may man hath no long delight,en,10,11,10
"here one calendar takes eighteen years
i am three
one day is an eyelash",here one calendar takes eighteen years,i am three,one day is an eyelash,en,9,"3,4",6
"one man in the sun alone
walks between the silence and the stone
the city rises from his flesh his bone",one man in the sun alone,walks between the silence and the stone,the city rises from his flesh his bone,en,7,9,10
"but an honest joy
does itself destroy
for a harlot coy",but an honest joy,does itself destroy,for a harlot coy,en,5,5,5
"welcome flowers
write your name on a name tag
find a seat",welcome flowers,write your name on a name tag,find a seat,en,4,7,3
"raise your leaf if you've taken a class here before
let's go around the room
call out your colors",raise your leaf if you've taken a class here before,let's go around the room,call out your colors,en,12,6,5
"i see someone's petal has fallen
please pick it up and put it in your desk
where it belongs",i see someone's petal has fallen,please pick it up and put it in your desk,where it belongs,en,9,10,4
"sprinklers at recess
fertilizer for lunch
and you may snack on the sun throughout the day",sprinklers at recess,fertilizer for lunch,and you may snack on the sun throughout the day,en,"5,6",6,11
"excuse me
what's that in your mouth
a bee",excuse me,what's that in your mouth,a bee,en,3,5,2
"did you
bring enough
for everyone",did you,bring enough,for everyone,en,2,3,4
"simplicity so graven hurts the sense
the monumental and the simple break
and the great tablets shatter down in deed",simplicity so graven hurts the sense,the monumental and the simple break,and the great tablets shatter down in deed,en,10,10,10
"every year the quick particular jig
of unresolved event moves in the mind
and there's the trick simplicity has to win",every year the quick particular jig,of unresolved event moves in the mind,and there's the trick simplicity has to win,en,"10,11",10,11
"dim is the rumour of a common fight
where host meets host and many names are sunk
but of a single combat fame speaks clear",dim is the rumour of a common fight,where host meets host and many names are sunk,but of a single combat fame speaks clear,en,10,10,10
"but now in blood and battles was my youth
and full of blood and battles is my age
and i shall never end this life of blood",but now in blood and battles was my youth,and full of blood and battles is my age,and i shall never end this life of blood,en,10,10,10
"she shrugs not really
they know what to do
they're goats",she shrugs not really,they know what to do,they're goats,en,5,5,2
"in the black of desire
we rock and grunt grunt and
shine",in the black of desire,we rock and grunt grunt and,shine,en,7,6,1
"failing to fetch me at first keep encouraged
missing me one place search another
i stop somewhere waiting for you",failing to fetch me at first keep encouraged,missing me one place search another,i stop somewhere waiting for you,en,11,9,8
"my people of morrisville
who live
where all the ends are wrong",my people of morrisville,who live,where all the ends are wrong,en,7,2,6
"yet do thy worst old time
despite thy wrong
my love shall in my verse ever live young",yet do thy worst old time,despite thy wrong,my love shall in my verse ever live young,en,6,4,10
"oh my oh my i lose myself
i study atlases and cirrus paths
in search of traces of it of you",oh my oh my i lose myself,i study atlases and cirrus paths,in search of traces of it of you,en,8,10,9
"he wished to have me in his sight
once as a friend: this fixed a day in spring
to come and touch my hand",he wished to have me in his sight,once as a friend: this fixed a day in spring,to come and touch my hand,en,8,"10,11",6
"a simple thing
yet i wept for it
this",a simple thing,yet i wept for it,this,en,4,5,1
"loved yesterday
are only dear
because thy name moves right in what they say",loved yesterday,are only dear,because thy name moves right in what they say,en,4,4,10
"administered citizen achieving condition of robot
in public mind things not so good these days
nor in wrong run will it matter to tu fu",administered citizen achieving condition of robot,in public mind things not so good these days,nor in wrong run will it matter to tu fu,en,16,10,11
"the same curves
to her stance the same
breasts beneath summer cloth",the same curves,to her stance the same,breasts beneath summer cloth,en,3,5,6
"the clean hole
in the center heaven
the spaces we left empty",the clean hole,in the center heaven,the spaces we left empty,en,3,6,7
"at dawn he is still there invisible short of breath mending his net
all morning we look for the white face to rise from the lake like a tiny star
and when it does we lie back in our watery hair and rock",at dawn he is still there invisible short of breath mending his net,all morning we look for the white face to rise from the lake like a tiny star,and when it does we lie back in our watery hair and rock,en,17,19,"16,15"
"always with poison
breath bill responsibility
a man with rote hands",always with poison,breath bill responsibility,a man with rote hands,en,5,8,5
"what do you want with one of those blame things
i asked him well beforehand
don't you get one",what do you want with one of those blame things,i asked him well beforehand,don't you get one,en,10,7,4
"it's a star-splitter if there ever was one
and ought to do some good if splitting stars
'sa thing to be compared with splitting wood",it's a star-splitter if there ever was one,and ought to do some good if splitting stars,'sa thing to be compared with splitting wood,en,9,10,10
"turned a ruby gown
here there is no language
for officer or law no color to call white",turned a ruby gown,here there is no language,for officer or law no color to call white,en,5,6,12
"if snow fell it'd fall black
please don't call
us dead call us alive someplace better",if snow fell it'd fall black,please don't call,us dead call us alive someplace better,en,7,3,"10,11,12"
"and it is too easy to get lost in abstraction
as if smoke and dream and quantum ersatz-states
are our proper environment",and it is too easy to get lost in abstraction,as if smoke and dream and quantum ersatz-states,are our proper environment,en,13,10,"8,9"
"we can spend all day and many days and years in theorizing
a computer recreation of proto-hominid dietary intake
an analysis",we can spend all day and many days and years in theorizing,a computer recreation of proto-hominid dietary intake,an analysis,en,16,17,5
"we'll float off through these foggy lands of argot
in the way that someone else might dissolve in the blue cloud
of an opium den",we'll float off through these foggy lands of argot,in the way that someone else might dissolve in the blue cloud,of an opium den,en,11,14,6
"child when you're sad put on your blue shoes
you know that mama loves you lollipops
and daddy still has a job to lose",child when you're sad put on your blue shoes,you know that mama loves you lollipops,and daddy still has a job to lose,en,9,10,9
"the main building lit up
like a liner on saturday night
the sound of the band",the main building lit up,like a liner on saturday night,the sound of the band,en,6,9,5
"i could hear the porch swing squeak
and see into the parlor
it was divided by a curtain or screen",i could hear the porch swing squeak,and see into the parlor,it was divided by a curtain or screen,en,7,7,11
"i suppose we ought to go
i say
and she says not yet",i suppose we ought to go,i say,and she says not yet,en,7,2,5
"do you know what whole fields are
they are fields with a dog and a moon
do you know the answer  for the many",do you know what whole fields are,they are fields with a dog and a moon,do you know the answer  for the many,en,7,9,10
"except there would be vineyards
meaning there would as usual be commerce
money and a game of sorts to play it",except there would be vineyards,meaning there would as usual be commerce,money and a game of sorts to play it,en,7,11,10
"well there's not much to say
i wish i had a pet
or something i could play",well there's not much to say,i wish i had a pet,or something i could play,en,6,6,6
"when it's you standing there with a letter
or voice or face full of solemn news
will you hold your breath before you knock",when it's you standing there with a letter,or voice or face full of solemn news,will you hold your breath before you knock,en,10,9,9
"as for me i continue eating
i liked you better the way you were
but you were always ambitious",as for me i continue eating,i liked you better the way you were,but you were always ambitious,en,9,9,8
"someone tell the lord to leave me alone
i've had enough of his love
that feels like burning and flight and running away",someone tell the lord to leave me alone,i've had enough of his love,that feels like burning and flight and running away,en,10,7,12
"so have i not unmoved in mind
seen birds of tempest-loving kind
thus beating up against the wind",so have i not unmoved in mind,seen birds of tempest-loving kind,thus beating up against the wind,en,8,6,8
"no feeding in the wake of cavalry or kings changed it
even in the end it swerved away  amp made the abrupt
riddle all things come to seem",no feeding in the wake of cavalry or kings changed it,even in the end it swerved away  amp made the abrupt,riddle all things come to seem,en,14,14,7
"they know their audience
french fried lives french fried
luck french fried us",they know their audience,french fried lives french fried,luck french fried us,en,6,5,"4,5"
"we all may have our homes in joy and peace
when woman's life in its rich power of love
is joined with man's to care for all the world",we all may have our homes in joy and peace,when woman's life in its rich power of love,is joined with man's to care for all the world,en,"10,11",11,10
"are we this simple then
to sing all day  country songs
old hymns camp tunes",are we this simple then,to sing all day  country songs,old hymns camp tunes,en,6,7,4
"all cities are open in the hot season
northward or southward the summer gives out
few telephone numbers but no one in our house sleeps",all cities are open in the hot season,northward or southward the summer gives out,few telephone numbers but no one in our house sleeps,en,11,10,"13,14"
"making his advances
he does not look at her nor sniff at her
no not even sniff at her his nose is blank",making his advances,he does not look at her nor sniff at her,no not even sniff at her his nose is blank,en,6,10,11
"i thought he was dumb
i said he was dumb
yet i've heard him cry",i thought he was dumb,i said he was dumb,yet i've heard him cry,en,5,5,5
"patch
if whom they love my envy must pursue
'tis sure at least i never envy you",patch,if whom they love my envy must pursue,'tis sure at least i never envy you,en,1,10,10
"twang chic sweeter than honey or money or
running through the red clay gully the forlorn
moan of the midnight macon train",twang chic sweeter than honey or money or,running through the red clay gully the forlorn,moan of the midnight macon train,en,11,11,8
"or a barber (prodding a chin
back into position
would be likely to notice",or a barber (prodding a chin,back into position,would be likely to notice,en,6,6,7
"bushes and grass along the glass-still way
were all dabbled with rain
and the road reeled with shattered skies",bushes and grass along the glass-still way,were all dabbled with rain,and the road reeled with shattered skies,en,9,6,8
"a child is vengeance
a child is a missile into the coming generations
i launched him: i'm still trembling",a child is vengeance,a child is a missile into the coming generations,i launched him: i'm still trembling,en,5,15,"8,7"
"had i but plenty of money money enough and to spare
the house for me no doubt were a house in the city-square
ah such a life such a life as one leads at the window there",had i but plenty of money money enough and to spare,the house for me no doubt were a house in the city-square,ah such a life such a life as one leads at the window there,en,15,13,15
"something to see by bacchus something to hear at least
there the whole day long one's life is a perfect feast
while up at a villa one lives i maintain it no more than a beast",something to see by bacchus something to hear at least,there the whole day long one's life is a perfect feast,while up at a villa one lives i maintain it no more than a beast,en,13,12,17
"and the duke's guard brings up the rear for the better prevention of scandals
bang-whang-whang goes the drum tootle-te-tootle the fife
oh a day in the city-square there is no such pleasure in life",and the duke's guard brings up the rear for the better prevention of scandals,bang-whang-whang goes the drum tootle-te-tootle the fife,oh a day in the city-square there is no such pleasure in life,en,18,8,15
"next when i cast mine eyes and see
that brave vibration each way free
o how that glittering taketh me",next when i cast mine eyes and see,that brave vibration each way free,o how that glittering taketh me,en,8,8,9
"for their indulgent love and tender care
all is forgot this love he doth despise
they brought this bird up to pick out their eyes",for their indulgent love and tender care,all is forgot this love he doth despise,they brought this bird up to pick out their eyes,en,10,10,10
"lonely winters
when there was nothing
to say",lonely winters,when there was nothing,to say,en,4,5,2
"how do the children convert their troubles
into hip-hop
dunno but it's wonderful",how do the children convert their troubles,into hip-hop,dunno but it's wonderful,en,10,3,7
"waking at night now as the snow
flakes from darkness to darkness go
past yellow lights in the street below",waking at night now as the snow,flakes from darkness to darkness go,past yellow lights in the street below,en,8,8,9
"since persia fell at marathon
the yellow years have gathered fast
long centuries have come and gone",since persia fell at marathon,the yellow years have gathered fast,long centuries have come and gone,en,8,8,8
"for five billion years
we have seen the past and
it works",for five billion years,we have seen the past and,it works,en,5,6,2
"now we wake and rise from bed and eat breakfast
shouts rise from the harbor of the blood
mist and masts rising the knock of wooden tackle in the sunlight",now we wake and rise from bed and eat breakfast,shouts rise from the harbor of the blood,mist and masts rising the knock of wooden tackle in the sunlight,en,11,9,16
"now we sing and do tiny dances on the kitchen floor
our whole body is like a harbor at dawn
we know that our master has left us for the day",now we sing and do tiny dances on the kitchen floor,our whole body is like a harbor at dawn,we know that our master has left us for the day,en,14,"11,12","12,13,14"
"here at the edge of the millennium
i don't imagine
you'd call them anything as archaic as angels",here at the edge of the millennium,i don't imagine,you'd call them anything as archaic as angels,en,10,5,13
"small wonder the angels are said to despise us
still without them
how do we account for our meanness",small wonder the angels are said to despise us,still without them,how do we account for our meanness,en,"12,13",4,"9,10"
"pale petals of the roses in the dark
warm bellies of the sleeping deer
that's what going to sleep is like",pale petals of the roses in the dark,warm bellies of the sleeping deer,that's what going to sleep is like,en,10,8,8
"spilled blood is not the roots of trees
but it's the closest thing to roots
we have",spilled blood is not the roots of trees,but it's the closest thing to roots,we have,en,8,8,2
