1	W AH N
UNRETURNED	AH N R IY T ER N D
UNSCRATCHED	AH N S K R AE CH T
UNSHAVED	AH N SH EY V D
UNTIES	AH N T AY Z
UNTUNED	AH N T UW N D
UPTURNT	AH P T AH R N T
VACUM	V AE K AH M
VAIS	V EY AH S
VENNELS	V EH N AH L Z
VERDIGRIS	V AH R D IH G R AH S
VERRAZANO	V EH R AE Z AH N OW
VESPERS	V EH S AH R Z
VET'S	V EH TS
VIEILLES	V IY AH L Z
VIII	V IY IY
VOLENT	V OW L AH N T
VOLO	V OW L OW
VOMITS	V AA M AH T S
VOYAGEURS	V W AA Y AA ZH ER Z
WAB	W AA B
WABSTER	W AA B S T AH R
WADDIN	W AA D IH N
WADDLING	W AA D L AH NG
WAE	W IY
WAFTS	W AA F T S
WAGTAILS	W AE G T EY L Z
WAIRMTH	W AE AH R M TH
WAKENED	W EY K AH N D
WATCHTOWER	W AA CH T AW ER
WATERFALL'S	W AO T ER F AO L Z
WATERPIPE	W AO T ER P AY P
WATTER	W AA T ER
WATTERGAW	W AA T AH R G AH
WATTERSIDE	W AA T ER S AY D
WAUKEN	W AO K AH N
WAVELETS	W EY V L AH T S
WAVERS	W EY V ER Z
WAXWINGS	W AE K S W IH NG Z
WEATHERWORN	W EH DH ER W OW R N
WHEEL'S	W IY L Z
WHIISKY	W IY S IY
WHITEBOARD	W AY T B OW R D
WHITEOUT	W AY T AW T
WHITEOUTS	W AY T AW T S
WINDOW'S	W IH N D OW Z
WINDSCREEN	W IH N D S K R IY N
WISPS	W IH S P S
WOO'N	W UW N
WOODPECKER'S	W UH D P EH K ER Z
WOODSTOVE	W UH D S T OW V
WOODYARDS	W UH D Y AA R D Z
WULLFLOOERS	W AH L F L UW AH R Z
WUND	W AH N D
WUNNERS	W AH N AH R Z
YALLA	Y AE L AH
YILL	Y IH L
YINCE	Y IH N S
YIRDIN	Y AH R D AH N
YIRTH	Y AH R TH
YOUTHIE	Y UW TH IY
YOWLIN	Y OW L AH N
ABSENTLY	AE B S AH N T L IY
ADZE	AE D Z
AGAVE	AH G EY V
AHHS	AE HH S
ALDERS	AE L D AH R Z
ALIGHTS	AH L AY T S
ALLELUIAS	AE L EH L UW AH Z
ALLHALLOWS	AO L HH AE L OW Z
ALYSSUM	EY L IY Z S AH M
AND'SCRATCHES	AE N D Z S K R AE CH IH Z
ANEMONES	AE N AH M OW N Z
ANGLER'S	AE NG G L ER Z
ANNOUNCER'S	AH N AW N S ER Z
ANT'S	AE N TS
ANTHURIUM	AE N TH UH R IY AH M
ANYOLDHOW	AE N AY OW L D HH OW
APPLEMINT	AE P AH L M IH N T
APPLEWOOD	AE P AH L W UH D
APRONED	EY P R AH N D
AQUAJOGGING	AE K W AH JH AA G IH NG
ARMFUL	AA R M F UH L
ARMLOAD	AA R M L OW D
ARPEGGIOS	AA R P EH JH IY OW Z
ASO	AE S OW
ASTIR	AH S T ER
AWAKING	AH W EY K IH NG
BAAING	B AA AH NG
BAG'S	B AE G Z
BALED	B EY L D
BALLERINA'S	B AE L ER IY N AH Z
BARBWIRE	B AA R B W AY ER
BARECHESTED	B EH R CH EH S T IH D
BARENESS	B EH R N AH S
BARN'S	B AA R N Z
BARNACLED	B AA R N AH K AH L D
BARNWOOD	B AA R N W UH D
BARTENDER'S	B AA R T EH N D ER Z
BARWARE	B AA R W EH R
BASSWOOD	B EY S W UH D
BAT'S	B AE TS
BATTERY'S	B AE T ER IY Z
BAYBERRY	B EY B EH R IY
BEACHCOMBING	B IY CH K OW M IH NG
BEACHGOERS	B IY CH G OW ER Z
BEACHSTORE	B IY CH S T OW R
BEANSTALKS	B IY N S T AO K S
BEAVER'S	B IY V ER Z
BEEHIVES	B IY HH AY V Z
BEEKEEPER'S	B IY K IY P ER Z
BEERCAN	B IH ER K AE N
BELLRINGER'S	B EH L R IH NG ER Z
BHND	B IY EY CH EH N D
BILLABONG	B IH L AH B AA NG
BINDWEED	B AY N D W IY D
BIRCHBARK	B ER CH B AA R K
BIRDLAND	B ER D L AE N D
BITTERN	B AY T AH R N
BITTERN'S	B AY T AH R N Z
BLACKSMITH'S	B L AE K S M IH TH S
BLANCHED	B L AE N CH T
BLINKERS	B L IH NG K ER Z
BLOODWORK	B L AH D W ER K
BLOWFLY	B L OW F L AY
BLOWFLY'S	B L OW F L AY Z
BLOWSY	B L OW Z IY
BLUEGILLS	B L UW G IH L Z
BLUEJAYS	B L UW JH EY Z
BLUESTEM	B L UW S T EH M
BLUETIT	B L UW T IH T
BOATMAN'S	B OW T M AH N Z
BOATSHED	B OW T SH EH D
BOATSIDE	B OW T S AY D
BOBS	B AA B Z
BOBWHITES	B AA B W AY T S
BODYBUILDER	B AA D IY B IH L D ER
BOOTPRINTS	B UW T P R IH N T S
BOTTLEBRUSH	B AA T AH L B R AH SH
BOUGAINVILLEAS	B AW G EY N V IH L IY Z
BOUTONNI	B AW T AA N IY
BOWERBIRD	B AW ER B ER D
BREADMAKER	B R EH D M EY K ER
BRIARS	B R AY ER Z
BRISTLECONE	B R IH S AH L K OW N
BRITTLENESS	B R IH T AH L N AH S
BROADNESS	B R AO D N AH S
BROGUE	B R AA G
BROMELIAD	B R AH M IY L IY AH D
BROMELIADS	B R AH M IY L IY AH D Z
BROOMSAGE	B R UW M S EY JH
BRUSHSTROKES	B R AH SH S T R OW K S
BUBBLEGUM	B AH B AH L G AH M
BUCKET'S	B AH K IH TS
BUFFALOES	B AH F AH L OW Z
BULLFROG'S	B UH L F R AO G Z
BULLRUSHES	B UH L R AH SH IH Z
BULRUSHES	B UH L R AH SH AH Z
BUMBLED	B AH M B AH L D
BURRS	B ER Z
BUTTEFLY	B Y UW T F L AY
BUTTERBUR	B AH T AH R B AH R
BUTTONING	B AH T AH N IH NG
CADDIS	K AE D IY Z
CAF	K AE F
CALLIGRAPHER'S	K AH L IH G R AH F ER Z
CAMPHOR	K AE M F AH R
CANAP'S	K AE N AH P S
CANOE'S	K AH N UW Z
CANTED	K AE N T IH D
CAPERING	K EY P ER IH NG
CARNIES	K AA R N IY Z
CAROLERS	K AE R AH L ER Z
CAROLING	K AE R AH L IH NG
CARPARK	K AA R P AA R K
CARPOOLING	K AA R P UW L IH NG
CARTOGRAPHER	K AA R T AA G R AH F AH R
CATTAIL	K AE T EY L
CATTAILS	K AE T EY L Z
CAVEMEN	K EY V M EH N
CAWING	K AO IH NG
CAWS	K AO Z
CELLAR'S	S EH L ER Z
CENTERLINE	S EH N T ER L AY N
CHACHALACAS	CH AH CH AE L AH K AH Z
CHAINSAWED	CH EY N S AO D
CHALLAH	CH AE L AH
CHANTERELLES	CH AE N T AH R AH L Z
CHERRYWOOD	CH EH R IY W UH D
CHIGGER	CH IH G ER
CHIMPUNK	CH IH M P AH NG K
CHINOOK'S	SH IH N UH K S
CHINS	CH IH N Z
CHIPMUNK'S	CH IH P M AH NG K S
CHIRRUP	CH AH R AH P
CICADA'S	S AH K EY D AH Z
CLACKETY	K L AE K AH T IY
CLAPPERLESS	K L AE P ER L AH S
CLATTERS	K L AE T ER Z
CLEAROUT	K L IH ER AW T
CLEARWING'S	K L IH ER W IH NG Z
CLIFFSIDE	K L IH F S AY D
CLINKING	K L IH NG K IH NG
CLINKS	K L IH NG K S
CLOD	K L AA D
CLODS	K L AA D Z
CLONKING	K L AO NG K AH NG
CLOSSSE	K L AA S
CLOTHESLINES	K L OW DH Z L AY N Z
CLOTHESPIN	K L OW DH S P IH N
CLOUDCAST	K L AW D K AE S T
CLOWN'S	K L AW N Z
CLYDESDALES	K L IH D AH Z D EY L Z
COCK'S	K AA K S
COCKCROW	K AA K R OW
COCKEREL	K AA K EH R AH L
COCKLEBURS	K AA K L EH B Y AH R Z
COFFEEPOT	K AO F IY P AA T
COLADA	K OW L AE D AH
COLORIST'S	K AH L ER IH S T S
COLOURFUL	K AH L ER F AH L
COMBINE'S	K AA M B AY N Z
CONDENSES	K AH N D EH N S IH Z
CONJOINT	K AH N JH OY N T
CONTINUO	K AH N T IH N Y AH W OW
CONTRAINDICATIONS	K AA N T R AH IH N D AH K EY SH AH N Z
CORDGRASS	K AO R D G R AE S
CORELLAS	K OW R AH L AE Z
CORKSCREWS	K AO R K S K R UW Z
CORMORANT'S	K AO R M ER AH N TS
CORNFLAKES	K AO R N F L EY K S
CORNSILK	K AO R N S IH L K
COTTONTAIL	K AA T AH N T EY L
COULDN	K OW AH L D N
COWLED	K AW L D
COWPAT	K AW P AE T
COWRIE	K OW R AY
COWSHED	K AW SH EH D
COXSWAIN'S	K AA Z S W EY N Z
COYOTE'S	K AY OW T IY Z
CRABAPPLE	K R AE B AE P AH L
CRABAPPLES	K R AE B AE P AH L Z
CRADLED	K R EY D AH L D
CRAWDAD'S	K R AO D AH D Z
CRAWLERS	K R AO L ER Z
CREASED	K R IY S T
CREATURE'S	K R IY CH ER Z
CREEKBED	K R IY K B EH D
CREEKSIDE	K R IY K S AY D
CREWELWORK	K R UW AH L W ER K
CRICKETING	K R IH K AH T IH NG
CROAKS	K R OW K S
CROSSWINDS	K R AO S W IH N D Z
CROUCHES	K R AW CH IH Z
CUBICAL	K Y UW B IH K AH L
CUD	K AH D
CUMMERBUND	K AH M AH R B AH N D
CUMULONIMBUS	K Y UW M Y UW L AH N IH M B AH S
CUMULUS	K Y UW M Y AH L AH S
CUPPED	K AH P T
CURLEW	K AH R L UW
CURLEWS	K AH R L UW Z
CURRANT	K ER AH N T
CURVACEOUS	K ER V EY SH AH S
CUTTER'S	K AH T ER Z
CUTTLEBONE	K AH T L AH B OW N
DAGUERREOTYPE	D AE G W EH R IY AH T AY P
DAMSELFLY'S	D AE M Z AH L F L AY Z
DAPPLED	D AE P AH L D
DARKNESSES	D AA R K N AH S IH Z
DAYLILIES	D EY L IY L IY Z
DAYMOON	D EY M UW N
DAZZLES	D AE Z AH L Z
DEADFALL	D EH D F AO L
DECOY'S	D AH K OY Z
DECRYSTALIZING	D IY K R IH S T AH L AY Z IH NG
DEER'S	D IH R Z
DERELICT'S	D EH R AH L IH K TS
DEWDROP	D UW D R AA P
DEWPOINT	D UW P OY N T
DIANTHUS	D AY AE N TH AH S
DICES	D AY S IH Z
DIDN	D IH D N
DINGHIES	D IH NG IY Z
DIPPER'S	D IH P ER Z
DISASSEMBLES	D IH S AH S EH M B AH L Z
DISENTANGLES	D IH S EH N T AE NG G AH L Z
DISHCLOTH	D IH SH K L AO TH
DISHRAG	D IH SH R AE G
DISHWATER	D IH SH W AO T ER
DISTENDS	D IH S T EH N D Z
DOESN	D OW AH Z N
DOGDAY	D AO G D EY
DOJO	D OW JH OW
DOORYARD	D OW R Y AA R D
DOPPELG	D AA P AH L G
DOVEFEEDING	D AH V F IY D IH NG
DOVETAILING	D AH V T EY L IH NG
DOWNLAND	D AW N L AE N D
DOWNSHIFTS	D AW N SH IH F T S
DOWSER'S	D AW Z ER Z
DOZY	D OW Z IY
DRAKE'S	D R EY K S
DRAUGHTY	D R AE F T IY
DREAMCATCHER'S	D R IY M K AE CH ER Z
DRIZZLES	D R IH Z AH L Z
DRUNKARD'S	D R AH NG K ER D Z
DUMPSTER'S	D AH M P S T ER Z
DUNKING	D AH NG K IH NG
DUNNOCK'S	D AH N AH K S
DUOMO	D Y UW AH M OW
DUSTINGS	D AH S T IH NG Z
EARWIG	IH ER W IH G
EASTERTIDE	IY S T ER T AY D
EDAMAME	EH D AH M EY M
EIDERDOWN	IY D AH R D OW N
EIDERS	IY D AH R Z
ELDER'S	EH L D ER Z
EMOTICONS	IH M OW T IH K AO N Z
EMU'S	IY M Y UW Z
EPHEMERIS	AH F EH M AH R AH S
ERHU	EH R UW
EUCALYPT	Y UW K AH L AH P T
EVENSONG	IY V AH N S AO NG
EVENTIDE	IY V AH N T AY D
EVERGREEN'S	EH V ER G R IY N Z
EWE'S	Y UW Z
EXHALES	EH K S HH EY L Z
FADO	F AE D OW
FAULTLINE	F AO L T L AY N
FAWN'S	F AO N Z
FAWNS	F AO N Z
FENCELINE	F EH N S L AY N
FENCEPOST	F EH N S P OW S T
FENCEPOSTS	F EH N S P OW S T S
FERMAT'S	F AH R M EY T S
FETLOCKS	F EH T L AH K S
FICUS	F AY K AH S
FIDDLEHEAD	F IH D AH L HH EH D
FIDDLEHEADS	F IH D AH L HH EH D Z
FILIGREED	F AH L IH G R IY D
FINCH'S	F IH N CH IX Z
FINGERLINGS	F IH NG G ER L IH NG Z
FIREBOX	F AY ER B AA K S
FIREFLY'S	F AY ER F L AY Z
FIRETHORN	F AY ER TH AO R N
FISHERMEN'S	F IH SH ER M IH N Z
FLATBED'S	F L AE T B EH D Z
FLATTENS	F L AE T AH N Z
FLEDGLINGS	F L EH JH L IH NG Z
FLICKED	F L IH K T
FLICKER'S	F L IH K ER Z
FLINCHES	F L IH N CH IH Z
FLITS	F L IH T S
FLOATPLANE	F L OW T P L EY N
FLOCK'S	F L AA K S
FLOES	F L OW Z
FLOODLIT	F L AH D L IH T
FLOWER'S	F L AW ER Z
FLOWERLESS	F L AW ER L AH S
FLOWERPOTS	F L AW ER P AA T S
FLOXGLOVES	F L AA K S G L OW V Z
FLUTE'S	F L UW TS
FLYCATCHER'S	F L AY K AE CH ER Z
FLYTHESE	F L AH TH IY Z
FOGHORN	F AA G HH AO R N
FOOTSTOOL	F UH T S T UW L
FORDING	F OW R D IH NG
FORGETFULNESS	F AO R G EH T F AH L N AH S
FORSYTHIA'S	F AO R S IH TH IY AH Z
FORT'S	F AO R TS
FOSSICKS	F AA S AH K S
FOUNTAIN'S	F AW N T AH N Z
FRANCIS'S	F R AE N S AH S IX Z
FRANGIPANI	F R AE N JH AH P AE N IY
FRECKLING	F R EH K AH L IH NG
FRESHETS	F R EH SH AH T S
FRINGED	F R IH N JH D
FRITILLARIES	F R AH T IH L AH R AY Z
FRUITBOWL	F R UW T B OW L
FRUITFLIES	F R UW T F L AY Z
FUCHSIA	F Y UW SH AH
FULLTHROATED	F UH L TH R OW T IH D
FUNERAL'S	F Y UW N ER AH L Z
FUNNIES	F AH N IY Z
FURLED	F ER L D
FURROWS	F ER OW Z
GALAHS	G AE L AH Z
GANNET	G AE N AH T
GANNETS	G AE N AH T S
GARTERSNAKE	G AA R T ER S N EY K
GATEPOST	G EY T P OW S T
GATOR'S	G EY T ER Z
GAZILLION	G AH Z IH L IY AH N
GECKO'S	G EH K OW Z
GESSO	JH EH S OW
GHOSTING	G OW S T IH NG
GINKGO	G IH NG K OW
GINKGO'S	G IH NG K OW Z
GIRDLED	G ER D AH L D
GLADIOLA	G L EY D IY AH L AH
GLASSBLOWER'S	G L AE S B L OW ER Z
GLIDER'S	G L AY D ER Z
GLINTS	G L IH N T S
GLISSANDO	G L IH S AE N D OW
GLISSANDOS	G L IH S AE N D AH Z
GLORY'S	G L AO R IY Z
GNAT'S	N AE TS
GODWITS	G AA D W IH T S
GOOSEFLESH	G UW S F L EH SH
GORGED	G AO R JH D
GOSLINGS	G OW S L IH NG Z
GRADER'S	G R EY D ER Z
GRAINFIELD	G R EY N F IY L D
GRASSHOPPER'S	G R AE S HH AA P ER Z
GRAVEDIGGER	G R EY V D IH G ER
GRAVID	G R AE V AH D
GRAZES	G R EY Z IH Z
GREBES	G R IY B Z
GRINDSTONE'S	G R AY N D S T OW N Z
GRITTED	G R IH T IH D
GROSBEAK'S	G R OW S B IY K S
GRUBBLE	G R AH B AH L
GUMBOOTS	G AH M B UW T S
GUMTREES	G AH M T R IY Z
HACKY	HH AE K IY
HAIRBALL	HH EH R B AO L
HAIRDRESSER'S	HH EH R D R EH S ER Z
HAIRGRASS	HH EH R G R AE S
HALLOW'S	HH AE L OW Z
HALLOWE	HH AO L OW
HALOED	HH EY L OW D
HALOES	HH EY L OW Z
HAMBONE	HH AE M B OW N
HAMMOCK'S	HH AE M AH K S
HANDBLOWN	HH AE N D B L OW N
HANDPRINT	HH AE N D P R IH N T
HANDPRINTS	HH AE N D P R IH N T S
HAPHAZARDS	HH AE P HH AE Z ER D Z
HARDHAT	HH AA R D HH AE T
HARLEYS	HH AA R L EY Z
HARP'S	HH AA R P S
HARPIST'S	HH AA R P IH S TS
HATCHLING	HH AE CH L IH NG
HAYROLL	HH EY R OW L
HAYSHED	HH EY SH EH D
HEADLAMPS	HH EH D L AE M P S
HEADLAND	HH EH D L AE N D
HEADLANDS	HH EH D L AE N D Z
HEALER'S	HH IY L ER Z
HEARSE'S	HH ER S IX Z
HEARTSICK	HH AA R T S IH K
HEATHCLIFFS	HH IY TH L AH F S
HEATWAVE	HH IY T W EY V
HEATWAVES	HH IY T W EY V Z
HEAVENWARD	HH EH V AH N W ER D
HEMLOCKS	HH EH M L AA K S
HEPATICA	HH AH P AE T AH K AH
HERETO	HH EH R AH T OW
HIGGINSON'S	HH IH G IH N S AH N Z
HISAJO	HH IH S AH JH OW
HISSS	HH IH S
HOARDER'S	HH OW R D AH R Z
HOARFROST	HH OW ER F R AO S T
HOBOS	HH OW B OW Z
HOD	HH AA D
HOKUSAI'S	HH AA K Y AH S EY Z
HONEYBEE'S	HH AH N IY B IY Z
HOODIES	HH UH D IY Z
HOOTING	HH UW T IH NG
HORSEAPPLES	HH AO R S AE P AH L Z
HOTOTOGISU	HH AA T AH T AA JH AH S UW
HOUND'S	HH AW N D Z
HOUSEFLIES	HH AW S F L AY Z
HOUSEFLY'S	HH AW S F L AY Z
HUCKLEBERRIES	HH AH K L AH B EH R AY Z
HUMMERS	HH AH M ER Z
HUMMINGBIRD'S	HH AH M IH NG B ER D Z
HURLS	HH ER L Z
HUSHES	HH AH SH IH Z
HUSKING	HH AH S K IH NG
HYDRANGEA	HH IH D R AE N JH IY AH
HYDRANGEAS	HH IH D R AE N JH IY Z
ICESNOW	AY S N OW
IKEBANA	AH K EH B AH N AH
INCHWORM'S	IH N CH W ER M Z
INDENTATIONS	IH N D EH N T EY SH AH N Z
INHALES	IH N HH EY L Z
INKSTONE	IH NG K S T OW N
INSTRUCTOR'S	IH N S T R AH K T ER Z
INTERCONNECTEDNESS	IH N T ER K AH N EH K T AH D N AH S
INWARDS	IH N W ER D Z
IRIDESCENCE	IH R AH D EH S AH N S
ISOBAR	IH S AH B AH R
IV	IH V
IVORIES	AY V AH R IY Z
JACKKNIFE	JH AE K N AY F
JACKSNIPES	JH AE K S N AY P S
JAMBALYA	JH AE M B AE L AY AH
JAMUN	JH AE M AH N
JAR'S	JH AA R Z
JAZZBAND	JH AE Z B AE N D
JELLYBEANS	JH EH L IY B IY N Z
JETTY'S	JH EH T IY Z
JIMSON	JH IH M S AH N
JOCKEY'S	JH AA K IY Z
JONQUILS	JH AA N K W AH L Z
JUNCOS	JH AH NG K AH Z
JUNIPER'S	JH UW N AH P ER Z
KADDISH	K AA D IH SH
KAHLO	K AE L OW
KANGAROO'S	K AE NG G ER UW Z
KATYDID'S	K EY T IY D IH D Z
KATYDIDS	K AE T AH D AH D Z
KEENING	K IY N IH NG
KESTREL	K EH S T R AH L
KETTLE'S	K EH T AH L Z
KICKIN	K IH K IH N
KIGO	K IH G OW
KILLDEER	K IH L D IH ER
KINDERGARTENERS	K IH N D ER G AA R T AH N ER Z
KINDLES	K IH N D AH L Z
KINGLET	K IH NG L AH T
KINGLET'S	K IH NG L AH T S
KINK	K IH NG K
KNEADS	N IY D Z
KNOTHOLE	N AA T HH OW L
KOOKABURRA	K UH K AH B AH R AH
KOWHAI	K OW HH EY
LABOURERS	L EY B ER ER Z
LABRADOR'S	L AE B R AH D AO R Z
LACECAP	L EY S K AE P
LACING	L EY S IH NG
LAKE'SAFE	L AE K AH S EY F
LAKEWIND	L EY K W IH N D
LAMBENT	L AE M AH N T
LAMENTATION	L AE M AH N T EY SH AH N
LAMPLIT	L AE M P L IH T
LANTERN'S	L AE N T ER N Z
LAPWINGS	L AE P W IH NG Z
LARK'S	L AA R K S
LARKSONG	L AA R K S AO NG
LATHERED	L AE DH ER D
LAUNDRY'S	L AO N D R IY Z
LAWN'S	L AO N Z
LEAFPILE	L IY F P AY L
LILACSCENT	L AY L AE K S EH N T
LIMPET	L IH M P AH T
LIQUIDAMBER	L IH K W AH D AE M B ER
LOBELIA	L AH B IY L Y AH
LONGNECK	L AO NG N EH K
LOOSEKNIT	L UW S N IH T
LOPING	L OW P IH NG
LORIKEET	L AO R AH K IY T
LOVEBIRDS	L AH V B ER D Z
MACHU	M AE CH UW
MACROCARPA	M AE K R AH K AA R P AH
MADRONA	M AE D R AH N AH
MALLETS	M AE L EH T S
MANGOS	M AE N G OW Z
MANIKIN	M AE N IH K AH N
MANZANAR	M AE N Z AH N AH R
MARGINALIA	M AA R JH AH N EY L Y AH
MARMOT	M AA R M AH T
MAYA'S	M AY AH Z
MAYFLIES	M EY F L AY Z
MAYFLY	M EY F L AY
MEADOWLARK'S	M EH D OW L AA R K S
MEADOWLARKS	M EH D OW L AA R K S
MEDAL'S	M EH D AH L Z
MEDEVAC	M EH D AH V AH K
MEETINGHOUSE	M IY T IH NG HH AW S
MEM	M EH M
MENDS	M EH N D Z
MENFOLK	M EH N F OW K
MENSES	M EH N Z IH Z
MEOWING	M IY OW AH NG
MERGANSER	M AH R G AE N Z AH R
MIDNIGHTS	M IH D N AY T S
MIDRIFFS	M IH D R IH F S
MIDSTRIDE	M IH D S T R AY D
MIDSUMMER'S	M IH D S AH M ER Z
MILKMOON	M IH L K M UW N
MILLPOND	M IH L P AA N D
MIME'S	M AY M Z
MINESHAFT	M AY N SH AE F T
MISCARRIED	M IH S K AE R IY D
MISTRAL'S	M IH S T R AH L Z
MOCKINGBIRD'S	M AA K IH NG B ER D Z
MODIGLIANI'S	M OW D IH G L IY AA N IY Z
MOLDERING	M OW L D ER IH NG
MOLE'S	M OW L Z
MONGREL	M AA N G R AH L
MOONBOW	M UW N B AW
MOONFLOWER	M UW N F L AW ER
MOONFLOWERS	M UW N F L AW ER Z
MOONGLOW	M UW N G L OW
MOONSHADOW	M UW N SH AE D OW
MOORHEN'S	M UH R HH EH N Z
MOOSE'S	M UW S IX Z
MOTUARA	M AA T Y UW AH R AH
MOUSE'S	M AW S IX Z
MOUSETRAPS	M AW S T R AE P S
MOWER'S	M OW ER Z
MUDDIES	M AH D IY Z
MUDFLATS	M AH D F L AE T S
MUDHENS	M AH D HH EH N Z
MUGO	M Y UW G OW
MULLIONS	M AH L Y AH N Z
MUSHROOM'S	M AH SH R UW M Z
MUSKEG	M AH S AH G
MUSTANG'S	M AH S T AE NG Z
MYNAHS	M IH N AH Z
NAKEDNESS	N EY K AH D N AH S
NANA'S	N AE N AH Z
NASHI	N AE SH IY
NASTURTIUMS	N AE S T AH R T IY AH M Z
NEAP	N IY P
NEATENS	N IY T AH N Z
NEST'S	N EH S TS
NETTLEBED	N EH T AH L B EH D
NEWBORN'S	N UW B AO R N Z
NICKERING	N IH K ER IH NG
NICKING	N IH K IH NG
NIGHTBIRD	N AY T B ER D
NIGHTCRAWLERS	N AY T K R AO L ER Z
NIGHTINGALE'S	N AY T IH NG G EY L Z
NIRVANNA	N AH R V AE N AH
NONAGENARIAN'S	N AH N AE JH AH N AE R IY AH N Z
NOR'WESTER	N AO R W EH S T AH R
NOSEPRINTS	N OW Z P R IH N T S
NUBS	N AH B Z
NUMBERLESS	N AH M B ER L AH S
NUTHATCH	N AH T HH AE CH
NUTHATCH'S	N AH T HH AE CH IH Z
OCOTILLO	AA K AH T IH L OW
OCOTILLO'S	AA K AH T IH L AH Z
OJIBWE	AA JH AH B W
ONCOLOGIST'S	AA NG K AA L AH JH IH S TS
ONLYS	AO N L IY Z
OOM	UW M
ORCHID'S	AO R K AH D Z
ORIENTING	OW R IY EH N T IH NG
OSPREY'S	AO S P R IY Z
OSPREYS	AA S P R EY Z
OTHERWORLD	AH DH ER W ER L D
OUR'SAILS	AW ER Z EY L Z
OUTCROP	AW T K R AA P
OUZEL	AW Z AH L
OVENBIRD	AH V AH N B ER D
OYSTERCATCHER	OY S T ER K AE CH ER
PACKRAT	P AE K R AE T
PAEKAKARIKI	P IY K AH K AE R AH K IY
PAILFULL	P EY L F UH L
PALLBEARERS	P AO L B AE ER ER Z
PALOVERDE	P AE L AH V AH R D
PANSY'S	P AE N Z IY Z
PAPERCLIP	P EY P ER K L IH P
PAPERWHITES	P EY P ER W AY T S
PARACHUTISTS	P AE R AH SH UW T IH S T S
PARAKEET'S	P EH R AH K IY TS
PARAPLEGIC'S	P EH R AH P L EH G IH K S
PARASOL	P AE R AH S AO L
PARASOLS	P AE R AH S AO L Z
PARROTGREEN	P AE R AH T G R IY N
PARSNIPS	P AA R S N IH P S
PARTINGS	P AA R T IH NG Z
PARTWAY	P AA R T W EY
PASSIONFLOWER	P AE SH AH N F L AW ER
PEACH'S	P IY CH IX Z
PEACOCK'S	P IY K AA K S
PEBBLED	P EH B AH L D
PECKED	P EH K T
PECKS	P EH K S
PECS	P EH K S
PEELINGS	P IY L IH NG Z
PEEPAL	P IY P AH L
PEEPER	P IY P ER
PEEPERS	P IY P ER Z
PENSIONED	P EH N CH AH N D
PERCALE	P AH R K EY L
PEREGRINE'S	P EH R AH G R IY N Z
PERFECTS	P ER F AH K T S
PERSIMMONS	P ER S IH M AH N Z
PERSISTANT	P ER S IH S T AH N T
PESTO	P EH S T OW
PEWIT	P Y UW AH T
PFFFT	P IY EH F EH F EH F T
PHLOX	F L AA K S
PIANOBLACK	P IY AE N OW B L AE K
PICKAXE	P IH K AE K S
PICKER'S	P IH K ER Z
PICKERELWEED	P IH K AH R EH L W IY D
PICKUP'S	P IH K AH P S
PIER'S	P IH R Z
PIGTAIL	P IH G T EY L
PIGTAILS	P IH G T EY L Z
PIKA	P IH K AH
PILEATED'S	P AY L EY T IH D Z
PINCHES	P IH N CH IH Z
PINECONE	P AY N K OW N
PINWHEEL	P IH N W IY L
PINWHEELS	P IH N W IY L Z
PLAYMATE'S	P L EY M EY TS
PLOPS	P L AA P S
PLOWBOY	P L AW B OY
POCKETKNIFE	P AA K AH T N AY F
POKEBERRY	P OW K B EH R IY
PONGA	P AA N G AH
PONYTAILS	P OW N IY T EY L Z
POPLAR'S	P AA P L ER Z
POSSUM'S	P AA S AH M Z
POTTING	P AA T IH NG
POUNCES	P AW N S AH Z
PROJECTOR'S	P R AA JH EH K T ER Z
PROWLS	P R AW L Z
PTARMIGAN	T AA R M AH G AH N
PUFFBALLS	P AH F B AO L Z
PULSATE	P AH L S AH T
PUPPY'S	P AH P IY Z
PUSSYWILLOW	P UH S IY W IH L OW
PUSSYWILLOWS	P UH S IY W IH L OW Z
QUIVERS	K W IH V ER Z
R'SUM	R S AH M
RABBIT'S	R AE B AH TS
RACCOON'S	R AE K UW N Z
RAGMAN'S	R AE G M AE N Z
RAILBED	R EY L B EH D
RAINBOW'S	R EY N B OW Z
RAM'S	R AE M Z
RAMBUTAN	R AE M B Y UW T AH N
RANGITOTO'S	R AE N JH IH T AH T AH Z
REBLOOMING	R IY B L UW M IH NG
REDDENED	R EH D AH N D
REDDENING	R EH D AH N IH NG
REDDENS	R EH D AH N Z
REDGUM	R EH D G AH M
REDPOLL'S	R EH D P OW L Z
REDTAIL	R EH D T EY L
REDWING	R EH D W IH NG
REDWINGS	R EH D W IH NG Z
RENGA	R IH N G AA
REPELLANT	R IH P EH L AH N T
REPLY'S	R IH P L AY Z
RESIFTED	R IY S IH F T IH D
RESUM	R IY S AH M
RETCHES	R EH CH IH Z
RETINAS	R EH T AH N AH Z
RETOLD	R IY T OW L D
RETRIEVER'S	R IY T R IY V ER Z
REWORKS	R IY W ER K S
RIBBONING	R IH B AH N IH NG
RICING	R AY S IH NG
RIFFLES	R IH F AH L Z
RIFTED	R IH F T IH D
RILKE	R IH K
RIMU	R IH M UW
RINGER'S	R IH NG ER Z
RINGTONE	R IH NG T OW N
RINSED	R IH N S T
